Date,RBLX
2021-03-10,69.5
2021-03-11,73.9000015258789
2021-03-12,69.69999694824219
2021-03-15,72.1500015258789
2021-03-16,77.0
2021-03-17,76.79000091552734
2021-03-18,67.30000305175781
2021-03-19,70.5
2021-03-22,70.0
2021-03-23,68.0
2021-03-24,64.5
2021-03-25,67.8499984741211
2021-03-26,70.97000122070312
2021-03-29,67.02999877929688
2021-03-30,65.16999816894531
2021-03-31,64.83000183105469
2021-04-01,67.33999633789062
2021-04-05,70.76000213623047
2021-04-06,71.31999969482422
2021-04-07,68.7300033569336
2021-04-08,70.76000213623047
2021-04-09,71.83000183105469
2021-04-12,75.0
2021-04-13,82.05000305175781
2021-04-14,75.3499984741211
2021-04-15,79.66000366210938
2021-04-16,75.8499984741211
2021-04-19,72.0
2021-04-20,69.23999786376953
2021-04-21,71.76000213623047
2021-04-22,69.8499984741211
2021-04-23,71.77999877929688
2021-04-26,74.9000015258789
2021-04-27,74.3499984741211
2021-04-28,75.63999938964844
2021-04-29,76.12000274658203
2021-04-30,74.55000305175781
2021-05-03,71.08000183105469
2021-05-04,69.62000274658203
2021-05-05,66.58999633789062
2021-05-06,65.05999755859375
2021-05-07,67.9000015258789
2021-05-10,64.0
2021-05-11,77.6500015258789
2021-05-12,75.52999877929688
2021-05-13,69.68000030517578
2021-05-14,70.94999694824219
2021-05-17,76.93000030517578
2021-05-18,74.98999786376953
2021-05-19,75.22000122070312
2021-05-20,76.33000183105469
2021-05-21,82.5
2021-05-24,89.2300033569336
2021-05-25,89.31999969482422
2021-05-26,89.70999908447266
2021-05-27,97.47000122070312
2021-05-28,93.7699966430664
2021-06-01,96.88999938964844
2021-06-02,99.86000061035156
2021-06-03,96.5
2021-06-04,99.56999969482422
2021-06-07,93.44000244140625
2021-06-08,91.41000366210938
2021-06-09,91.04000091552734
2021-06-10,91.0
2021-06-11,92.81999969482422
2021-06-14,87.80000305175781
2021-06-15,89.80000305175781
2021-06-16,82.58999633789062
2021-06-17,82.9800033569336
2021-06-18,81.13999938964844
