Date,MP
2020-06-22,10.0
2020-06-23,9.90999984741211
2020-06-24,9.779999732971191
2020-06-25,9.899999618530273
2020-06-26,9.9399995803833
2020-06-29,9.968999862670898
2020-06-30,9.970000267028809
2020-07-01,9.970000267028809
2020-07-02,10.0
2020-07-06,9.899999618530273
2020-07-07,10.050000190734863
2020-07-08,9.979999542236328
2020-07-09,10.0
2020-07-10,10.020000457763672
2020-07-13,10.0
2020-07-14,10.0
2020-07-15,10.989999771118164
2020-07-16,10.699999809265137
2020-07-17,10.930000305175781
2020-07-20,11.279999732971191
2020-07-21,12.399999618530273
2020-07-22,14.880000114440918
2020-07-23,14.4399995803833
2020-07-24,13.649999618530273
2020-07-27,13.09000015258789
2020-07-28,12.630000114440918
2020-07-29,12.100000381469727
2020-07-30,12.119999885559082
2020-07-31,11.800000190734863
2020-08-03,11.649999618530273
2020-08-04,11.630000114440918
2020-08-05,12.0
2020-08-06,11.75
2020-08-07,11.460000038146973
2020-08-10,12.279999732971191
2020-08-11,12.100000381469727
2020-08-12,11.899999618530273
2020-08-13,12.199999809265137
2020-08-14,12.170000076293945
2020-08-17,12.199999809265137
2020-08-18,12.0
2020-08-19,12.170000076293945
2020-08-20,12.239999771118164
2020-08-21,12.0
2020-08-24,12.039999961853027
2020-08-25,12.029999732971191
2020-08-26,12.0
2020-08-27,12.699999809265137
2020-08-28,13.460000038146973
2020-08-31,13.5
2020-09-01,13.399999618530273
2020-09-02,14.289999961853027
2020-09-03,14.600000381469727
2020-09-04,15.15999984741211
2020-09-08,15.109999656677246
2020-09-09,14.5
2020-09-10,14.020000457763672
2020-09-11,14.0
2020-09-14,14.600000381469727
2020-09-15,15.34000015258789
2020-09-16,15.199999809265137
2020-09-17,14.789999961853027
2020-09-18,15.050000190734863
2020-09-21,14.5
2020-09-22,14.25
2020-09-23,13.5
2020-09-24,13.890000343322754
2020-09-25,14.100000381469727
2020-09-28,14.149999618530273
2020-09-29,13.979999542236328
2020-09-30,13.579999923706055
2020-10-01,14.239999771118164
2020-10-02,14.0
2020-10-05,14.1899995803833
2020-10-06,13.529999732971191
2020-10-07,13.6899995803833
2020-10-08,13.619999885559082
2020-10-09,13.899999618530273
2020-10-12,14.319999694824219
2020-10-13,13.65999984741211
2020-10-14,13.449999809265137
2020-10-15,14.0
2020-10-16,13.880000114440918
2020-10-19,14.010000228881836
2020-10-20,13.779999732971191
2020-10-21,13.699999809265137
2020-10-22,13.420000076293945
2020-10-23,13.350000381469727
2020-10-26,12.800000190734863
2020-10-27,12.210000038146973
2020-10-28,11.229999542236328
2020-10-29,11.390000343322754
2020-10-30,11.109999656677246
2020-11-02,11.079999923706055
2020-11-03,11.460000038146973
2020-11-04,11.529999732971191
2020-11-05,11.930000305175781
2020-11-06,11.789999961853027
2020-11-09,11.460000038146973
2020-11-10,12.399999618530273
2020-11-11,13.289999961853027
2020-11-12,13.65999984741211
2020-11-13,13.890000343322754
2020-11-16,14.0
2020-11-17,14.390000343322754
2020-11-18,15.09000015258789
2020-11-19,15.729999542236328
2020-11-20,16.75
2020-11-23,18.799999237060547
2020-11-24,22.229999542236328
2020-11-25,22.290000915527344
2020-11-27,21.709999084472656
2020-11-30,21.520000457763672
2020-12-01,20.549999237060547
2020-12-02,20.90999984741211
2020-12-03,22.110000610351562
2020-12-04,23.059999465942383
2020-12-07,27.68000030517578
2020-12-08,26.209999084472656
2020-12-09,26.1299991607666
2020-12-10,25.139999389648438
2020-12-11,26.43000030517578
2020-12-14,26.299999237060547
2020-12-15,25.68000030517578
2020-12-16,28.229999542236328
2020-12-17,32.619998931884766
2020-12-18,32.5099983215332
2020-12-21,35.720001220703125
2020-12-22,39.13999938964844
2020-12-23,36.06999969482422
2020-12-24,35.5099983215332
2020-12-28,34.11000061035156
2020-12-29,30.56999969482422
2020-12-30,32.77000045776367
2020-12-31,32.16999816894531
2021-01-04,29.139999389648438
2021-01-05,29.309999465942383
2021-01-06,29.489999771118164
2021-01-07,29.75
2021-01-08,29.489999771118164
2021-01-11,29.5
2021-01-12,34.68000030517578
2021-01-13,34.70000076293945
2021-01-14,33.18000030517578
2021-01-15,31.8700008392334
2021-01-19,35.54999923706055
2021-01-20,34.529998779296875
2021-01-21,33.86000061035156
2021-01-22,32.68000030517578
2021-01-25,32.599998474121094
2021-01-26,31.610000610351562
2021-01-27,29.8799991607666
2021-01-28,30.280000686645508
2021-01-29,29.170000076293945
2021-02-01,30.93000030517578
2021-02-02,31.40999984741211
2021-02-03,33.41999816894531
2021-02-04,33.79999923706055
2021-02-05,32.25
2021-02-08,32.560001373291016
2021-02-09,35.560001373291016
2021-02-10,38.16999816894531
2021-02-11,36.540000915527344
2021-02-12,35.2599983215332
2021-02-16,40.75
2021-02-17,41.290000915527344
2021-02-18,42.349998474121094
2021-02-19,45.04999923706055
2021-02-22,40.91999816894531
2021-02-23,38.02000045776367
2021-02-24,43.529998779296875
2021-02-25,45.45000076293945
2021-02-26,42.029998779296875
2021-03-01,46.20000076293945
2021-03-02,49.439998626708984
2021-03-03,45.81999969482422
2021-03-04,40.959999084472656
2021-03-05,39.099998474121094
2021-03-08,38.09000015258789
2021-03-09,39.400001525878906
2021-03-10,39.29999923706055
2021-03-11,43.15999984741211
2021-03-12,42.279998779296875
2021-03-15,45.97999954223633
2021-03-16,43.540000915527344
2021-03-17,44.09000015258789
2021-03-18,40.5
2021-03-19,45.9900016784668
2021-03-22,45.150001525878906
2021-03-23,36.900001525878906
2021-03-24,33.439998626708984
2021-03-25,36.209999084472656
2021-03-26,35.0
