Date,SPOT
2018-04-03,149.00999450683594
2018-04-04,144.22000122070312
2018-04-05,143.99000549316406
2018-04-06,147.9199981689453
2018-04-09,150.0
2018-04-10,154.89999389648438
2018-04-11,149.57000732421875
2018-04-12,149.10000610351562
2018-04-13,149.0
2018-04-16,144.32000732421875
2018-04-17,148.49000549316406
2018-04-18,154.91000366210938
2018-04-19,153.47000122070312
2018-04-20,158.4499969482422
2018-04-23,158.0399932861328
2018-04-24,155.07000732421875
2018-04-25,153.3300018310547
2018-04-26,156.60000610351562
2018-04-27,159.97999572753906
2018-04-30,161.6699981689453
2018-05-01,164.8800048828125
2018-05-02,170.0
2018-05-03,160.3800048828125
2018-05-04,154.25999450683594
2018-05-07,150.0
2018-05-08,150.63999938964844
2018-05-09,150.07000732421875
2018-05-10,158.1300048828125
2018-05-11,156.77000427246094
2018-05-14,159.97000122070312
2018-05-15,158.7100067138672
2018-05-16,161.38999938964844
2018-05-17,158.75999450683594
2018-05-18,150.8000030517578
2018-05-21,150.22000122070312
2018-05-22,150.42999267578125
2018-05-23,154.3699951171875
2018-05-24,154.58999633789062
2018-05-25,156.60000610351562
2018-05-29,154.6199951171875
2018-05-30,156.3800048828125
2018-05-31,157.7100067138672
2018-06-01,159.24000549316406
2018-06-04,162.8300018310547
2018-06-05,164.9600067138672
2018-06-06,165.63999938964844
2018-06-07,166.02999877929688
2018-06-08,171.47999572753906
2018-06-11,172.3699951171875
2018-06-12,170.22999572753906
2018-06-13,170.82000732421875
2018-06-14,178.10000610351562
2018-06-15,175.02000427246094
2018-06-18,174.35000610351562
2018-06-19,169.88999938964844
2018-06-20,176.39999389648438
2018-06-21,179.52999877929688
2018-06-22,180.94000244140625
2018-06-25,170.3699951171875
2018-06-26,175.97999572753906
2018-06-27,172.14999389648438
2018-06-28,167.6999969482422
2018-06-29,168.24000549316406
2018-07-02,170.69000244140625
2018-07-03,168.66000366210938
2018-07-05,176.44000244140625
2018-07-06,175.6999969482422
2018-07-09,177.44000244140625
2018-07-10,180.42999267578125
2018-07-11,182.35000610351562
2018-07-12,188.35000610351562
2018-07-13,187.2100067138672
2018-07-16,184.22000122070312
2018-07-17,187.0500030517578
2018-07-18,186.14999389648438
2018-07-19,182.19000244140625
2018-07-20,182.7899932861328
2018-07-23,188.0500030517578
2018-07-24,187.80999755859375
2018-07-25,187.99000549316406
2018-07-26,196.27999877929688
2018-07-27,186.27000427246094
2018-07-30,176.7899932861328
2018-07-31,182.8300018310547
2018-08-01,180.1199951171875
2018-08-02,179.7100067138672
2018-08-03,175.5
2018-08-06,179.9499969482422
2018-08-07,179.52000427246094
2018-08-08,178.6999969482422
2018-08-09,187.3800048828125
2018-08-10,189.05999755859375
2018-08-13,191.5500030517578
2018-08-14,193.75
2018-08-15,190.3300018310547
2018-08-16,192.36000061035156
2018-08-17,188.3699951171875
2018-08-20,186.39999389648438
2018-08-21,190.3800048828125
2018-08-22,191.02999877929688
2018-08-23,190.0
2018-08-24,192.3800048828125
2018-08-27,194.69000244140625
2018-08-28,191.9600067138672
2018-08-29,191.25999450683594
2018-08-30,189.85000610351562
2018-08-31,189.52000427246094
2018-09-04,187.52999877929688
2018-09-05,177.36000061035156
2018-09-06,175.55999755859375
2018-09-07,177.8000030517578
2018-09-10,182.49000549316406
2018-09-11,182.6699981689453
2018-09-12,183.7899932861328
2018-09-13,184.88999938964844
2018-09-14,180.6300048828125
2018-09-17,175.10000610351562
2018-09-18,175.52000427246094
2018-09-19,171.13999938964844
2018-09-20,172.63999938964844
2018-09-21,175.02000427246094
2018-09-24,176.97000122070312
2018-09-25,179.91000366210938
2018-09-26,182.0500030517578
2018-09-27,184.41000366210938
2018-09-28,180.8300018310547
2018-10-01,180.39999389648438
2018-10-02,178.8800048828125
2018-10-03,176.9499969482422
2018-10-04,168.5800018310547
2018-10-05,164.3800048828125
2018-10-08,163.47000122070312
2018-10-09,161.52999877929688
2018-10-10,149.47999572753906
2018-10-11,152.27000427246094
2018-10-12,158.49000549316406
2018-10-15,159.25
2018-10-16,164.75
2018-10-17,159.27999877929688
2018-10-18,152.49000549316406
2018-10-19,148.92999267578125
2018-10-22,148.5399932861328
2018-10-23,153.25
2018-10-24,146.32000732421875
2018-10-25,149.67999267578125
2018-10-26,146.24000549316406
2018-10-29,139.11000061035156
2018-10-30,141.67999267578125
2018-10-31,149.69000244140625
2018-11-01,141.16000366210938
2018-11-02,138.99000549316406
2018-11-05,143.60000610351562
2018-11-06,142.61000061035156
2018-11-07,145.77000427246094
2018-11-08,137.0
2018-11-09,138.05999755859375
2018-11-12,131.30999755859375
2018-11-13,131.6300048828125
2018-11-14,134.00999450683594
2018-11-15,136.9600067138672
2018-11-16,134.2100067138672
2018-11-19,126.69999694824219
2018-11-20,129.6999969482422
2018-11-21,131.97999572753906
2018-11-23,129.41000366210938
2018-11-26,138.0
2018-11-27,138.75
2018-11-28,138.24000549316406
2018-11-29,138.9600067138672
2018-11-30,136.3800048828125
2018-12-03,140.67999267578125
2018-12-04,134.5
2018-12-06,136.8300018310547
2018-12-07,135.30999755859375
2018-12-10,130.7899932861328
2018-12-11,128.3699951171875
2018-12-12,128.47000122070312
2018-12-13,125.55000305175781
2018-12-14,125.68000030517578
2018-12-17,120.47000122070312
2018-12-18,120.51000213623047
2018-12-19,118.66999816894531
2018-12-20,114.52999877929688
2018-12-21,106.83999633789062
2018-12-24,107.75
2018-12-26,114.04000091552734
2018-12-27,113.81999969482422
2018-12-28,112.16000366210938
2018-12-31,113.5
2019-01-02,113.73999786376953
