Date,LEN
1980-03-17,1.2086199522018433
1980-03-18,1.23934805393219
1980-03-19,1.229104995727539
1980-03-20,1.229104995727539
1980-03-21,1.229104995727539
1980-03-24,1.1778919696807861
1980-03-25,1.2188630104064941
1980-03-26,1.3008029460906982
1980-03-27,1.188135027885437
1980-03-28,1.290560007095337
1980-03-31,1.3008029460906982
1980-04-01,1.3008029460906982
1980-04-02,1.331531047821045
1980-04-03,1.331531047821045
1980-04-07,1.331531047821045
1980-04-08,1.3417730331420898
1980-04-09,1.413470983505249
1980-04-10,1.454440951347351
1980-04-11,1.4237140417099
1980-04-14,1.3929860591888428
1980-04-15,1.362257957458496
1980-04-16,1.3520159721374512
1980-04-17,1.3929860591888428
1980-04-18,1.3929860591888428
1980-04-21,1.3520159721374512
1980-04-22,1.4954110383987427
1980-04-23,1.5363819599151611
1980-04-24,1.5671089887619019
1980-04-25,1.515895962715149
1980-04-28,1.5261390209197998
1980-04-29,1.556867003440857
1980-04-30,1.546623945236206
1980-05-01,1.556867003440857
1980-05-02,1.5261390209197998
1980-05-05,1.515895962715149
1980-05-06,1.505653977394104
1980-05-07,1.6388070583343506
1980-05-08,1.690019965171814
1980-05-09,1.6592919826507568
1980-05-12,1.6592919826507568
1980-05-13,1.7207469940185547
1980-05-14,1.7617169618606567
1980-05-15,1.8026880025863647
1980-05-16,1.8129299879074097
1980-05-19,1.7719600200653076
1980-05-20,1.7105050086975098
1980-05-21,1.6797770261764526
1980-05-22,1.7617169618606567
1980-05-23,1.7924449443817139
1980-05-27,1.8743849992752075
1980-05-28,1.9460829496383667
1980-05-29,1.8743849992752075
1980-05-30,1.9665679931640625
1980-06-02,1.9665679931640625
1980-06-03,1.9563260078430176
1980-06-04,1.8846280574798584
1980-06-05,1.8846280574798584
1980-06-06,1.8641430139541626
1980-06-09,1.8436579704284668
1980-06-10,1.7924449443817139
1980-06-11,1.8538999557495117
1980-06-12,1.8641430139541626
1980-06-13,2.0075390338897705
1980-06-16,2.058751106262207
1980-06-17,1.9768110513687134
1980-06-18,1.9870530366897583
1980-06-19,1.9870530366897583
1980-06-20,2.0177810192108154
1980-06-23,2.0382659435272217
1980-06-24,2.048508882522583
1980-06-25,2.109963893890381
1980-06-26,2.1714189052581787
1980-06-27,2.1406919956207275
1980-06-30,2.130449056625366
1980-07-01,2.3352999687194824
1980-07-02,2.2738449573516846
1980-07-03,2.2738449573516846
1980-07-07,2.3352999687194824
1980-07-08,2.2840869426727295
1980-07-09,2.314815044403076
1980-07-10,2.2840869426727295
1980-07-11,2.304572105407715
1980-07-14,2.3352999687194824
1980-07-15,2.3455419540405273
1980-07-16,2.3455419540405273
1980-07-17,2.5401508808135986
1980-07-18,2.6016058921813965
1980-07-21,2.755244016647339
1980-07-22,2.6835460662841797
1980-07-23,2.704030990600586
1980-07-24,2.642575979232788
1980-07-25,2.5811209678649902
1980-07-28,2.632333993911743
1980-07-29,2.642575979232788
1980-07-30,2.6528189182281494
1980-07-31,2.6630609035491943
1980-08-01,2.6835460662841797
1980-08-04,2.6016058921813965
1980-08-05,2.488938093185425
1980-08-06,2.6016058921813965
1980-08-07,2.6733040809631348
1980-08-08,2.6630609035491943
1980-08-11,2.745002031326294
1980-08-12,2.693789005279541
1980-08-13,2.755244016647339
1980-08-14,2.745002031326294
1980-08-15,2.622091054916382
1980-08-18,2.560636043548584
1980-08-19,2.447968006134033
1980-08-20,2.458209991455078
1980-08-21,2.458209991455078
1980-08-22,2.47869610786438
1980-08-25,2.4684529304504395
1980-08-26,2.447968006134033
1980-08-27,2.3557848930358887
1980-08-28,2.3352999687194824
1980-08-29,2.3967549800872803
1980-09-02,2.3865129947662354
1980-09-03,2.509423017501831
1980-09-04,2.5196659564971924
1980-09-05,2.5299079418182373
1980-09-08,2.427483081817627
1980-09-09,2.3967549800872803
1980-09-10,2.458209991455078
1980-09-11,2.447968006134033
1980-09-12,2.4172399044036865
1980-09-15,2.4172399044036865
1980-09-16,2.4069979190826416
1980-09-17,2.458209991455078
1980-09-18,2.4684529304504395
1980-09-19,2.5299079418182373
1980-09-22,2.5196659564971924
1980-09-23,2.47869610786438
1980-09-24,2.4172399044036865
1980-09-25,2.325057029724121
1980-09-26,2.2123889923095703
1980-09-29,2.120206117630005
1980-09-30,2.2328739166259766
1980-10-01,2.2738449573516846
1980-10-02,2.376270055770874
1980-10-03,2.642575979232788
1980-10-06,2.775728940963745
1980-10-07,2.745002031326294
1980-10-08,2.8371849060058594
1980-10-09,2.7654869556427
1980-10-10,2.7654869556427
1980-10-13,2.755244016647339
1980-10-14,2.745002031326294
1980-10-15,2.775728940963745
1980-10-16,2.7142739295959473
1980-10-17,2.6630609035491943
1980-10-20,2.7654869556427
1980-10-21,2.7347590923309326
1980-10-22,2.755244016647339
1980-10-23,2.7245171070098877
1980-10-24,2.7654869556427
1980-10-27,2.704030990600586
1980-10-28,2.6630609035491943
