Date,XLI
1998-12-22,23.28125
1998-12-23,23.6875
1998-12-24,24.0
1998-12-28,24.125
1998-12-29,24.46875
1998-12-30,24.359375
1998-12-31,24.5625
1999-01-04,24.21875
1999-01-05,24.71875
1999-01-06,25.25
1999-01-07,25.03125
1999-01-08,25.21875
1999-01-11,24.984375
1999-01-12,24.6875
1999-01-13,24.0625
1999-01-14,23.953125
1999-01-15,24.359375
1999-01-19,24.3125
1999-01-20,24.203125
1999-01-21,24.0
1999-01-22,23.53125
1999-01-25,23.921875
1999-01-26,23.921875
1999-01-27,24.109375
1999-01-28,24.140625
1999-01-29,24.296875
1999-02-01,24.328125
1999-02-02,24.140625
1999-02-03,24.375
1999-02-04,24.40625
1999-02-05,24.328125
1999-02-08,24.40625
1999-02-09,24.078125
1999-02-10,24.171875
1999-02-11,24.5
1999-02-12,24.359375
1999-02-16,24.484375
1999-02-17,24.484375
1999-02-18,24.484375
1999-02-19,24.640625
1999-02-22,25.015625
1999-02-23,25.0
1999-02-24,24.9375
1999-02-25,24.4375
1999-02-26,24.515625
1999-03-01,24.5
1999-03-02,24.296875
1999-03-03,24.15625
1999-03-04,24.625
1999-03-05,25.171875
1999-03-08,25.3125
1999-03-09,25.4375
1999-03-10,25.390625
1999-03-11,25.421875
1999-03-12,25.5
1999-03-15,25.4375
1999-03-16,25.265625
1999-03-17,25.21875
1999-03-18,25.28125
1999-03-19,25.34375
1999-03-22,25.15625
1999-03-23,24.5625
1999-03-24,24.5
1999-03-25,24.765625
1999-03-26,24.828125
1999-03-29,25.234375
1999-03-30,25.21875
1999-03-31,24.9375
1999-04-01,25.203125
1999-04-05,25.75
1999-04-06,25.609375
1999-04-07,25.65625
1999-04-08,25.796875
1999-04-09,25.8125
1999-04-12,26.4375
1999-04-13,26.640625
1999-04-14,27.21875
1999-04-15,27.921875
1999-04-16,28.078125
1999-04-19,28.3125
1999-04-20,28.125
1999-04-21,28.21875
1999-04-22,28.234375
1999-04-23,28.453125
1999-04-26,28.421875
1999-04-27,28.5625
1999-04-28,28.921875
1999-04-29,29.03125
1999-04-30,28.6875
1999-05-03,29.25
1999-05-04,29.375
1999-05-05,29.375
1999-05-06,29.4375
1999-05-07,30.0
1999-05-10,29.59375
1999-05-11,30.09375
1999-05-12,29.796875
1999-05-13,29.5
1999-05-14,29.125
1999-05-17,29.0625
1999-05-18,28.6875
1999-05-19,29.125
1999-05-20,29.203125
1999-05-21,28.859375
1999-05-24,28.609375
1999-05-25,28.515625
1999-05-26,28.3125
1999-05-27,27.84375
1999-05-28,28.125
1999-06-01,28.140625
1999-06-02,28.515625
1999-06-03,28.8125
1999-06-04,29.109375
1999-06-07,29.390625
1999-06-08,29.125
1999-06-09,29.15625
1999-06-10,28.8125
1999-06-11,28.765625
1999-06-14,29.109375
1999-06-15,29.203125
1999-06-16,29.609375
1999-06-17,29.84375
1999-06-18,30.03125
1999-06-21,29.625
1999-06-22,29.484375
1999-06-23,29.578125
1999-06-24,29.265625
1999-06-25,29.09375
1999-06-28,29.140625
1999-06-29,29.296875
1999-06-30,29.8125
1999-07-01,29.828125
1999-07-02,29.96875
1999-07-06,30.0
1999-07-07,29.78125
1999-07-08,29.890625
1999-07-09,29.921875
1999-07-12,29.65625
1999-07-13,29.546875
1999-07-14,29.703125
1999-07-15,29.90625
1999-07-16,29.953125
1999-07-19,29.984375
1999-07-20,29.953125
1999-07-21,29.921875
1999-07-22,29.8125
1999-07-23,29.65625
1999-07-26,29.4375
1999-07-27,29.828125
1999-07-28,29.65625
1999-07-29,29.0625
1999-07-30,28.71875
1999-08-02,28.796875
1999-08-03,28.8125
1999-08-04,28.59375
1999-08-05,28.75
1999-08-06,28.484375
1999-08-09,28.390625
1999-08-10,28.125
1999-08-11,28.625
1999-08-12,28.515625
1999-08-13,29.015625
1999-08-16,29.125
1999-08-17,29.53125
1999-08-18,29.25
1999-08-19,28.875
1999-08-20,29.171875
1999-08-23,29.796875
1999-08-24,29.8125
1999-08-25,30.140625
1999-08-26,29.984375
1999-08-27,29.640625
1999-08-30,28.890625
1999-08-31,28.953125
1999-09-01,29.03125
1999-09-02,28.78125
1999-09-03,29.484375
1999-09-07,29.8125
1999-09-08,29.90625
1999-09-09,29.6875
1999-09-10,29.609375
1999-09-13,29.390625
1999-09-14,29.125
1999-09-15,29.171875
1999-09-16,28.90625
1999-09-17,29.328125
1999-09-20,29.359375
1999-09-21,28.984375
1999-09-22,28.890625
1999-09-23,28.65625
1999-09-24,28.046875
1999-09-27,28.40625
1999-09-28,28.0625
1999-09-29,28.21875
1999-09-30,28.75
1999-10-01,28.359375
1999-10-04,28.859375
1999-10-05,28.5625
1999-10-06,28.96875
1999-10-07,29.0
1999-10-08,29.390625
1999-10-11,29.4375
1999-10-12,28.828125
1999-10-13,28.015625
1999-10-14,27.734375
1999-10-15,27.34375
1999-10-18,26.8125
1999-10-19,26.828125
1999-10-20,27.0625
1999-10-21,26.765625
1999-10-22,27.484375
1999-10-25,27.4375
1999-10-26,27.265625
1999-10-27,27.359375
1999-10-28,27.984375
1999-10-29,28.125
1999-11-01,27.40625
1999-11-02,27.75
1999-11-03,27.5625
1999-11-04,27.484375
1999-11-05,27.625
1999-11-08,27.671875
1999-11-09,27.6875
1999-11-10,27.578125
1999-11-11,27.6875
1999-11-12,27.875
1999-11-15,28.03125
1999-11-16,28.6875
1999-11-17,28.875
1999-11-18,28.96875
1999-11-19,28.625
1999-11-22,28.5
1999-11-23,28.21875
1999-11-24,28.234375
1999-11-26,28.09375
1999-11-29,27.625
1999-11-30,27.5
1999-12-01,27.71875
1999-12-02,27.65625
1999-12-03,28.109375
1999-12-06,28.03125
1999-12-07,27.5
1999-12-08,27.984375
1999-12-09,27.234375
1999-12-10,27.734375
1999-12-13,27.890625
1999-12-14,27.890625
1999-12-15,27.625
1999-12-16,27.875
1999-12-17,28.53125
1999-12-20,27.671875
1999-12-21,28.0625
1999-12-22,27.9375
1999-12-23,28.3125
1999-12-27,28.59375
1999-12-28,28.890625
1999-12-29,29.109375
1999-12-30,29.171875
1999-12-31,29.609375
2000-01-03,28.84375
2000-01-04,28.046875
2000-01-05,27.921875
2000-01-06,28.296875
2000-01-07,29.375
2000-01-10,29.375
2000-01-11,29.0
2000-01-12,28.65625
2000-01-13,29.203125
2000-01-14,29.0
2000-01-18,28.96875
2000-01-19,28.875
2000-01-20,28.6875
2000-01-21,28.328125
2000-01-24,27.515625
2000-01-25,27.359375
2000-01-26,27.578125
2000-01-27,27.734375
2000-01-28,27.0
2000-01-31,27.1875
2000-02-01,27.0
2000-02-02,27.015625
2000-02-03,27.0
2000-02-04,27.109375
2000-02-07,26.640625
2000-02-08,26.75
2000-02-09,26.46875
2000-02-10,26.015625
2000-02-11,25.46875
2000-02-14,25.875
2000-02-15,26.328125
2000-02-16,26.265625
2000-02-17,26.375
2000-02-18,25.796875
2000-02-22,26.21875
2000-02-23,26.015625
2000-02-24,25.78125
2000-02-25,25.328125
2000-02-28,25.40625
2000-02-29,25.6875
2000-03-01,25.546875
2000-03-02,25.640625
2000-03-03,26.34375
2000-03-06,26.234375
2000-03-07,25.1875
2000-03-08,25.453125
2000-03-09,25.71875
2000-03-10,25.78125
2000-03-13,25.390625
2000-03-14,25.25
2000-03-15,26.265625
2000-03-16,27.6875
2000-03-17,27.59375
2000-03-20,27.75
2000-03-21,28.34375
2000-03-22,28.21875
2000-03-23,28.875
2000-03-24,29.046875
2000-03-27,28.6875
2000-03-28,28.609375
2000-03-29,28.96875
2000-03-30,29.15625
2000-03-31,29.203125
2000-04-03,29.328125
2000-04-04,29.0
2000-04-05,28.890625
2000-04-06,29.140625
2000-04-07,29.578125
2000-04-10,29.625
2000-04-11,29.984375
2000-04-12,29.453125
2000-04-13,29.53125
2000-04-14,27.59375
2000-04-17,28.265625
2000-04-18,28.375
2000-04-19,28.484375
2000-04-20,28.71875
2000-04-24,28.75
2000-04-25,30.25
2000-04-26,29.796875
2000-04-27,29.828125
2000-04-28,29.625
2000-05-01,30.3125
2000-05-02,30.0
2000-05-03,29.0
2000-05-04,29.046875
2000-05-05,29.5625
2000-05-08,29.546875
2000-05-09,29.3125
2000-05-10,29.015625
2000-05-11,29.734375
2000-05-12,30.09375
2000-05-15,30.59375
2000-05-16,30.875
2000-05-17,30.671875
2000-05-18,30.53125
2000-05-19,29.6875
2000-05-22,29.171875
2000-05-23,29.046875
2000-05-24,29.46875
2000-05-25,28.9375
2000-05-26,28.78125
2000-05-30,29.296875
2000-05-31,29.5
2000-06-01,29.734375
2000-06-02,29.953125
2000-06-05,29.90625
2000-06-06,29.6875
2000-06-07,29.546875
2000-06-08,29.078125
2000-06-09,29.1875
2000-06-12,29.21875
2000-06-13,29.34375
2000-06-14,29.28125
2000-06-15,29.5625
2000-06-16,28.984375
2000-06-19,28.6875
2000-06-20,27.796875
2000-06-21,27.90625
2000-06-22,27.296875
2000-06-23,27.59375
2000-06-26,28.25
2000-06-27,28.375
2000-06-28,28.734375
2000-06-29,28.234375
2000-06-30,28.28125
2000-07-03,28.65625
2000-07-05,28.40625
2000-07-06,28.328125
2000-07-07,28.46875
2000-07-10,28.5
2000-07-11,29.046875
2000-07-12,29.15625
2000-07-13,29.390625
2000-07-14,29.6875
2000-07-17,29.859375
2000-07-18,29.9375
2000-07-19,29.6875
2000-07-20,30.046875
2000-07-21,30.0
2000-07-24,29.78125
2000-07-25,29.84375
2000-07-26,29.46875
2000-07-27,29.265625
2000-07-28,28.28125
2000-07-31,28.71875
2000-08-01,28.9375
2000-08-02,28.8125
2000-08-03,28.859375
2000-08-04,29.21875
2000-08-07,30.078125
2000-08-08,30.34375
2000-08-09,30.609375
2000-08-10,30.53125
2000-08-11,30.875
2000-08-14,31.1875
2000-08-15,30.796875
2000-08-16,30.65625
2000-08-17,30.8125
2000-08-18,30.71875
2000-08-21,31.15625
2000-08-22,31.09375
2000-08-23,30.9375
2000-08-24,31.265625
2000-08-25,31.40625
2000-08-28,31.828125
2000-08-29,31.625
2000-08-30,31.328125
2000-08-31,31.5625
2000-09-01,31.84375
2000-09-05,31.84375
2000-09-06,32.0
2000-09-07,31.8125
2000-09-08,31.4375
2000-09-11,31.28125
2000-09-12,31.1875
2000-09-13,31.28125
2000-09-14,31.25
2000-09-15,30.375
2000-09-18,30.03125
2000-09-19,29.6875
2000-09-20,29.84375
2000-09-21,29.9375
2000-09-22,29.71875
2000-09-25,30.59375
2000-09-26,30.625
2000-09-27,30.375
2000-09-28,30.78125
2000-09-29,30.5625
2000-10-02,30.25
2000-10-03,30.84375
2000-10-04,31.0625
2000-10-05,31.09375
2000-10-06,30.25
2000-10-09,30.4375
2000-10-10,30.03125
2000-10-11,29.5
2000-10-12,28.828125
2000-10-13,29.71875
2000-10-16,30.125
2000-10-17,29.3125
2000-10-18,28.78125
2000-10-19,29.28125
2000-10-20,29.4375
2000-10-23,29.78125
2000-10-24,30.25
2000-10-25,29.6875
2000-10-26,29.84375
2000-10-27,29.828125
2000-10-30,30.15625
2000-10-31,31.25
2000-11-01,31.28125
2000-11-02,31.21875
2000-11-03,30.96875
2000-11-06,31.25
2000-11-07,31.375
2000-11-08,31.171875
2000-11-09,31.375
2000-11-10,30.65625
2000-11-13,30.09375
2000-11-14,30.6875
2000-11-15,30.75
2000-11-16,30.90625
2000-11-17,30.78125
2000-11-20,30.34375
2000-11-21,30.71875
2000-11-22,30.21875
2000-11-24,30.71875
2000-11-27,30.78125
2000-11-28,30.390625
2000-11-29,30.640625
2000-11-30,30.1875
2000-12-01,30.453125
2000-12-04,31.28125
2000-12-05,32.421875
2000-12-06,31.78125
2000-12-07,31.6875
2000-12-08,32.234375
2000-12-11,32.59375
2000-12-12,32.109375
2000-12-13,31.546875
2000-12-14,30.875
2000-12-15,30.25
2000-12-18,30.8125
2000-12-19,30.28125
2000-12-20,29.28125
2000-12-21,29.453125
2000-12-22,30.15625
2000-12-26,30.5
2000-12-27,31.0
2000-12-28,31.453125
2000-12-29,31.25
2001-01-02,29.859375
2001-01-03,31.15625
2001-01-04,31.40625
2001-01-05,30.5
2001-01-08,30.25
2001-01-09,30.34375
2001-01-10,30.625
2001-01-11,31.0
2001-01-12,30.90625
2001-01-16,31.203125
2001-01-17,31.15625
2001-01-18,31.359375
2001-01-19,31.03125
2001-01-22,30.96875
2001-01-23,31.375
2001-01-24,31.203125
2001-01-25,31.1875
2001-01-26,30.671875
