Date,XLC
2018-06-19,49.959999084472656
2018-06-20,50.58000183105469
2018-06-21,50.27000045776367
2018-06-22,50.4900016784668
2018-06-25,49.45000076293945
2018-06-26,49.53200149536133
2018-06-27,49.099998474121094
2018-06-28,49.59000015258789
2018-06-29,49.529998779296875
2018-07-02,49.84000015258789
2018-07-03,49.22999954223633
2018-07-05,49.97999954223633
2018-07-06,50.77000045776367
2018-07-09,51.060001373291016
2018-07-10,51.03900146484375
2018-07-11,50.970001220703125
2018-07-12,51.77000045776367
2018-07-13,51.689998626708984
2018-07-16,51.540000915527344
2018-07-17,51.54999923706055
2018-07-18,51.400001525878906
2018-07-19,51.040000915527344
2018-07-20,50.869998931884766
2018-07-23,51.08000183105469
2018-07-24,51.439998626708984
2018-07-25,51.810001373291016
2018-07-26,49.85599899291992
2018-07-27,48.90999984741211
2018-07-30,48.13999938964844
2018-07-31,48.459999084472656
2018-08-01,48.2599983215332
2018-08-02,48.58000183105469
2018-08-03,48.90999984741211
2018-08-06,49.400001525878906
2018-08-07,49.459999084472656
2018-08-08,49.41999816894531
2018-08-09,49.689998626708984
2018-08-10,49.27000045776367
2018-08-13,49.20000076293945
2018-08-14,49.54999923706055
2018-08-15,48.86000061035156
2018-08-16,48.84000015258789
2018-08-17,48.61000061035156
2018-08-20,48.689998626708984
2018-08-21,48.9900016784668
2018-08-22,48.93000030517578
2018-08-23,48.72999954223633
2018-08-24,49.439998626708984
2018-08-27,49.91999816894531
2018-08-28,49.70000076293945
2018-08-29,49.97999954223633
2018-08-30,49.66999816894531
2018-08-31,49.18000030517578
2018-09-04,48.56999969482422
2018-09-05,47.939998626708984
2018-09-06,47.58000183105469
2018-09-07,47.68000030517578
2018-09-10,47.779998779296875
2018-09-11,48.2599983215332
2018-09-12,48.119998931884766
2018-09-13,48.459999084472656
2018-09-14,48.369998931884766
2018-09-17,47.900001525878906
2018-09-18,48.2400016784668
2018-09-19,48.369998931884766
2018-09-20,48.900001525878906
2018-09-21,48.54999923706055
2018-09-24,48.54999923706055
2018-09-25,48.56999969482422
2018-09-26,48.7599983215332
2018-09-27,49.18000030517578
2018-09-28,49.0
2018-10-01,48.79999923706055
2018-10-02,48.7599983215332
2018-10-03,48.97999954223633
2018-10-04,48.279998779296875
2018-10-05,47.81999969482422
2018-10-08,47.65999984741211
2018-10-09,47.630001068115234
2018-10-10,45.75
2018-10-11,45.36000061035156
2018-10-12,46.369998931884766
2018-10-15,46.189998626708984
2018-10-16,47.40999984741211
2018-10-17,47.599998474121094
2018-10-18,46.72999954223633
2018-10-19,46.720001220703125
2018-10-22,46.689998626708984
2018-10-23,46.59000015258789
2018-10-24,44.369998931884766
2018-10-25,45.84000015258789
2018-10-26,44.599998474121094
2018-10-29,43.90999984741211
2018-10-30,45.11000061035156
2018-10-31,46.040000915527344
2018-11-01,46.310001373291016
2018-11-02,45.84000015258789
2018-11-05,45.650001525878906
2018-11-06,45.91999816894531
2018-11-07,46.7599983215332
2018-11-08,46.31999969482422
2018-11-09,45.369998931884766
2018-11-12,44.689998626708984
2018-11-13,44.54999923706055
2018-11-14,44.77000045776367
2018-11-15,45.099998474121094
2018-11-16,44.880001068115234
2018-11-19,43.52000045776367
2018-11-20,42.95000076293945
2018-11-21,43.459999084472656
2018-11-23,42.88999938964844
2018-11-26,43.869998931884766
2018-11-27,44.0099983215332
2018-11-28,44.93000030517578
2018-11-29,45.08000183105469
2018-11-30,45.0099983215332
2018-12-03,45.08000183105469
2018-12-04,43.75
2018-12-06,44.2400016784668
2018-12-07,43.400001525878906
2018-12-10,43.72999954223633
2018-12-11,43.77000045776367
2018-12-12,44.2400016784668
2018-12-13,44.040000915527344
2018-12-14,43.61000061035156
2018-12-17,42.7599983215332
2018-12-18,42.95000076293945
2018-12-19,42.029998779296875
2018-12-20,41.290000915527344
2018-12-21,39.810001373291016
2018-12-24,38.970001220703125
2018-12-26,41.15999984741211
2018-12-27,41.349998474121094
2018-12-28,41.220001220703125
2018-12-31,41.279998779296875
2019-01-02,41.83000183105469
2019-01-03,41.130001068115234
2019-01-04,42.900001525878906
2019-01-07,43.38999938964844
2019-01-08,44.119998931884766
2019-01-09,44.18000030517578
2019-01-10,44.27000045776367
2019-01-11,44.04999923706055
2019-01-14,43.88999938964844
2019-01-15,44.619998931884766
2019-01-16,44.43000030517578
2019-01-17,44.61000061035156
2019-01-18,44.970001220703125
2019-01-22,44.040000915527344
2019-01-23,43.84000015258789
2019-01-24,44.040000915527344
2019-01-25,44.599998474121094
2019-01-28,44.209999084472656
2019-01-29,43.689998626708984
2019-01-30,44.31999969482422
2019-01-31,46.130001068115234
2019-02-01,45.970001220703125
2019-02-04,46.400001525878906
2019-02-05,46.90999984741211
2019-02-06,45.86000061035156
2019-02-07,45.41999816894531
2019-02-08,45.72999954223633
2019-02-11,45.2599983215332
2019-02-12,45.779998779296875
2019-02-13,45.810001373291016
2019-02-14,45.97999954223633
2019-02-15,46.18000030517578
2019-02-19,46.22999954223633
2019-02-20,46.06999969482422
2019-02-21,45.63999938964844
2019-02-22,46.06999969482422
2019-02-25,46.119998931884766
2019-02-26,46.119998931884766
2019-02-27,45.88999938964844
2019-02-28,45.91999816894531
2019-03-01,46.279998779296875
2019-03-04,46.34000015258789
2019-03-05,46.630001068115234
2019-03-06,46.61000061035156
2019-03-07,46.20000076293945
2019-03-08,46.16999816894531
2019-03-11,47.0
2019-03-12,47.209999084472656
2019-03-13,47.349998474121094
2019-03-14,47.13999938964844
2019-03-15,47.02000045776367
2019-03-18,46.619998931884766
