Date,LIT
2010-07-23,32.18000030517578
2010-07-26,32.91999816894531
2010-07-27,32.779998779296875
2010-07-28,32.65999984741211
2010-07-29,33.63999938964844
2010-07-30,33.34000015258789
2010-08-02,34.099998474121094
2010-08-03,34.13999938964844
2010-08-04,34.52000045776367
2010-08-05,34.86000061035156
2010-08-06,34.560001373291016
2010-08-09,34.7400016784668
2010-08-10,34.380001068115234
2010-08-11,32.70000076293945
2010-08-12,32.70000076293945
2010-08-13,32.459999084472656
2010-08-16,32.65999984741211
2010-08-17,33.63999938964844
2010-08-18,33.7400016784668
2010-08-19,33.13999938964844
2010-08-20,32.86000061035156
2010-08-23,32.79999923706055
2010-08-24,32.099998474121094
2010-08-25,32.02000045776367
2010-08-26,31.920000076293945
2010-08-27,32.58000183105469
2010-08-30,32.41999816894531
2010-08-31,32.220001220703125
2010-09-01,33.2400016784668
2010-09-02,33.86000061035156
2010-09-03,34.2400016784668
2010-09-07,34.400001525878906
2010-09-08,34.540000915527344
2010-09-09,34.65999984741211
2010-09-10,34.7599983215332
2010-09-13,35.720001220703125
2010-09-14,36.0
2010-09-15,35.7599983215332
2010-09-16,35.91999816894531
2010-09-17,36.119998931884766
2010-09-20,36.81999969482422
2010-09-21,36.560001373291016
2010-09-22,36.459999084472656
2010-09-23,36.099998474121094
2010-09-24,36.880001068115234
2010-09-27,37.34000015258789
2010-09-28,37.58000183105469
2010-09-29,37.220001220703125
2010-09-30,37.18000030517578
2010-10-01,37.31999969482422
2010-10-04,36.81999969482422
2010-10-05,37.560001373291016
2010-10-06,37.52000045776367
2010-10-07,37.34000015258789
2010-10-08,38.400001525878906
2010-10-11,38.720001220703125
2010-10-12,39.02000045776367
2010-10-13,39.720001220703125
2010-10-14,39.86000061035156
2010-10-15,39.68000030517578
2010-10-18,39.91999816894531
2010-10-19,39.0
2010-10-20,39.7599983215332
2010-10-21,39.58000183105469
2010-10-22,39.439998626708984
2010-10-25,40.13999938964844
2010-10-26,40.220001220703125
2010-10-27,39.68000030517578
2010-10-28,39.959999084472656
2010-10-29,39.779998779296875
2010-11-01,39.619998931884766
2010-11-02,40.119998931884766
2010-11-03,40.08000183105469
2010-11-04,41.08000183105469
2010-11-05,42.0
2010-11-08,42.220001220703125
2010-11-09,41.2400016784668
2010-11-10,41.47999954223633
2010-11-11,41.47999954223633
2010-11-12,40.68000030517578
2010-11-15,40.31999969482422
2010-11-16,39.279998779296875
2010-11-17,39.58000183105469
2010-11-18,40.58000183105469
2010-11-19,40.68000030517578
2010-11-22,41.060001373291016
2010-11-23,40.279998779296875
2010-11-24,41.36000061035156
2010-11-26,41.439998626708984
2010-11-29,41.47999954223633
2010-11-30,40.52000045776367
2010-12-01,41.279998779296875
2010-12-02,41.959999084472656
2010-12-03,42.060001373291016
2010-12-06,42.2599983215332
2010-12-07,42.459999084472656
2010-12-08,42.41999816894531
2010-12-09,42.52000045776367
2010-12-10,42.68000030517578
2010-12-13,42.7599983215332
2010-12-14,42.5
2010-12-15,42.599998474121094
2010-12-16,42.63999938964844
2010-12-17,42.400001525878906
2010-12-20,42.560001373291016
2010-12-21,43.20000076293945
2010-12-22,43.119998931884766
2010-12-23,43.18000030517578
2010-12-27,43.41999816894531
2010-12-28,44.2400016784668
2010-12-29,44.599998474121094
2010-12-30,45.08000183105469
2010-12-31,45.47999954223633
2011-01-03,47.220001220703125
2011-01-04,46.08000183105469
2011-01-05,45.86000061035156
2011-01-06,44.779998779296875
2011-01-07,44.65999984741211
2011-01-10,44.65999984741211
2011-01-11,45.220001220703125
2011-01-12,46.040000915527344
2011-01-13,45.880001068115234
2011-01-14,45.720001220703125
2011-01-18,46.040000915527344
2011-01-19,44.720001220703125
2011-01-20,43.459999084472656
2011-01-21,43.439998626708984
2011-01-24,43.79999923706055
2011-01-25,43.5
2011-01-26,44.2400016784668
2011-01-27,44.34000015258789
2011-01-28,43.459999084472656
2011-01-31,43.619998931884766
2011-02-01,44.779998779296875
2011-02-02,44.84000015258789
2011-02-03,44.720001220703125
2011-02-04,44.560001373291016
2011-02-07,45.15999984741211
2011-02-08,46.47999954223633
2011-02-09,45.58000183105469
2011-02-10,45.65999984741211
2011-02-11,46.380001068115234
2011-02-14,46.63999938964844
2011-02-15,46.20000076293945
2011-02-16,46.959999084472656
2011-02-17,47.13999938964844
2011-02-18,46.439998626708984
2011-02-22,44.20000076293945
2011-02-23,43.63999938964844
2011-02-24,43.68000030517578
2011-02-25,44.880001068115234
2011-02-28,45.099998474121094
2011-03-01,43.70000076293945
2011-03-02,43.5
2011-03-03,45.20000076293945
2011-03-04,44.619998931884766
2011-03-07,43.900001525878906
2011-03-08,44.13999938964844
2011-03-09,43.779998779296875
2011-03-10,42.18000030517578
2011-03-11,42.52000045776367
2011-03-14,41.34000015258789
2011-03-15,40.459999084472656
2011-03-16,39.84000015258789
2011-03-17,40.380001068115234
2011-03-18,40.97999954223633
2011-03-21,42.439998626708984
2011-03-22,42.91999816894531
2011-03-23,42.91999816894531
2011-03-24,43.2599983215332
2011-03-25,43.34000015258789
2011-03-28,43.060001373291016
2011-03-29,43.400001525878906
2011-03-30,42.959999084472656
2011-03-31,43.040000915527344
2011-04-01,44.220001220703125
2011-04-04,44.540000915527344
2011-04-05,45.08000183105469
2011-04-06,44.79999923706055
2011-04-07,44.880001068115234
2011-04-08,44.540000915527344
2011-04-11,44.20000076293945
2011-04-12,43.2599983215332
2011-04-13,43.63999938964844
2011-04-14,44.0
2011-04-15,43.7400016784668
2011-04-18,43.040000915527344
2011-04-19,42.84000015258789
