Date,XLF
1998-12-22,18.937854766845703
1998-12-23,19.217100143432617
1998-12-24,19.34402847290039
1998-12-28,19.090171813964844
1998-12-29,19.293258666992188
1998-12-30,19.217100143432617
1998-12-31,19.039398193359375
1999-01-04,19.039398193359375
1999-01-05,19.217100143432617
1999-01-06,19.82636070251465
1999-01-07,20.130990982055664
1999-01-08,20.257919311523438
1999-01-11,19.953290939331055
1999-01-12,19.394800186157227
1999-01-13,19.140941619873047
1999-01-14,18.658611297607422
1999-01-15,19.191713333129883
1999-01-19,19.090171813964844
1999-01-20,19.229793548583984
1999-01-21,18.887083053588867
1999-01-22,18.760154724121094
1999-01-25,18.9124698638916
1999-01-26,18.925161361694336
1999-01-27,18.683996200561523
1999-01-28,18.963241577148438
1999-01-29,19.369415283203125
1999-02-01,19.039398193359375
1999-02-02,18.83631134033203
1999-02-03,18.975933074951172
1999-02-04,18.531681060791016
1999-02-05,18.379365921020508
1999-02-08,18.328594207763672
1999-02-09,18.074735641479492
1999-02-10,18.22705078125
1999-02-11,18.963241577148438
1999-02-12,18.683996200561523
1999-02-16,18.963241577148438
1999-02-17,19.039398193359375
1999-02-18,19.229793548583984
1999-02-19,19.293258666992188
1999-02-22,19.851747512817383
1999-02-23,20.10560417175293
1999-02-24,19.445573806762695
1999-02-25,19.31864356994629
1999-02-26,19.67404556274414
1999-03-01,19.750202178955078
1999-03-02,19.800975799560547
1999-03-03,19.610580444335938
1999-03-04,20.054832458496094
1999-03-05,20.562551498413086
1999-03-08,20.422929763793945
1999-03-09,20.587936401367188
1999-03-10,20.968725204467773
1999-03-11,21.070268630981445
1999-03-12,21.108346939086914
1999-03-15,21.171812057495117
1999-03-16,20.8671817779541
1999-03-17,20.68947982788086
1999-03-18,21.171812057495117
1999-03-19,20.714866638183594
1999-03-22,20.76563835144043
1999-03-23,20.054832458496094
1999-03-24,20.00406265258789
1999-03-25,20.46100616455078
1999-03-26,20.283306121826172
1999-03-29,20.740251541137695
1999-03-30,20.499086380004883
1999-03-31,20.257919311523438
1999-04-01,20.308692932128906
1999-04-05,20.714866638183594
1999-04-06,20.562551498413086
1999-04-07,21.12104034423828
1999-04-08,21.501827239990234
1999-04-09,21.4510555267334
1999-04-12,21.831844329833984
1999-04-13,21.80645751953125
1999-04-14,21.52721405029297
1999-04-15,21.324127197265625
1999-04-16,21.222583770751953
1999-04-19,21.222583770751953
1999-04-20,21.501827239990234
1999-04-21,21.831844329833984
1999-04-22,22.06031608581543
1999-04-23,21.984159469604492
1999-04-26,21.654142379760742
1999-04-27,22.034931182861328
1999-04-28,21.908002853393555
1999-04-29,21.984159469604492
1999-04-30,21.679529190063477
1999-05-03,21.933387756347656
1999-05-04,21.247968673706055
1999-05-05,21.37489891052246
1999-05-06,21.01949691772461
1999-05-07,21.425670623779297
1999-05-10,21.349512100219727
1999-05-11,21.603370666503906
1999-05-12,21.908002853393555
1999-05-13,22.1110897064209
1999-05-14,21.425670623779297
1999-05-17,21.01949691772461
1999-05-18,21.070268630981445
1999-05-19,21.222583770751953
1999-05-20,20.94333839416504
1999-05-21,20.892566680908203
1999-05-24,20.43562126159668
1999-05-25,19.902517318725586
1999-05-26,20.54985809326172
1999-05-27,20.054832458496094
1999-05-28,20.372156143188477
1999-06-01,20.080219268798828
1999-06-02,19.953290939331055
1999-06-03,19.940597534179688
1999-06-04,20.308692932128906
1999-06-07,20.68947982788086
1999-06-08,20.32138442993164
1999-06-09,20.270612716674805
1999-06-10,19.88982582092285
1999-06-11,19.92790412902832
1999-06-14,19.82636070251465
1999-06-15,19.92790412902832
1999-06-16,20.448314666748047
1999-06-17,20.841794967651367
1999-06-18,20.816408157348633
1999-06-21,20.94333839416504
1999-06-22,20.714866638183594
1999-06-23,20.51177978515625
1999-06-24,20.1817626953125
1999-06-25,20.232534408569336
1999-06-28,20.702173233032227
1999-06-29,20.76563835144043
1999-06-30,21.19719696044922
1999-07-01,21.425670623779297
1999-07-02,21.425670623779297
1999-07-06,21.603370666503906
1999-07-07,21.52721405029297
1999-07-08,21.4510555267334
1999-07-09,21.476442337036133
1999-07-12,21.29874038696289
1999-07-13,21.070268630981445
1999-07-14,21.12104034423828
1999-07-15,21.311433792114258
1999-07-16,21.425670623779297
1999-07-19,21.27335548400879
1999-07-20,21.006803512573242
1999-07-21,20.76563835144043
1999-07-22,20.79102325439453
1999-07-23,20.562551498413086
1999-07-26,20.638708114624023
1999-07-27,20.917953491210938
1999-07-28,20.664094924926758
1999-07-29,20.359464645385742
1999-07-30,19.902517318725586
1999-08-02,19.800975799560547
1999-08-03,19.547115325927734
1999-08-04,19.293258666992188
1999-08-05,19.369415283203125
1999-08-06,18.861698150634766
1999-08-09,18.9124698638916
1999-08-10,18.58245277404785
1999-08-11,18.937854766845703
1999-08-12,19.02670669555664
1999-08-13,19.64866065979004
1999-08-16,19.57250213623047
1999-08-17,20.283306121826172
1999-08-18,20.06752586364746
1999-08-19,19.800975799560547
1999-08-20,20.080219268798828
1999-08-23,20.613323211669922
1999-08-24,20.664094924926758
1999-08-25,20.499086380004883
1999-08-26,20.029447555541992
1999-08-27,19.699430465698242
1999-08-30,19.052091598510742
1999-08-31,19.02670669555664
1999-09-01,19.115556716918945
1999-09-02,18.747461318969727
1999-09-03,19.699430465698242
1999-09-07,19.16632843017578
1999-09-08,19.039398193359375
1999-09-09,18.81092643737793
1999-09-10,18.95054817199707
1999-09-13,18.772846221923828
1999-09-14,18.430137634277344
1999-09-15,18.34128761291504
1999-09-16,18.277822494506836
1999-09-17,18.607839584350586
