Date,TMO
1980-03-17,2.0631000995635986
1980-03-18,2.0192039012908936
1980-03-19,2.1069960594177246
1980-03-20,2.0631000995635986
1980-03-21,2.0631000995635986
1980-03-24,1.9314130544662476
1980-03-25,1.9753090143203735
1980-03-26,1.9753090143203735
1980-03-27,1.7558300495147705
1980-03-28,1.9972569942474365
1980-03-31,2.1069960594177246
1980-04-01,2.085047960281372
1980-04-02,2.085047960281372
1980-04-03,2.0631000995635986
1980-04-07,1.9533610343933105
1980-04-08,1.9753090143203735
1980-04-09,2.0631000995635986
1980-04-10,2.1508920192718506
1980-04-11,2.1508920192718506
1980-04-14,2.0631000995635986
1980-04-15,2.041152000427246
1980-04-16,2.0631000995635986
1980-04-17,2.041152000427246
1980-04-18,2.0192039012908936
1980-04-21,1.9753090143203735
1980-04-22,2.085047960281372
1980-04-23,2.1069960594177246
1980-04-24,2.19478702545166
1980-04-25,2.1508920192718506
1980-04-28,2.19478702545166
1980-04-29,2.238682985305786
1980-04-30,2.2606310844421387
1980-05-01,2.19478702545166
1980-05-02,2.19478702545166
1980-05-05,2.2167348861694336
1980-05-06,2.19478702545166
1980-05-07,2.128943920135498
1980-05-08,2.041152000427246
1980-05-09,2.0631000995635986
1980-05-12,2.0631000995635986
1980-05-13,2.1069960594177246
1980-05-14,2.1508920192718506
1980-05-15,2.1508920192718506
1980-05-16,2.2167348861694336
1980-05-19,2.238682985305786
1980-05-20,2.1508920192718506
1980-05-21,2.1508920192718506
1980-05-22,2.19478702545166
1980-05-23,2.238682985305786
1980-05-27,2.238682985305786
1980-05-28,2.2167348861694336
1980-05-29,2.172840118408203
1980-05-30,2.19478702545166
1980-06-02,2.19478702545166
1980-06-03,2.172840118408203
1980-06-04,2.172840118408203
1980-06-05,2.1508920192718506
1980-06-06,2.2167348861694336
1980-06-09,2.2167348861694336
1980-06-10,2.3703699111938477
1980-06-11,2.5020580291748047
1980-06-12,2.480109930038452
1980-06-13,2.5240049362182617
1980-06-16,2.480109930038452
1980-06-17,2.3923180103302
1980-06-18,2.3703699111938477
1980-06-19,2.1069960594177246
1980-06-20,2.2167348861694336
1980-06-23,2.2167348861694336
1980-06-24,2.19478702545166
1980-06-25,2.348422050476074
1980-06-26,2.326474905014038
1980-06-27,2.3045270442962646
1980-06-30,2.19478702545166
1980-07-01,2.172840118408203
1980-07-02,2.2606310844421387
1980-07-03,2.3703699111938477
1980-07-07,2.3703699111938477
1980-07-08,2.3703699111938477
1980-07-09,2.348422050476074
1980-07-10,2.326474905014038
1980-07-11,2.3703699111938477
1980-07-14,2.480109930038452
1980-07-15,2.436213970184326
1980-07-16,2.3923180103302
1980-07-17,2.3923180103302
1980-07-18,2.3703699111938477
1980-07-21,2.3923180103302
1980-07-22,2.326474905014038
1980-07-23,2.326474905014038
1980-07-24,2.326474905014038
1980-07-25,2.4142661094665527
1980-07-28,2.5240049362182617
1980-07-29,2.5898489952087402
1980-07-30,2.6995880603790283
1980-07-31,2.633744955062866
1980-08-01,2.6556930541992188
1980-08-04,2.6995880603790283
1980-08-05,2.677640914916992
1980-08-06,2.677640914916992
1980-08-07,3.0507540702819824
1980-08-08,2.919066905975342
1980-08-11,2.8971190452575684
1980-08-12,2.853224039077759
1980-08-13,2.8971190452575684
1980-08-14,2.962963104248047
1980-08-15,2.9849109649658203
1980-08-18,2.9410150051116943
1980-08-19,2.875170946121216
1980-08-20,2.962963104248047
1980-08-21,3.2482850551605225
1980-08-22,3.22633695602417
1980-08-25,3.1824419498443604
1980-08-26,3.1824419498443604
1980-08-27,3.1385459899902344
1980-08-28,3.061728000640869
1980-08-29,3.0288069248199463
1980-09-02,3.0288069248199463
1980-09-03,3.072701930999756
