Date,GBTC
2015-05-11,0.5494509935379028
2015-05-12,0.5489010214805603
2015-05-13,0.5384619832038879
2015-05-14,0.49450498819351196
2015-05-15,0.4175820052623749
2015-05-18,0.2983520030975342
2015-05-19,0.318681001663208
2015-05-20,0.34615400433540344
2015-05-21,0.3516480028629303
2015-05-22,0.35054901242256165
2015-05-26,0.3516480028629303
2015-05-27,0.3357140123844147
2015-05-28,0.3626370131969452
2015-05-29,0.3626370131969452
2015-06-01,0.3368130028247833
2015-06-02,0.3203299939632416
2015-06-03,0.318681001663208
2015-06-04,0.3208790123462677
2015-06-05,0.3208790123462677
2015-06-08,0.3214290142059326
2015-06-09,0.318681001663208
2015-06-10,0.3214290142059326
2015-06-11,0.3203299939632416
2015-06-12,0.3180220127105713
2015-06-15,0.318681001663208
2015-06-16,0.318681001663208
2015-06-17,0.318681001663208
2015-06-18,0.318681001663208
2015-06-19,0.314505010843277
2015-06-22,0.3137359917163849
2015-06-23,0.3076919913291931
2015-06-24,0.31318700313568115
2015-06-25,0.31318700313568115
2015-06-26,0.318681001663208
2015-06-29,0.3196699917316437
2015-06-30,0.3309890031814575
2015-07-01,0.333516001701355
2015-07-02,0.333516001701355
2015-07-06,0.33516499400138855
2015-07-07,0.33516499400138855
2015-07-08,0.3362640142440796
2015-07-09,0.33461499214172363
2015-07-10,0.3362640142440796
2015-07-13,0.3332970142364502
2015-07-14,0.33516499400138855
2015-07-15,0.33516499400138855
2015-07-16,0.33516499400138855
2015-07-17,0.33461499214172363
2015-07-20,0.33087900280952454
2015-07-21,0.3340660035610199
2015-07-22,0.33516499400138855
2015-07-23,0.33516499400138855
2015-07-24,0.3357140123844147
2015-07-27,0.33516499400138855
2015-07-28,0.3357140123844147
2015-07-29,0.33461499214172363
2015-07-30,0.33516499400138855
2015-07-31,0.33131900429725647
2015-08-03,0.33076900243759155
2015-08-04,0.3296700119972229
2015-08-05,0.323186993598938
2015-08-06,0.33296701312065125
2015-08-07,0.32868099212646484
2015-08-10,0.32868099212646484
2015-08-11,0.33461499214172363
2015-08-12,0.32428601384162903
2015-08-13,0.3340660035610199
2015-08-14,0.3296700119972229
2015-08-17,0.32417601346969604
2015-08-18,0.323076993227005
2015-08-19,0.323076993227005
2015-08-20,0.318681001663208
2015-08-21,0.2967030107975006
2015-08-24,0.2637360095977783
2015-08-25,0.2637360095977783
2015-08-26,0.25406599044799805
2015-08-27,0.2608790099620819
2015-08-28,0.27461498975753784
2015-08-31,0.2857140004634857
2015-09-01,0.2857140004634857
2015-09-02,0.30219799280166626
2015-09-03,0.3159340023994446
2015-09-04,0.3181320130825043
2015-09-08,0.32857099175453186
2015-09-09,0.32417601346969604
2015-09-10,0.32857099175453186
2015-09-11,0.3296700119972229
2015-09-14,0.32417601346969604
2015-09-15,0.3295600116252899
2015-09-16,0.318681001663208
