Date,NUE
1980-03-17,0.796875
1980-03-18,0.8072919845581055
1980-03-19,0.8333330154418945
1980-03-20,0.8229169845581055
1980-03-21,0.8072919845581055
1980-03-24,0.7760419845581055
1980-03-25,0.7213540077209473
1980-03-26,0.7239580154418945
1980-03-27,0.6614580154418945
1980-03-28,0.7447919845581055
1980-03-31,0.7734379768371582
1980-04-01,0.8125
1980-04-02,0.8125
1980-04-03,0.8255209922790527
1980-04-07,0.8098959922790527
1980-04-08,0.7734379768371582
1980-04-09,0.7604169845581055
1980-04-10,0.7734379768371582
1980-04-11,0.78125
1980-04-14,0.765625
1980-04-15,0.7604169845581055
1980-04-16,0.7604169845581055
1980-04-17,0.7473959922790527
1980-04-18,0.7395830154418945
1980-04-21,0.7109379768371582
1980-04-22,0.7291669845581055
1980-04-23,0.7578129768371582
1980-04-24,0.7760419845581055
1980-04-25,0.78125
1980-04-28,0.8125
1980-04-29,0.8151040077209473
1980-04-30,0.8541669845581055
1980-05-01,0.8229169845581055
1980-05-02,0.8177080154418945
1980-05-05,0.8489580154418945
1980-05-06,0.875
1980-05-07,0.9140629768371582
1980-05-08,0.9166669845581055
1980-05-09,0.8958330154418945
1980-05-12,0.8828129768371582
1980-05-13,0.9166669845581055
1980-05-14,0.9453129768371582
1980-05-15,0.9791669845581055
1980-05-16,0.9661459922790527
1980-05-19,0.9765629768371582
1980-05-20,0.9348959922790527
1980-05-21,0.9270830154418945
1980-05-22,0.9427080154418945
1980-05-23,0.96875
1980-05-27,0.9609379768371582
1980-05-28,0.9583330154418945
1980-05-29,0.953125
1980-05-30,0.9453129768371582
1980-06-02,0.9479169845581055
1980-06-03,0.9505209922790527
1980-06-04,0.9583330154418945
1980-06-05,0.96875
1980-06-06,0.9609379768371582
1980-06-09,0.96875
1980-06-10,0.9817709922790527
1980-06-11,0.9791669845581055
1980-06-12,0.9791669845581055
1980-06-13,0.9713540077209473
1980-06-16,0.9635419845581055
1980-06-17,0.9661459922790527
1980-06-18,0.9557290077209473
1980-06-19,0.9479169845581055
1980-06-20,0.9453129768371582
1980-06-23,0.9869790077209473
1980-06-24,1.0104169845581055
1980-06-25,1.0130209922790527
1980-06-26,1.0130209922790527
1980-06-27,1.0
1980-06-30,0.984375
1980-07-01,0.9895830154418945
1980-07-02,0.9947919845581055
1980-07-03,1.0052080154418945
1980-07-07,1.0364580154418945
1980-07-08,1.0572919845581055
1980-07-09,1.078125
1980-07-10,1.09375
1980-07-11,1.140625
1980-07-14,1.1875
1980-07-15,1.1770830154418945
1980-07-16,1.1875
1980-07-17,1.1770830154418945
1980-07-18,1.21875
1980-07-21,1.2135419845581055
1980-07-22,1.2317709922790527
1980-07-23,1.2135419845581055
1980-07-24,1.2135419845581055
1980-07-25,1.2005209922790527
1980-07-28,1.1953129768371582
1980-07-29,1.2057290077209473
1980-07-30,1.2291669845581055
1980-07-31,1.2239580154418945
1980-08-01,1.2291669845581055
1980-08-04,1.2265629768371582
1980-08-05,1.2604169845581055
1980-08-06,1.2786459922790527
1980-08-07,1.3125
1980-08-08,1.28125
1980-08-11,1.2916669845581055
1980-08-12,1.3072919845581055
1980-08-13,1.3020830154418945
1980-08-14,1.3020830154418945
1980-08-15,1.2994790077209473
1980-08-18,1.28125
1980-08-19,1.2552080154418945
1980-08-20,1.2083330154418945
1980-08-21,1.234375
1980-08-22,1.2708330154418945
1980-08-25,1.2552080154418945
1980-08-26,1.2291669845581055
1980-08-27,1.1822919845581055
1980-08-28,1.1588540077209473
1980-08-29,1.1588540077209473
1980-09-02,1.1875
1980-09-03,1.265625
1980-09-04,1.265625
1980-09-05,1.25
1980-09-08,1.2083330154418945
1980-09-09,1.203125
1980-09-10,1.234375
1980-09-11,1.2447919845581055
1980-09-12,1.2317709922790527
1980-09-15,1.2135419845581055
1980-09-16,1.2239580154418945
1980-09-17,1.2369790077209473
1980-09-18,1.2552080154418945
1980-09-19,1.265625
1980-09-22,1.3072919845581055
1980-09-23,1.3098959922790527
1980-09-24,1.2994790077209473
1980-09-25,1.2994790077209473
1980-09-26,1.2916669845581055
1980-09-29,1.21875
1980-09-30,1.2473959922790527
1980-10-01,1.2578129768371582
1980-10-02,1.265625
1980-10-03,1.2630209922790527
1980-10-06,1.3098959922790527
1980-10-07,1.3411459922790527
1980-10-08,1.3125
1980-10-09,1.2916669845581055
1980-10-10,1.2864580154418945
1980-10-13,1.2916669845581055
1980-10-14,1.3177080154418945
1980-10-15,1.3072919845581055
1980-10-16,1.265625
1980-10-17,1.2552080154418945
1980-10-20,1.25
1980-10-21,1.25
1980-10-22,1.2447919845581055
1980-10-23,1.2317709922790527
1980-10-24,1.2291669845581055
1980-10-27,1.2317709922790527
1980-10-28,1.2265629768371582
1980-10-29,1.25
1980-10-30,1.265625
1980-10-31,1.25
1980-11-03,1.265625
1980-11-05,1.3333330154418945
1980-11-06,1.3333330154418945
1980-11-07,1.3229169845581055
1980-11-10,1.3307290077209473
1980-11-11,1.3541669845581055
1980-11-12,1.4375
1980-11-13,1.5104169845581055
1980-11-14,1.5104169845581055
1980-11-17,1.46875
1980-11-18,1.5026040077209473
1980-11-19,1.484375
1980-11-20,1.4869790077209473
1980-11-21,1.4583330154418945
1980-11-24,1.4427080154418945
1980-11-25,1.4583330154418945
1980-11-26,1.4375
1980-11-28,1.4166669845581055
1980-12-01,1.4010419845581055
1980-12-02,1.375
1980-12-03,1.3880209922790527
1980-12-04,1.3828129768371582
1980-12-05,1.3541669845581055
1980-12-08,1.3072919845581055
1980-12-09,1.3020830154418945
