Date,ENB
1984-03-15,1.6747870445251465
1984-03-16,1.6747870445251465
1984-03-19,1.6747870445251465
1984-03-20,1.6747870445251465
1984-03-21,1.5986599922180176
1984-03-22,1.5986599922180176
1984-03-23,1.5986599922180176
1984-03-26,1.5986599922180176
1984-03-27,1.5986599922180176
1984-03-28,1.5986599922180176
1984-03-29,1.5986599922180176
1984-03-30,1.5986599922180176
1984-04-02,1.5986599922180176
1984-04-03,1.5986599922180176
1984-04-04,1.5986599922180176
1984-04-05,1.5986599922180176
1984-04-06,1.5986599922180176
1984-04-09,1.5986599922180176
1984-04-10,1.5986599922180176
1984-04-11,1.5986599922180176
1984-04-12,1.5986599922180176
1984-04-13,1.5986599922180176
1984-04-16,1.5986599922180176
1984-04-17,1.5986599922180176
1984-04-18,1.5986599922180176
1984-04-19,1.5986599922180176
1984-04-23,1.5986599922180176
1984-04-24,1.5986599922180176
1984-04-25,1.5796289443969727
1984-04-26,1.5796289443969727
1984-04-27,1.5796289443969727
1984-04-30,1.5796289443969727
1984-05-01,1.5796289443969727
1984-05-02,1.5796289443969727
1984-05-03,1.5796289443969727
1984-05-04,1.5796289443969727
1984-05-07,1.5796289443969727
1984-05-08,1.4654380083084106
1984-05-09,1.4654380083084106
1984-05-10,1.54156494140625
1984-05-11,1.54156494140625
1984-05-14,1.54156494140625
1984-05-15,1.5605969429016113
1984-05-16,1.5605969429016113
1984-05-17,1.5796289443969727
1984-05-18,1.5986599922180176
1984-05-21,1.5796289443969727
1984-05-22,1.5225330591201782
1984-05-23,1.5225330591201782
1984-05-24,1.5225330591201782
1984-05-25,1.513018012046814
1984-05-29,1.513018012046814
1984-05-30,1.513018012046814
1984-05-31,1.513018012046814
1984-06-01,1.5605969429016113
1984-06-04,1.5605969429016113
1984-06-05,1.5605969429016113
1984-06-06,1.5605969429016113
1984-06-07,1.5605969429016113
1984-06-08,1.5605969429016113
1984-06-11,1.5605969429016113
1984-06-12,1.5605969429016113
1984-06-13,1.5605969429016113
1984-06-14,1.5796289443969727
1984-06-15,1.5796289443969727
1984-06-18,1.5796289443969727
1984-06-19,1.5796289443969727
1984-06-20,1.5796289443969727
1984-06-21,1.5796289443969727
1984-06-22,1.6367239952087402
1984-06-25,1.6367239952087402
1984-06-26,1.6367239952087402
1984-06-27,1.6462390422821045
1984-06-28,1.6462390422821045
1984-06-29,1.6557550430297852
1984-07-02,1.6557550430297852
1984-07-03,1.6557550430297852
1984-07-05,1.6557550430297852
1984-07-06,1.6557550430297852
1984-07-09,1.6557550430297852
1984-07-10,1.6557550430297852
1984-07-11,1.6557550430297852
1984-07-12,1.6557550430297852
1984-07-13,1.6367239952087402
1984-07-16,1.6747870445251465
1984-07-17,1.6652710437774658
1984-07-18,1.6652710437774658
1984-07-19,1.6652710437774658
1984-07-20,1.6652710437774658
1984-07-23,1.6652710437774658
1984-07-24,1.6652710437774658
1984-07-25,1.6652710437774658
1984-07-26,1.6652710437774658
1984-07-27,1.6652710437774658
1984-07-30,1.6652710437774658
1984-07-31,1.6652710437774658
1984-08-01,1.6652710437774658
1984-08-02,1.6652710437774658
1984-08-03,1.6652710437774658
1984-08-06,1.6652710437774658
1984-08-07,1.6652710437774658
1984-08-08,1.6652710437774658
1984-08-09,1.6652710437774658
1984-08-10,1.7984930276870728
1984-08-13,1.7984930276870728
1984-08-14,1.7984930276870728
1984-08-15,1.7984930276870728
1984-08-16,1.7984930276870728
1984-08-17,1.7984930276870728
1984-08-20,1.7984930276870728
1984-08-21,1.7984930276870728
1984-08-22,1.7984930276870728
1984-08-23,1.7984930276870728
1984-08-24,1.7984930276870728
1984-08-27,1.7984930276870728
1984-08-28,1.7984930276870728
1984-08-29,1.8460719585418701
1984-08-30,1.8460719585418701
1984-08-31,1.8555879592895508
1984-09-04,1.8651039600372314
1984-09-05,1.8651039600372314
1984-09-06,1.8555879592895508
1984-09-07,1.8460719585418701
1984-09-10,1.8460719585418701
1984-09-11,1.8460719585418701
1984-09-12,1.8460719585418701
1984-09-13,1.8460719585418701
1984-09-14,1.8460719585418701
1984-09-17,1.8460719585418701
1984-09-18,1.8841350078582764
1984-09-19,1.8841350078582764
1984-09-20,1.8841350078582764
1984-09-21,1.8841350078582764
1984-09-24,1.8841350078582764
1984-09-25,1.8841350078582764
1984-09-26,1.8841350078582764
1984-09-27,1.8841350078582764
1984-09-28,1.8841350078582764
1984-10-01,1.8841350078582764
1984-10-02,1.8841350078582764
1984-10-03,1.8841350078582764
1984-10-04,1.8841350078582764
1984-10-05,1.8080090284347534
1984-10-08,1.8080090284347534
1984-10-09,1.8080090284347534
1984-10-10,1.8080090284347534
1984-10-11,1.8080090284347534
1984-10-12,1.8080090284347534
1984-10-15,1.8080090284347534
1984-10-16,1.7699450254440308
1984-10-17,1.7699450254440308
1984-10-18,1.7699450254440308
1984-10-19,1.7699450254440308
1984-10-22,1.7984930276870728
1984-10-23,1.7984930276870728
1984-10-24,1.7984930276870728
1984-10-25,1.7984930276870728
1984-10-26,1.7984930276870728
1984-10-29,1.7984930276870728
1984-10-30,1.7984930276870728
1984-10-31,1.7984930276870728
1984-11-01,1.8080090284347534
1984-11-02,1.8080090284347534
1984-11-05,1.8175239562988281
1984-11-06,1.8460719585418701
1984-11-07,1.8460719585418701
1984-11-08,1.8460719585418701
1984-11-09,1.8460719585418701
1984-11-12,1.8080090284347534
1984-11-13,1.8080090284347534
1984-11-14,1.8080090284347534
1984-11-15,1.8080090284347534
1984-11-16,1.8270399570465088
1984-11-19,1.8270399570465088
1984-11-20,1.8270399570465088
