,date,description,language,source,text,title,url,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent,tokens
38,2022-06-30,"The latest price moves in bitcoin ($BTC) and crypto markets in context, for June 30, 2022.",en,"{'id': None, 'name': 'CoinDesk'}","Good morning, and welcome to First Mover. Im Lyllah Ledesma, here to take you through the latest in crypto markets, news and insights.
<ul><li>Price Point: Bitcoin suffered its worst monthly returns… [+5056 chars]","First Mover Americas: BTC Down 40% in June, SEC Rejects Grayscale’s BTC ETF Application",https://www.coindesk.com/markets/2022/06/30/first-mover-americas-btc-down-40-in-june-sec-rejects-grayscales-btc-etf-application/,-0.4939,0.0,0.802,0.198,-1,-0.34,0.14,0.687,0.173,-1,"['Good', 'morning', 'welcome', 'First', 'Mover', 'Im', 'Lyllah', 'Ledesma', 'take', 'latest', 'crypto', 'market', 'news', 'insight', 'ul', 'li', 'Price', 'Point', 'Bitcoin', 'suffered', 'worst', 'monthly', 'returns…', '+5056']"
39,2022-07-04,"The latest price moves in bitcoin ($BTC) and crypto markets in context, for July 1, 2022.",en,"{'id': None, 'name': 'CoinDesk'}","Good morning, and welcome to First Mover. Im Lyllah Ledesma, here to take you through the latest in crypto markets, news and insights.
<ul><li>Price Point: BTC remains below $20K and Argentinians ar… [+3185 chars]",First Mover Americas: BTC Struggles to Break $20K as More Lenders Face Trouble,https://www.coindesk.com/markets/2022/07/04/first-mover-americas-btc-struggles-to-break-20k-as-more-lenders-face-trouble/,-0.6666,0.0,0.668,0.332,-1,0.7096,0.156,0.844,0.0,1,"['Good', 'morning', 'welcome', 'First', 'Mover', 'Im', 'Lyllah', 'Ledesma', 'take', 'latest', 'crypto', 'market', 'news', 'insight', 'ul', 'li', 'Price', 'Point', 'BTC', 'remains', '20K', 'Argentinians', 'ar…', '+3185']"
40,2022-06-15,Bitcoin traders have been closely monitoring the U.S. central bank's actions for market clues.,en,"{'id': None, 'name': 'CoinDesk'}","The Federal Reserve on Wednesday raised interest rates by 75 basis points, or three-quarters of a percentage point, marking the biggest hike in 28 years, in an ongoing effort to bring down soaring in… [+2588 chars]",Fed Announces Biggest Interest Rate Hike in 28 Years; Bitcoin Falls,https://www.coindesk.com/markets/2022/06/15/fed-announces-biggest-interest-rate-hike-in-28-years-bitcoin-falls/,0.4588,0.231,0.769,0.0,1,0.4588,0.081,0.919,0.0,1,"['Federal', 'Reserve', 'Wednesday', 'raised', 'interest', 'rate', '75', 'basis', 'point', 'three-quarters', 'percentage', 'point', 'marking', 'biggest', 'hike', '28', 'year', 'ongoing', 'effort', 'bring', 'soaring', 'in…', '+2588']"
41,2022-06-17,"Terra’s implosion in mid-May and falling bitcoin prices affected the fund’s portfolio, its founders confirmed.",en,"{'id': None, 'name': 'CoinDesk'}","Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhas been updated.
The leader in news and information on cryptocurrency, digital assets and the future o… [+556 chars]","Three Arrows Capital Confirms Heavy Losses From LUNA's Collapse, Exploring Potential Options: Report",https://www.coindesk.com/business/2022/06/17/three-arrows-capital-confirms-heavy-losses-from-lunas-collapse-exploring-potential-options-report/,-0.7096,0.0,0.651,0.349,-1,0.4588,0.121,0.879,0.0,1,"['Please', 'note', 'ourprivacy', 'policy', 'term', 'use', 'cooky', 'anddo', 'sell', 'personal', 'informationhas', 'updated', 'leader', 'news', 'information', 'cryptocurrency', 'digital', 'asset', 'future', 'o…', '+556']"
42,2022-06-22,The bitcoin miner has struggled to recover its hashrate since moving its operations out of China.,en,"{'id': None, 'name': 'CoinDesk'}","Bit Digital's (BTBT) slowdown in bitcoin production continued well into the first quarter of the year, as the company struggles to return its hashrate to previous levels after being forced to move ou… [+2713 chars]","Bit Digital Production Slump Continued Into Q1, Strikes Deals With Coinmint, Riot to Increase Hashrate",https://www.coindesk.com/business/2022/06/22/bit-digital-production-slump-continued-into-q1-strikes-deals-with-coinmint-riot-to-increase-hashrate/,-0.5859,0.113,0.588,0.299,-1,-0.5267,0.053,0.808,0.139,-1,"['Bit', 'Digital', 'BTBT', 'slowdown', 'bitcoin', 'production', 'continued', 'well', 'first', 'quarter', 'year', 'company', 'struggle', 'return', 'hashrate', 'previous', 'level', 'forced', 'move', 'ou…', '+2713']"
43,2022-06-28,"The latest price moves in bitcoin ($BTC) and crypto markets in context, for June 28, 2022.",en,"{'id': None, 'name': 'CoinDesk'}","Good morning, and welcome to First Mover. Im Lyllah Ledesma, here to take you through the latest in crypto markets, news and insights.
<ul><li>Price point: Bitcoin drops 2%, Tezos trades 8% upwards.… [+2764 chars]",First Mover Americas: Crypto Winter Brings More Layoffs as BofA Sees Deep Freeze Avoided,https://www.coindesk.com/markets/2022/06/28/first-mover-americas-crypto-winter-brings-more-layoffs-as-bofa-sees-deep-freeze-avoided/,-0.296,0.077,0.769,0.154,-1,0.7096,0.156,0.844,0.0,1,"['Good', 'morning', 'welcome', 'First', 'Mover', 'Im', 'Lyllah', 'Ledesma', 'take', 'latest', 'crypto', 'market', 'news', 'insight', 'ul', 'li', 'Price', 'point', 'Bitcoin', 'drop', '2', 'Tezos', 'trade', '8', 'upwards.…', '+2764']"
44,2022-06-22,"The latest price moves in bitcoin ($BTC) and crypto markets in context, for June 22, 2022.",en,"{'id': None, 'name': 'CoinDesk'}","Good morning, and welcome to First Mover. Im Lyllah Ledesma, here to take you through the latest in crypto markets, news and insights.
<ul><li>Price point: Bitcoin holds $20,000 and altcoins retrace… [+3126 chars]",First Mover Americas: BTC Holds $20K as Altcoins Retrace,https://www.coindesk.com/markets/2022/06/22/first-mover-americas-btc-holds-20k-as-altcoins-retrace/,0.0,0.0,1.0,0.0,0,0.7096,0.16,0.84,0.0,1,"['Good', 'morning', 'welcome', 'First', 'Mover', 'Im', 'Lyllah', 'Ledesma', 'take', 'latest', 'crypto', 'market', 'news', 'insight', 'ul', 'li', 'Price', 'point', 'Bitcoin', 'hold', '20,000', 'altcoins', 'retrace…', '+3126']"
45,2022-06-24,"The latest price moves in bitcoin ($BTC) and crypto markets in context, for June 24, 2022.",en,"{'id': None, 'name': 'CoinDesk'}","Good morning, and welcome to First Mover. Im Lyllah Ledesma, here to take you through the latest in crypto markets, news and insights.
<ul><li>Price point: Altcoins outperform bitcoin for a second d… [+3966 chars]","First Mover Americas: AXS up 15% on Ronin Network News, BTC at $21K",https://www.coindesk.com/markets/2022/06/24/first-mover-americas-axs-up-15-on-ronin-network-news-btc-at-21k/,0.0,0.0,1.0,0.0,0,0.7096,0.16,0.84,0.0,1,"['Good', 'morning', 'welcome', 'First', 'Mover', 'Im', 'Lyllah', 'Ledesma', 'take', 'latest', 'crypto', 'market', 'news', 'insight', 'ul', 'li', 'Price', 'point', 'Altcoins', 'outperform', 'bitcoin', 'second', 'd…', '+3966']"
46,2022-06-27,A July 6 deadline for an SEC ruling on the Grayscale Bitcoin Trust conversion application looms.,en,"{'id': None, 'name': 'CoinDesk'}","Please note that ourprivacy policy,terms of use,cookies, anddo not sell my personal informationhas been updated.
The leader in news and information on cryptocurrency, digital assets and the future o… [+556 chars]",Grayscale Remains ‘Unequivocally Committed’ to Converting GBTC to an ETF,https://www.coindesk.com/business/2022/06/27/grayscale-remains-unequivocally-committed-to-converting-gbtc-to-an-etf/,0.0,0.0,1.0,0.0,0,0.4588,0.121,0.879,0.0,1,"['Please', 'note', 'ourprivacy', 'policy', 'term', 'use', 'cooky', 'anddo', 'sell', 'personal', 'informationhas', 'updated', 'leader', 'news', 'information', 'cryptocurrency', 'digital', 'asset', 'future', 'o…', '+556']"
47,2022-06-15,"The latest price moves in bitcoin ($BTC) and crypto markets in context, for June 15, 2022.",en,"{'id': None, 'name': 'CoinDesk'}","Good morning, and welcome to First Mover. Im Bradley Keoun, here to take you through the latest in crypto markets, news and insights. (Lyllah Ledesma is off.)
<ul><li>Price point: Bitcoin slides tow… [+4819 chars]","First Mover Americas: Bitcoin Slides Toward $20K in Record Losing Streak as Fed, ECB Meet",https://www.coindesk.com/markets/2022/06/15/first-mover-americas-bitcoin-slides-toward-20k-in-record-losing-streak-as-fed-ecb-meet/,-0.3818,0.0,0.843,0.157,-1,0.7096,0.156,0.844,0.0,1,"['Good', 'morning', 'welcome', 'First', 'Mover', 'Im', 'Bradley', 'Keoun', 'take', 'latest', 'crypto', 'market', 'news', 'insight', 'Lyllah', 'Ledesma', 'ul', 'li', 'Price', 'point', 'Bitcoin', 'slide', 'tow…', '+4819']"
