Date,DIS
1962-01-02,0.09290800243616104
1962-01-03,0.09415499866008759
1962-01-04,0.09415499866008759
1962-01-05,0.09446699917316437
1962-01-08,0.09415499866008759
1962-01-09,0.09602600336074829
1962-01-10,0.09696099907159805
1962-01-11,0.09976699948310852
1962-01-12,0.09664999693632126
1962-01-15,0.09664999693632126
1962-01-16,0.09415499866008759
1962-01-17,0.09103800356388092
1962-01-18,0.09290800243616104
1962-01-19,0.09477899968624115
1962-01-22,0.09633799642324448
1962-01-23,0.09602600336074829
1962-01-24,0.09477899968624115
1962-01-25,0.0935320034623146
1962-01-26,0.09290800243616104
1962-01-29,0.09290800243616104
1962-01-30,0.0935320034623146
1962-01-31,0.0935320034623146
1962-02-01,0.09477899968624115
1962-02-02,0.09477899968624115
1962-02-05,0.09477899968624115
1962-02-06,0.09415499866008759
1962-02-07,0.09540300071239471
1962-02-08,0.0978970006108284
1962-02-09,0.09852000325918198
1962-02-12,0.09852000325918198
1962-02-13,0.09852000325918198
1962-02-14,0.09727299958467484
1962-02-15,0.0978970006108284
1962-02-16,0.09976699948310852
1962-02-19,0.09820900112390518
1962-02-20,0.09914399683475494
1962-02-21,0.0978970006108284
1962-02-23,0.09727299958467484
1962-02-26,0.09477899968624115
1962-02-27,0.09415499866008759
1962-02-28,0.09322000294923782
1962-03-01,0.09571400284767151
1962-03-02,0.09509100019931793
1962-03-05,0.09540300071239471
1962-03-06,0.09415499866008759
1962-03-07,0.0935320034623146
1962-03-08,0.09509100019931793
1962-03-09,0.09477899968624115
1962-03-12,0.09664999693632126
1962-03-13,0.09820900112390518
1962-03-14,0.09727299958467484
1962-03-15,0.0978970006108284
1962-03-16,0.0978970006108284
1962-03-19,0.0978970006108284
1962-03-20,0.09664999693632126
1962-03-21,0.09509100019931793
1962-03-22,0.09415499866008759
1962-03-23,0.09415499866008759
1962-03-26,0.0935320034623146
1962-03-27,0.09228499978780746
1962-03-28,0.0916609987616539
1962-03-29,0.09322000294923782
1962-03-30,0.09322000294923782
1962-04-02,0.09228499978780746
1962-04-03,0.0916609987616539
1962-04-04,0.09228499978780746
1962-04-05,0.0916609987616539
1962-04-06,0.09259700030088425
1962-04-09,0.09290800243616104
1962-04-10,0.09259700030088425
1962-04-11,0.0916609987616539
1962-04-12,0.0872960016131401
1962-04-13,0.08667299896478653
1962-04-16,0.08792000263929367
1962-04-17,0.08979099988937378
1962-04-18,0.09103800356388092
1962-04-19,0.09103800356388092
1962-04-23,0.09228499978780746
1962-04-24,0.0935320034623146
1962-04-25,0.09322000294923782
1962-04-26,0.09103800356388092
1962-04-27,0.08916699886322021
1962-04-30,0.08573800325393677
1962-05-01,0.08667299896478653
1962-05-02,0.0872960016131401
1962-05-03,0.08667299896478653
1962-05-04,0.08667299896478653
1962-05-07,0.08542600274085999
1962-05-08,0.08355499804019928
1962-05-09,0.0810609981417656
1962-05-10,0.07981400191783905
1962-05-11,0.07794299721717834
1962-05-14,0.08230800181627274
1962-05-15,0.0829320028424263
1962-05-16,0.08043699711561203
1962-05-17,0.07919000089168549
1962-05-18,0.07981400191783905
1962-05-21,0.07981400191783905
1962-05-22,0.07981400191783905
1962-05-23,0.07607299834489822
1962-05-24,0.0766960009932518
1962-05-25,0.07794299721717834
1962-05-28,0.07732000201940536
1962-05-29,0.07170800119638443
1962-05-31,0.07981400191783905
1962-06-01,0.07981400191783905
1962-06-04,0.07482600212097168
1962-06-05,0.07700800150632858
1962-06-06,0.07950200140476227
1962-06-07,0.07732000201940536
1962-06-08,0.07856699824333191
1962-06-11,0.07732000201940536
1962-06-12,0.0745140016078949
1962-06-13,0.07233099639415741
1962-06-14,0.06578399986028671
1962-06-15,0.07139600068330765
1962-06-18,0.07233099639415741
1962-06-19,0.07233099639415741
1962-06-20,0.07108400017023087
1962-06-21,0.06983699649572372
1962-06-22,0.0679669976234436
1962-06-25,0.06516099721193314
1962-06-26,0.06516099721193314
1962-06-27,0.0679669976234436
1962-06-28,0.0679669976234436
1962-06-29,0.06671900302171707
1962-07-02,0.06734299659729004
1962-07-03,0.07077199965715408
1962-07-05,0.06983699649572372
1962-07-06,0.0679669976234436
1962-07-09,0.0679669976234436
1962-07-10,0.07108400017023087
1962-07-11,0.07420200109481812
1962-07-12,0.07357800006866455
1962-07-13,0.07326699793338776
1962-07-16,0.07233099639415741
1962-07-17,0.07108400017023087
1962-07-18,0.06983699649572372
1962-07-19,0.07046099752187729
1962-07-20,0.07170800119638443
1962-07-23,0.07046099752187729
1962-07-24,0.06983699649572372
1962-07-25,0.06859000027179718
1962-07-26,0.06703100353479385
1962-07-27,0.06734299659729004
1962-07-30,0.0679669976234436
1962-07-31,0.06859000027179718
1962-08-01,0.06859000027179718
1962-08-02,0.07046099752187729
1962-08-03,0.06921400129795074
1962-08-06,0.07108400017023087
1962-08-07,0.07108400017023087
1962-08-08,0.07233099639415741
1962-08-09,0.07233099639415741
1962-08-10,0.07108400017023087
1962-08-13,0.07077199965715408
1962-08-14,0.07170800119638443
1962-08-15,0.07202000170946121
1962-08-16,0.07295499742031097
1962-08-17,0.07482600212097168
1962-08-20,0.07856699824333191
1962-08-21,0.07856699824333191
1962-08-22,0.07950200140476227
1962-08-23,0.07825499773025513
1962-08-24,0.08074899762868881
1962-08-27,0.07950200140476227
1962-08-28,0.07638400048017502
1962-08-29,0.07856699824333191
1962-08-30,0.07732000201940536
1962-08-31,0.07794299721717834
1962-09-04,0.07576099783182144
1962-09-05,0.07389000058174133
1962-09-06,0.07482600212097168
1962-09-07,0.07389000058174133
