Date,ARKK
2014-10-31,20.3799991607666
2014-11-03,20.3799991607666
2014-11-04,20.260000228881836
2014-11-05,20.0
2014-11-06,20.139999389648438
2014-11-07,20.1200008392334
2014-11-10,20.299999237060547
2014-11-11,20.290000915527344
2014-11-12,20.360000610351562
2014-11-13,20.34000015258789
2014-11-14,20.440000534057617
2014-11-17,20.40999984741211
2014-11-18,20.600000381469727
2014-11-19,20.290000915527344
2014-11-20,20.280000686645508
2014-11-21,20.360000610351562
2014-11-24,20.489999771118164
2014-11-25,20.520000457763672
2014-11-26,20.559999465942383
2014-11-28,20.59000015258789
2014-12-01,20.270000457763672
2014-12-02,20.049999237060547
2014-12-03,20.09000015258789
2014-12-04,20.059999465942383
2014-12-05,20.110000610351562
2014-12-08,19.729999542236328
2014-12-09,19.780000686645508
2014-12-10,19.729999542236328
2014-12-11,19.770000457763672
2014-12-12,19.607999801635742
2014-12-15,19.280000686645508
2014-12-16,18.950000762939453
2014-12-17,19.15999984741211
2014-12-18,19.8799991607666
2014-12-19,20.15999984741211
2014-12-22,20.329999923706055
2014-12-23,20.336999893188477
2014-12-24,20.3700008392334
2014-12-26,20.600000381469727
2014-12-29,20.427000045776367
2014-12-30,20.299999237060547
2014-12-31,20.15999984741211
2015-01-02,20.170000076293945
2015-01-05,19.68400001525879
2015-01-06,19.610000610351562
2015-01-07,19.700000762939453
2015-01-08,20.139999389648438
2015-01-09,19.969999313354492
2015-01-12,20.149999618530273
2015-01-13,19.989999771118164
2015-01-14,19.93000030517578
2015-01-15,19.479999542236328
2015-01-16,19.610000610351562
2015-01-20,19.889999389648438
2015-01-21,20.25
2015-01-22,20.527999877929688
2015-01-23,20.6299991607666
2015-01-26,20.75
2015-01-27,20.440000534057617
2015-01-28,20.350000381469727
2015-01-29,20.389999389648438
2015-01-30,20.239999771118164
2015-02-02,20.367000579833984
2015-02-03,20.229999542236328
2015-02-04,20.459999084472656
2015-02-05,20.84000015258789
2015-02-06,20.79199981689453
2015-02-09,20.67799949645996
2015-02-10,20.850000381469727
2015-02-11,21.025999069213867
2015-02-12,21.18400001525879
2015-02-13,21.450000762939453
2015-02-17,21.34000015258789
2015-02-18,21.3700008392334
2015-02-19,21.540000915527344
2015-02-20,21.68400001525879
2015-02-23,21.479999542236328
2015-02-24,21.422000885009766
2015-02-25,21.43000030517578
2015-02-26,21.639999389648438
2015-02-27,21.510000228881836
2015-03-02,21.499000549316406
2015-03-03,21.34000015258789
2015-03-04,21.2189998626709
2015-03-05,21.351999282836914
2015-03-06,20.965999603271484
2015-03-09,20.799999237060547
2015-03-10,20.577999114990234
2015-03-11,20.665000915527344
2015-03-12,20.68000030517578
2015-03-13,20.615999221801758
2015-03-16,20.799999237060547
2015-03-17,20.8700008392334
2015-03-18,20.799999237060547
2015-03-19,21.100000381469727
2015-03-20,21.329999923706055
2015-03-23,21.290000915527344
2015-03-24,21.290000915527344
2015-03-25,20.809999465942383
2015-03-26,20.790000915527344
2015-03-27,20.760000228881836
2015-03-30,21.0
2015-03-31,20.834999084472656
2015-04-01,20.5
2015-04-02,20.658000946044922
2015-04-06,20.969999313354492
2015-04-07,20.959999084472656
2015-04-08,21.215999603271484
2015-04-09,21.31999969482422
2015-04-10,21.489999771118164
2015-04-13,21.530000686645508
2015-04-14,21.389999389648438
2015-04-15,21.600000381469727
2015-04-16,21.84000015258789
2015-04-17,21.399999618530273
2015-04-20,21.5
2015-04-21,21.591999053955078
2015-04-22,21.760000228881836
2015-04-23,21.985000610351562
2015-04-24,21.98699951171875
2015-04-27,22.229999542236328
2015-04-28,21.729999542236328
2015-04-29,21.549999237060547
2015-04-30,20.954999923706055
2015-05-01,20.790000915527344
2015-05-04,21.011999130249023
2015-05-05,20.770000457763672
2015-05-06,20.639999389648438
2015-05-07,20.860000610351562
2015-05-08,20.84000015258789
2015-05-11,21.0
2015-05-12,20.899999618530273
2015-05-13,21.010000228881836
2015-05-14,21.18000030517578
2015-05-15,21.131999969482422
2015-05-18,21.249000549316406
2015-05-19,21.260000228881836
2015-05-20,21.219999313354492
2015-05-21,21.40999984741211
2015-05-22,21.457000732421875
2015-05-26,21.309999465942383
2015-05-27,21.31999969482422
2015-05-28,21.579999923706055
2015-05-29,21.59600067138672
2015-06-01,21.520000457763672
2015-06-02,21.558000564575195
2015-06-03,21.68000030517578
2015-06-04,21.600000381469727
2015-06-05,21.625
2015-06-08,21.600000381469727
2015-06-09,21.459999084472656
2015-06-10,21.850000381469727
2015-06-11,21.780000686645508
2015-06-12,21.649999618530273
2015-06-15,21.3700008392334
2015-06-16,21.6200008392334
2015-06-17,21.829999923706055
2015-06-18,22.049999237060547
2015-06-19,22.0
2015-06-22,22.049999237060547
2015-06-23,22.229999542236328
2015-06-24,21.940000534057617
2015-06-25,21.899999618530273
2015-06-26,21.739999771118164
2015-06-29,21.15999984741211
2015-06-30,21.350000381469727
2015-07-01,21.309999465942383
2015-07-02,21.24799919128418
2015-07-06,21.097999572753906
2015-07-07,20.979999542236328
2015-07-08,20.780000686645508
2015-07-09,20.950000762939453
2015-07-10,21.170000076293945
2015-07-13,21.440000534057617
2015-07-14,21.565000534057617
2015-07-15,21.415000915527344
2015-07-16,21.847999572753906
2015-07-17,21.920000076293945
2015-07-20,21.950000762939453
2015-07-21,21.8700008392334
2015-07-22,21.649999618530273
2015-07-23,21.799999237060547
2015-07-24,21.899999618530273
2015-07-27,21.649999618530273
2015-07-28,21.969999313354492
2015-07-29,21.81999969482422
2015-07-30,21.649999618530273
2015-07-31,21.5
