Date,AMD
1980-03-17,3.1458330154418945
1980-03-18,3.03125
1980-03-19,3.0416669845581055
1980-03-20,3.0104169845581055
1980-03-21,2.9166669845581055
1980-03-24,2.6666669845581055
1980-03-25,2.6041669845581055
1980-03-26,2.4479169845581055
1980-03-27,2.375
1980-03-28,2.5416669845581055
1980-03-31,2.5416669845581055
1980-04-01,2.7395830154418945
1980-04-02,2.625
1980-04-03,2.6354169845581055
1980-04-07,2.5416669845581055
1980-04-08,2.59375
1980-04-09,2.6666669845581055
1980-04-10,2.7395830154418945
1980-04-11,2.6354169845581055
1980-04-14,2.5625
1980-04-15,2.5625
1980-04-16,2.3541669845581055
1980-04-17,2.4270830154418945
1980-04-18,2.3229169845581055
1980-04-21,2.2916669845581055
1980-04-22,2.5625
1980-04-23,2.6145830154418945
1980-04-24,2.78125
1980-04-25,2.7083330154418945
1980-04-28,2.7291669845581055
1980-04-29,2.6666669845581055
1980-04-30,2.5520830154418945
1980-05-01,2.4583330154418945
1980-05-02,2.46875
1980-05-05,2.6041669845581055
1980-05-06,2.6875
1980-05-07,2.6875
1980-05-08,2.6041669845581055
1980-05-09,2.5416669845581055
1980-05-12,2.6145830154418945
1980-05-13,2.6875
1980-05-14,2.7708330154418945
1980-05-15,2.7291669845581055
1980-05-16,2.6666669845581055
1980-05-19,2.6875
1980-05-20,2.75
1980-05-21,2.78125
1980-05-22,2.9166669845581055
1980-05-23,2.9895830154418945
1980-05-27,3.0104169845581055
1980-05-28,3.1458330154418945
1980-05-29,3.0833330154418945
1980-05-30,3.1666669845581055
1980-06-02,3.1041669845581055
1980-06-03,3.0208330154418945
1980-06-04,3.0729169845581055
1980-06-05,3.0208330154418945
1980-06-06,3.0
1980-06-09,2.8645830154418945
1980-06-10,2.96875
1980-06-11,3.0520830154418945
1980-06-12,3.09375
1980-06-13,3.09375
1980-06-16,3.03125
1980-06-17,3.0625
1980-06-18,3.0208330154418945
1980-06-19,2.96875
1980-06-20,2.9270830154418945
1980-06-23,2.9375
1980-06-24,2.9375
1980-06-25,3.0729169845581055
1980-06-26,3.0208330154418945
1980-06-27,3.0416669845581055
1980-06-30,3.0416669845581055
1980-07-01,3.0729169845581055
1980-07-02,3.1770830154418945
1980-07-03,3.34375
1980-07-07,3.4583330154418945
1980-07-08,3.3854169845581055
1980-07-09,3.4375
1980-07-10,3.5
1980-07-11,3.6145830154418945
1980-07-14,3.7291669845581055
1980-07-15,3.7083330154418945
1980-07-16,3.6145830154418945
1980-07-17,3.6458330154418945
1980-07-18,3.6145830154418945
1980-07-21,3.5729169845581055
1980-07-22,3.5729169845581055
1980-07-23,3.5625
1980-07-24,3.5833330154418945
1980-07-25,3.5104169845581055
1980-07-28,3.5208330154418945
1980-07-29,3.7395830154418945
1980-07-30,4.03125
1980-07-31,4.1354169845581055
1980-08-01,4.2604169845581055
1980-08-04,4.3125
1980-08-05,4.3645830154418945
1980-08-06,4.2395830154418945
1980-08-07,4.21875
1980-08-08,4.2708330154418945
1980-08-11,4.4166669845581055
1980-08-12,4.3541669845581055
1980-08-13,4.2708330154418945
1980-08-14,4.3854169845581055
1980-08-15,4.3333330154418945
1980-08-18,4.1041669845581055
1980-08-19,3.9479169845581055
1980-08-20,4.1666669845581055
1980-08-21,4.4166669845581055
1980-08-22,4.5625
1980-08-25,4.5208330154418945
1980-08-26,4.6354169845581055
1980-08-27,4.4791669845581055
1980-08-28,4.375
1980-08-29,4.2708330154418945
1980-09-02,4.2395830154418945
1980-09-03,4.4375
1980-09-04,4.4791669845581055
1980-09-05,4.53125
1980-09-08,4.3020830154418945
1980-09-09,4.3541669845581055
1980-09-10,4.4166669845581055
1980-09-11,4.5
1980-09-12,4.3958330154418945
1980-09-15,4.3125
1980-09-16,4.5
1980-09-17,4.6770830154418945
1980-09-18,4.7395830154418945
1980-09-19,5.03125
1980-09-22,5.25
1980-09-23,5.4270830154418945
1980-09-24,5.7083330154418945
1980-09-25,5.5729169845581055
1980-09-26,5.1145830154418945
1980-09-29,4.8333330154418945
1980-09-30,5.1770830154418945
1980-10-01,5.0416669845581055
1980-10-02,4.96875
1980-10-03,5.1770830154418945
1980-10-06,5.375
1980-10-07,5.4375
1980-10-08,5.4375
1980-10-09,5.53125
1980-10-10,5.1666669845581055
1980-10-13,5.375
1980-10-14,5.2916669845581055
1980-10-15,5.2708330154418945
1980-10-16,5.1875
1980-10-17,5.09375
1980-10-20,5.1041669845581055
1980-10-21,5.1145830154418945
1980-10-22,5.1875
1980-10-23,5.0520830154418945
1980-10-24,5.25
1980-10-27,4.9166669845581055
1980-10-28,5.0
1980-10-29,5.0416669845581055
1980-10-30,4.5208330154418945
1980-10-31,4.7916669845581055
1980-11-03,4.8333330154418945
1980-11-05,5.4166669845581055
1980-11-06,5.1666669845581055
1980-11-07,5.1458330154418945
1980-11-10,5.3541669845581055
1980-11-11,5.5208330154418945
1980-11-12,5.6666669845581055
1980-11-13,6.0416669845581055
1980-11-14,6.3333330154418945
1980-11-17,6.5833330154418945
1980-11-18,6.8333330154418945
1980-11-19,7.0833330154418945
1980-11-20,7.3333330154418945
1980-11-21,6.7916669845581055
1980-11-24,7.0
1980-11-25,6.8541669845581055
1980-11-26,6.9166669845581055
1980-11-28,6.9583330154418945
1980-12-01,6.9375
1980-12-02,6.6875
1980-12-03,6.5416669845581055
1980-12-04,6.6666669845581055
1980-12-05,6.25
1980-12-08,5.8333330154418945
1980-12-09,6.1666669845581055
1980-12-10,5.6041669845581055
1980-12-11,5.7291669845581055
1980-12-12,5.8541669845581055
