Date,CAT
1962-01-02,1.6041669845581055
1962-01-03,1.6197919845581055
1962-01-04,1.6614580154418945
1962-01-05,1.6770830154418945
1962-01-08,1.6875
1962-01-09,1.703125
1962-01-10,1.6822919845581055
1962-01-11,1.7083330154418945
1962-01-12,1.71875
1962-01-15,1.7135419845581055
1962-01-16,1.6875
1962-01-17,1.6822919845581055
1962-01-18,1.71875
1962-01-19,1.75
1962-01-22,1.7447919845581055
1962-01-23,1.7083330154418945
1962-01-24,1.6979169845581055
1962-01-25,1.7083330154418945
1962-01-26,1.7083330154418945
1962-01-29,1.7239580154418945
1962-01-30,1.6979169845581055
1962-01-31,1.7083330154418945
1962-02-01,1.7395830154418945
1962-02-02,1.7291669845581055
1962-02-05,1.7239580154418945
1962-02-06,1.734375
1962-02-07,1.7135419845581055
1962-02-08,1.7135419845581055
1962-02-09,1.6927080154418945
1962-02-12,1.6979169845581055
1962-02-13,1.6927080154418945
1962-02-14,1.6770830154418945
1962-02-15,1.6666669845581055
1962-02-16,1.6770830154418945
1962-02-19,1.6770830154418945
1962-02-20,1.671875
1962-02-21,1.6354169845581055
1962-02-23,1.6354169845581055
1962-02-26,1.6979169845581055
1962-02-27,1.6822919845581055
1962-02-28,1.6822919845581055
1962-03-01,1.6822919845581055
1962-03-02,1.6875
1962-03-05,1.6875
1962-03-06,1.6770830154418945
1962-03-07,1.65625
1962-03-08,1.640625
1962-03-09,1.6354169845581055
1962-03-12,1.6145830154418945
1962-03-13,1.625
1962-03-14,1.6614580154418945
1962-03-15,1.6458330154418945
1962-03-16,1.6614580154418945
1962-03-19,1.6614580154418945
1962-03-20,1.6979169845581055
1962-03-21,1.65625
1962-03-22,1.6822919845581055
1962-03-23,1.6822919845581055
1962-03-26,1.671875
1962-03-27,1.671875
1962-03-28,1.703125
1962-03-29,1.6822919845581055
1962-03-30,1.703125
1962-04-02,1.671875
1962-04-03,1.6666669845581055
1962-04-04,1.671875
1962-04-05,1.6875
1962-04-06,1.6822919845581055
1962-04-09,1.6614580154418945
1962-04-10,1.6770830154418945
1962-04-11,1.671875
1962-04-12,1.65625
1962-04-13,1.6145830154418945
1962-04-16,1.5729169845581055
1962-04-17,1.59375
1962-04-18,1.6041669845581055
1962-04-19,1.6041669845581055
1962-04-23,1.546875
1962-04-24,1.5729169845581055
1962-04-25,1.53125
1962-04-26,1.5520830154418945
1962-04-27,1.5416669845581055
1962-04-30,1.4791669845581055
1962-05-01,1.4895830154418945
1962-05-02,1.5
1962-05-03,1.5677080154418945
1962-05-04,1.5520830154418945
1962-05-07,1.5520830154418945
1962-05-08,1.5520830154418945
1962-05-09,1.5416669845581055
1962-05-10,1.4739580154418945
1962-05-11,1.4739580154418945
1962-05-14,1.4479169845581055
1962-05-15,1.5260419845581055
1962-05-16,1.515625
1962-05-17,1.5104169845581055
1962-05-18,1.5364580154418945
1962-05-21,1.5208330154418945
1962-05-22,1.5
1962-05-23,1.4635419845581055
1962-05-24,1.4479169845581055
1962-05-25,1.4427080154418945
1962-05-28,1.3645830154418945
1962-05-29,1.3541669845581055
1962-05-31,1.4322919845581055
1962-06-01,1.453125
1962-06-04,1.390625
1962-06-05,1.4114580154418945
1962-06-06,1.4375
1962-06-07,1.4583330154418945
1962-06-08,1.453125
1962-06-11,1.40625
1962-06-12,1.3958330154418945
1962-06-13,1.3802080154418945
1962-06-14,1.3385419845581055
1962-06-15,1.3697919845581055
1962-06-18,1.3802080154418945
1962-06-19,1.390625
1962-06-20,1.3645830154418945
1962-06-21,1.3333330154418945
1962-06-22,1.2864580154418945
1962-06-25,1.234375
1962-06-26,1.2552080154418945
1962-06-27,1.25
1962-06-28,1.3177080154418945
1962-06-29,1.328125
1962-07-02,1.3333330154418945
1962-07-03,1.3489580154418945
1962-07-05,1.3854169845581055
1962-07-06,1.375
1962-07-09,1.3697919845581055
1962-07-10,1.375
1962-07-11,1.3541669845581055
1962-07-12,1.359375
1962-07-13,1.3385419845581055
1962-07-16,1.3541669845581055
1962-07-17,1.3333330154418945
1962-07-18,1.3020830154418945
1962-07-19,1.3020830154418945
1962-07-20,1.328125
1962-07-23,1.3177080154418945
1962-07-24,1.2916669845581055
1962-07-25,1.2760419845581055
1962-07-26,1.2708330154418945
1962-07-27,1.2916669845581055
1962-07-30,1.296875
1962-07-31,1.3229169845581055
1962-08-01,1.3177080154418945
1962-08-02,1.3177080154418945
1962-08-03,1.3333330154418945
1962-08-06,1.34375
1962-08-07,1.3489580154418945
1962-08-08,1.328125
1962-08-09,1.3177080154418945
1962-08-10,1.3125
1962-08-13,1.3020830154418945
1962-08-14,1.3125
1962-08-15,1.40625
1962-08-16,1.40625
1962-08-17,1.40625
