Date,XLK
1999-12-03,49.625
1999-12-06,49.96875
1999-12-07,50.09375
1999-12-08,49.5625
1999-12-09,49.4375
1999-12-10,49.6875
1999-12-13,50.015625
1999-12-14,49.0625
1999-12-15,50.0625
1999-12-16,51.0
1999-12-17,51.5625
1999-12-20,52.0625
1999-12-21,53.0625
1999-12-22,53.0625
1999-12-23,53.34375
1999-12-27,53.75
1999-12-28,53.25
1999-12-29,54.109375
1999-12-30,54.0625
1999-12-31,53.875
2000-01-03,55.4375
2000-01-04,52.625
2000-01-05,51.84375
2000-01-06,50.125
2000-01-07,51.0
2000-01-10,52.9375
2000-01-11,51.4375
2000-01-12,51.21875
2000-01-13,51.6875
2000-01-14,52.875
2000-01-18,53.15625
2000-01-19,53.25
2000-01-20,53.5625
2000-01-21,53.625
2000-01-24,51.875
2000-01-25,52.984375
2000-01-26,51.25
2000-01-27,50.75
2000-01-28,48.9375
2000-01-31,50.5625
2000-02-01,51.625
2000-02-02,52.0
2000-02-03,53.5
2000-02-04,54.125
2000-02-07,54.75
2000-02-08,55.25
2000-02-09,54.5625
2000-02-10,55.859375
2000-02-11,54.375
2000-02-14,54.40625
2000-02-15,54.5625
2000-02-16,54.28125
2000-02-17,55.5
2000-02-18,53.625
2000-02-22,53.5
2000-02-23,55.125
2000-02-24,55.8125
2000-02-25,55.28125
2000-02-28,54.625
2000-02-29,55.875
2000-03-01,56.4375
2000-03-02,57.0
2000-03-03,58.578125
2000-03-06,58.484375
2000-03-07,56.875
2000-03-08,57.875
2000-03-09,59.625
2000-03-10,59.75
2000-03-13,58.875
2000-03-14,57.53125
2000-03-15,56.53125
2000-03-16,58.5
2000-03-17,59.875
2000-03-20,59.625
2000-03-21,61.1875
2000-03-22,62.25
2000-03-23,63.4375
2000-03-24,63.984375
2000-03-27,64.5
2000-03-28,62.9375
2000-03-29,61.09375
2000-03-30,59.4375
2000-03-31,60.5625
2000-04-03,58.0
2000-04-04,57.4375
2000-04-05,57.8125
2000-04-06,58.5625
2000-04-07,60.5625
2000-04-10,58.375
2000-04-11,56.9375
2000-04-12,53.25
2000-04-13,52.234375
2000-04-14,49.5
2000-04-17,52.1875
2000-04-18,55.15625
2000-04-19,53.34375
2000-04-20,52.875
2000-04-24,51.25
2000-04-25,54.21875
2000-04-26,53.1875
2000-04-27,54.84375
2000-04-28,55.0
2000-05-01,55.78125
2000-05-02,54.75
2000-05-03,52.375
2000-05-04,52.0
2000-05-05,53.421875
2000-05-08,51.53125
2000-05-09,50.578125
2000-05-10,48.125
2000-05-11,49.484375
2000-05-12,50.125
2000-05-15,51.0625
2000-05-16,52.59375
2000-05-17,51.84375
2000-05-18,50.53125
2000-05-19,48.5625
2000-05-22,48.34375
2000-05-23,46.0
2000-05-24,47.8125
2000-05-25,47.03125
2000-05-26,47.1875
2000-05-30,50.25
2000-05-31,49.28125
2000-06-01,51.5
2000-06-02,53.84375
2000-06-05,54.0
2000-06-06,53.25
2000-06-07,54.25
2000-06-08,54.0
2000-06-09,54.125
2000-06-12,53.0
2000-06-13,54.125
2000-06-14,53.125
2000-06-15,54.1875
2000-06-16,54.375
2000-06-19,56.09375
2000-06-20,56.25
2000-06-21,56.75
2000-06-22,55.0
2000-06-23,53.828125
2000-06-26,54.1875
2000-06-27,53.65625
2000-06-28,54.1875
2000-06-29,53.125
2000-06-30,54.1875
2000-07-03,54.5625
2000-07-05,52.8125
2000-07-06,53.625
2000-07-07,54.5
2000-07-10,53.90625
2000-07-11,53.46875
2000-07-12,54.84375
2000-07-13,55.90625
2000-07-14,56.9375
2000-07-17,57.40625
2000-07-18,56.25
2000-07-19,55.0
2000-07-20,56.15625
2000-07-21,54.9375
2000-07-24,53.59375
2000-07-25,54.5
2000-07-26,53.78125
2000-07-27,52.21875
2000-07-28,50.28125
2000-07-31,51.3125
2000-08-01,50.71875
2000-08-02,50.5
2000-08-03,51.46875
2000-08-04,51.46875
2000-08-07,52.53125
2000-08-08,52.625
2000-08-09,52.8125
2000-08-10,51.6875
2000-08-11,51.875
2000-08-14,52.9375
2000-08-15,53.0625
2000-08-16,53.125
2000-08-17,54.125
2000-08-18,54.1875
2000-08-21,54.4375
2000-08-22,54.4375
2000-08-23,54.96875
2000-08-24,55.484375
2000-08-25,55.296875
2000-08-28,55.75
2000-08-29,55.8125
2000-08-30,55.4375
2000-08-31,56.53125
2000-09-01,56.5625
2000-09-05,55.28125
2000-09-06,53.875
2000-09-07,54.75
2000-09-08,53.0
2000-09-11,51.625
2000-09-12,50.875
2000-09-13,51.375
2000-09-14,51.65625
2000-09-15,50.765625
2000-09-18,49.625
2000-09-19,51.5625
2000-09-20,51.75
2000-09-21,50.6875
2000-09-22,49.25
2000-09-25,48.21875
2000-09-26,47.203125
2000-09-27,46.875
2000-09-28,48.5
2000-09-29,46.375
2000-10-02,46.03125
2000-10-03,44.8125
2000-10-04,46.015625
2000-10-05,45.359375
2000-10-06,44.421875
2000-10-09,44.171875
2000-10-10,42.875
2000-10-11,41.5
2000-10-12,40.0625
2000-10-13,43.4375
2000-10-16,42.75
2000-10-17,41.625
2000-10-18,40.96875
2000-10-19,44.609375
2000-10-20,45.28125
2000-10-23,45.0
2000-10-24,44.125
2000-10-25,41.015625
2000-10-26,42.0
2000-10-27,42.359375
2000-10-30,41.78125
2000-10-31,43.71875
2000-11-01,42.875
2000-11-02,43.984375
2000-11-03,44.3125
2000-11-06,43.625
2000-11-07,43.9375
2000-11-08,41.625
2000-11-09,41.015625
2000-11-10,38.75
2000-11-13,38.625
2000-11-14,40.71875
2000-11-15,41.0
2000-11-16,39.6875
2000-11-17,40.0
2000-11-20,38.375
2000-11-21,38.5625
2000-11-22,37.15625
2000-11-24,38.625
2000-11-27,38.40625
2000-11-28,36.859375
2000-11-29,36.6875
2000-11-30,34.75
2000-12-01,35.203125
2000-12-04,35.0
2000-12-05,38.3125
2000-12-06,37.25
2000-12-07,36.015625
2000-12-08,37.6875
2000-12-11,39.109375
2000-12-12,38.3125
2000-12-13,36.6875
2000-12-14,36.125
2000-12-15,34.6875
2000-12-18,34.0
2000-12-19,33.0
2000-12-20,30.53125
2000-12-21,30.625
2000-12-22,32.734375
2000-12-26,32.1875
2000-12-27,32.5
2000-12-28,32.34375
2000-12-29,31.3125
2001-01-02,29.5
2001-01-03,34.25
2001-01-04,34.59375
2001-01-05,32.5
2001-01-08,32.40625
2001-01-09,33.125
2001-01-10,34.125
2001-01-11,35.5625
2001-01-12,35.03125
2001-01-16,34.625
2001-01-17,35.6875
2001-01-18,37.5625
2001-01-19,38.078125
2001-01-22,37.375
2001-01-23,38.0
2001-01-24,38.46875
2001-01-25,37.125
2001-01-26,37.375
2001-01-29,38.15999984741211
2001-01-30,38.25
2001-01-31,37.29999923706055
2001-02-01,37.279998779296875
2001-02-02,35.63999938964844
2001-02-05,35.41999816894531
2001-02-06,35.630001068115234
2001-02-07,34.709999084472656
2001-02-08,34.20000076293945
2001-02-09,32.619998931884766
2001-02-12,32.900001525878906
2001-02-13,32.34000015258789
2001-02-14,33.099998474121094
2001-02-15,34.099998474121094
2001-02-16,31.989999771118164
2001-02-20,30.270000457763672
2001-02-21,29.5
2001-02-22,29.549999237060547
2001-02-23,29.329999923706055
2001-02-26,29.799999237060547
2001-02-27,28.65999984741211
2001-02-28,28.010000228881836
2001-03-01,28.799999237060547
2001-03-02,27.799999237060547
2001-03-05,28.399999618530273
2001-03-06,29.600000381469727
2001-03-07,29.639999389648438
2001-03-08,29.049999237060547
2001-03-09,27.149999618530273
2001-03-12,25.700000762939453
2001-03-13,26.979999542236328
2001-03-14,26.31999969482422
2001-03-15,26.010000228881836
2001-03-16,25.440000534057617
2001-03-19,26.229999542236328
2001-03-20,24.969999313354492
2001-03-21,25.09000015258789
2001-03-22,26.239999771118164
2001-03-23,26.799999237060547
2001-03-26,26.450000762939453
2001-03-27,27.299999237060547
2001-03-28,25.280000686645508
2001-03-29,24.950000762939453
2001-03-30,24.799999237060547
2001-04-02,24.200000762939453
2001-04-03,22.579999923706055
2001-04-04,22.149999618530273
2001-04-05,24.489999771118164
2001-04-06,23.350000381469727
2001-04-09,23.40999984741211
2001-04-10,24.979999542236328
2001-04-11,25.889999389648438
2001-04-12,26.540000915527344
2001-04-16,25.899999618530273
2001-04-17,26.170000076293945
2001-04-18,28.549999237060547
2001-04-19,30.350000381469727
2001-04-20,30.0
2001-04-23,28.34000015258789
2001-04-24,27.899999618530273
2001-04-25,28.389999389648438
2001-04-26,27.989999771118164
2001-04-27,28.3700008392334
2001-04-30,28.809999465942383
2001-05-01,29.5
2001-05-02,30.09000015258789
2001-05-03,29.1299991607666
2001-05-04,29.549999237060547
2001-05-07,29.520000457763672
2001-05-08,29.649999618530273
2001-05-09,29.239999771118164
2001-05-10,28.809999465942383
2001-05-11,28.5
2001-05-14,28.100000381469727
2001-05-15,28.049999237060547
2001-05-16,29.190000534057617
2001-05-17,29.360000610351562
2001-05-18,29.489999771118164
2001-05-21,30.799999237060547
2001-05-22,30.739999771118164
2001-05-23,29.989999771118164
2001-05-24,30.219999313354492
2001-05-25,29.649999618530273
2001-05-29,28.540000915527344
2001-05-30,27.3799991607666
2001-05-31,27.6299991607666
2001-06-01,28.100000381469727
2001-06-04,28.040000915527344
2001-06-05,29.149999618530273
2001-06-06,28.8700008392334
2001-06-07,29.690000534057617
2001-06-08,29.030000686645508
2001-06-11,28.549999237060547
2001-06-12,28.329999923706055
2001-06-13,27.690000534057617
2001-06-14,26.700000762939453
2001-06-15,26.450000762939453
2001-06-18,25.790000915527344
