Date,PFE
1972-06-01,0.8153460025787354
1972-06-02,0.8054630160331726
1972-06-05,0.8029929995536804
1972-06-06,0.8202880024909973
1972-06-07,0.8202880024909973
1972-06-08,0.8153460025787354
1972-06-09,0.8202880024909973
1972-06-12,0.8227589726448059
1972-06-13,0.8301709890365601
1972-06-14,0.8301709890365601
1972-06-15,0.8202880024909973
1972-06-16,0.8351119756698608
1972-06-19,0.8449950218200684
1972-06-20,0.8499370217323303
1972-06-21,0.8400539755821228
1972-06-22,0.8425250053405762
1972-06-23,0.8400539755821228
1972-06-26,0.8301709890365601
1972-06-27,0.8301709890365601
1972-06-28,0.8227589726448059
1972-06-29,0.8351119756698608
1972-06-30,0.8375830054283142
1972-07-03,0.8400539755821228
1972-07-05,0.8548780083656311
1972-07-06,0.872173011302948
1972-07-07,0.8845270276069641
1972-07-10,0.8869979977607727
1972-07-11,0.8869979977607727
1972-07-12,0.8894690275192261
1972-07-13,0.8647609949111938
1972-07-14,0.8845270276069641
1972-07-17,0.87711501121521
1972-07-18,0.8672320246696472
1972-07-19,0.872173011302948
1972-07-20,0.8598200082778931
1972-07-21,0.8647609949111938
1972-07-24,0.8449950218200684
1972-07-25,0.8598200082778931
1972-07-26,0.8548780083656311
1972-07-27,0.8499370217323303
1972-07-28,0.8573489785194397
1972-07-31,0.8499370217323303
1972-08-01,0.8672320246696472
1972-08-02,0.8795859813690186
1972-08-03,0.8672320246696472
1972-08-04,0.872173011302948
1972-08-07,0.8746439814567566
1972-08-08,0.8746439814567566
1972-08-09,0.87711501121521
1972-08-10,0.8869979977607727
1972-08-11,0.9042930006980896
1972-08-14,0.9042930006980896
1972-08-15,0.8993520140647888
1972-08-16,0.8944100141525269
1972-08-17,0.8968809843063354
1972-08-18,0.8795859813690186
1972-08-21,0.8795859813690186
1972-08-22,0.8746439814567566
1972-08-23,0.8697029948234558
1972-08-24,0.8647609949111938
1972-08-25,0.8548780083656311
1972-08-28,0.8524069786071777
1972-08-29,0.8573489785194397
1972-08-30,0.8524069786071777
1972-08-31,0.8449950218200684
1972-09-01,0.847465991973877
1972-09-05,0.8499370217323303
1972-09-06,0.8277000188827515
1972-09-07,0.8029929995536804
1972-09-08,0.8153460025787354
1972-09-11,0.8104050159454346
1972-09-12,0.7980509996414185
1972-09-13,0.8079339861869812
1972-09-14,0.8005220293998718
1972-09-15,0.8128759860992432
1972-09-18,0.8153460025787354
1972-09-19,0.8252289891242981
1972-09-20,0.8227589726448059
1972-09-21,0.8252289891242981
1972-09-22,0.817816972732544
1972-09-25,0.8104050159454346
1972-09-26,0.8252289891242981
1972-09-27,0.8449950218200684
1972-09-28,0.8499370217323303
1972-09-29,0.847465991973877
1972-10-02,0.8351119756698608
1972-10-03,0.817816972732544
1972-10-04,0.817816972732544
1972-10-05,0.7881680130958557
1972-10-06,0.8029929995536804
1972-10-09,0.7980509996414185
1972-10-10,0.8054630160331726
1972-10-11,0.8029929995536804
1972-10-12,0.7955800294876099
1972-10-13,0.7856969833374023
1972-10-16,0.7807559967041016
1972-10-17,0.7881680130958557
1972-10-18,0.778285026550293
1972-10-19,0.7856969833374023
1972-10-20,0.8054630160331726
1972-10-23,0.8227589726448059
1972-10-24,0.8252289891242981
1972-10-25,0.8128759860992432
1972-10-26,0.8104050159454346
1972-10-27,0.8128759860992432
1972-10-30,0.8005220293998718
1972-10-31,0.8104050159454346
1972-11-01,0.8202880024909973
1972-11-02,0.8499370217323303
1972-11-03,0.8894690275192261
1972-11-06,0.872173011302948
1972-11-08,0.8746439814567566
1972-11-09,0.872173011302948
1972-11-10,0.8499370217323303
1972-11-13,0.8524069786071777
1972-11-14,0.8499370217323303
1972-11-15,0.8499370217323303
1972-11-16,0.8499370217323303
1972-11-17,0.8499370217323303
1972-11-20,0.8499370217323303
1972-11-21,0.8326420187950134
1972-11-22,0.8449950218200684
1972-11-24,0.8524069786071777
1972-11-27,0.8598200082778931
1972-11-28,0.8573489785194397
1972-11-29,0.8573489785194397
1972-11-30,0.8647609949111938
1972-12-01,0.8697029948234558
1972-12-04,0.8795859813690186
1972-12-05,0.8795859813690186
1972-12-06,0.8795859813690186
1972-12-07,0.8795859813690186
1972-12-08,0.8894690275192261
1972-12-11,0.8919389843940735
1972-12-12,0.8795859813690186
1972-12-13,0.872173011302948
1972-12-14,0.8697029948234558
1972-12-15,0.8449950218200684
1972-12-18,0.8425250053405762
1972-12-19,0.8524069786071777
1972-12-20,0.8499370217323303
1972-12-21,0.8499370217323303
1972-12-22,0.8548780083656311
1972-12-26,0.8499370217323303
1972-12-27,0.847465991973877
1972-12-29,0.847465991973877
1973-01-02,0.8622900247573853
1973-01-03,0.8647609949111938
1973-01-04,0.8746439814567566
1973-01-05,0.8795859813690186
1973-01-08,0.8598200082778931
1973-01-09,0.8598200082778931
1973-01-10,0.8697029948234558
1973-01-11,0.8820559978485107
1973-01-12,0.8672320246696472
1973-01-15,0.8697029948234558
1973-01-16,0.8672320246696472
1973-01-17,0.8672320246696472
1973-01-18,0.8672320246696472
1973-01-19,0.8647609949111938
1973-01-22,0.8573489785194397
1973-01-23,0.8499370217323303
1973-01-24,0.8425250053405762
1973-01-26,0.8128759860992432
1973-01-29,0.8128759860992432
1973-01-30,0.8153460025787354
1973-01-31,0.8277000188827515
1973-02-01,0.8252289891242981
1973-02-02,0.8202880024909973
1973-02-05,0.8153460025787354
1973-02-06,0.8153460025787354
1973-02-07,0.7980509996414185
1973-02-08,0.8104050159454346
1973-02-09,0.8227589726448059
1973-02-12,0.8277000188827515
