Date,CMG
2006-01-26,44.0
2006-01-27,42.20000076293945
2006-01-30,44.79999923706055
2006-01-31,47.52000045776367
2006-02-01,46.560001373291016
2006-02-02,44.75
2006-02-03,46.54999923706055
2006-02-06,47.709999084472656
2006-02-07,46.279998779296875
2006-02-08,45.7400016784668
2006-02-09,44.04999923706055
2006-02-10,42.310001373291016
2006-02-13,41.47999954223633
2006-02-14,43.0
2006-02-15,42.70000076293945
2006-02-16,44.45000076293945
2006-02-17,43.849998474121094
2006-02-21,43.099998474121094
2006-02-22,43.869998931884766
2006-02-23,45.79999923706055
2006-02-24,46.66999816894531
2006-02-27,46.529998779296875
2006-02-28,45.599998474121094
2006-03-01,45.5
2006-03-02,45.75
2006-03-03,45.47999954223633
2006-03-06,45.790000915527344
2006-03-07,45.0
2006-03-08,42.5
2006-03-09,41.459999084472656
2006-03-10,42.11000061035156
2006-03-13,43.40999984741211
2006-03-14,48.70000076293945
2006-03-15,52.0099983215332
2006-03-16,55.04999923706055
2006-03-17,53.86000061035156
2006-03-20,50.09000015258789
2006-03-21,52.0
2006-03-22,54.79999923706055
2006-03-23,53.880001068115234
2006-03-24,54.5099983215332
2006-03-27,54.09000015258789
2006-03-28,53.20000076293945
2006-03-29,53.93000030517578
2006-03-30,55.40999984741211
2006-03-31,55.38999938964844
2006-04-03,56.97999954223633
2006-04-04,57.0
2006-04-05,57.150001525878906
2006-04-06,55.5
2006-04-07,54.650001525878906
2006-04-10,53.72999954223633
2006-04-11,54.599998474121094
2006-04-12,54.04999923706055
2006-04-13,53.02000045776367
2006-04-17,54.06999969482422
2006-04-18,53.91999816894531
2006-04-19,54.0
2006-04-20,53.15999984741211
2006-04-21,53.400001525878906
2006-04-24,53.310001373291016
2006-04-25,52.150001525878906
2006-04-26,51.099998474121094
2006-04-27,50.779998779296875
2006-04-28,52.189998626708984
2006-05-01,51.650001525878906
2006-05-02,54.560001373291016
2006-05-03,55.0099983215332
2006-05-04,55.61000061035156
2006-05-05,56.900001525878906
2006-05-08,59.27000045776367
2006-05-09,67.05000305175781
2006-05-10,64.8499984741211
2006-05-11,64.19999694824219
2006-05-12,63.27000045776367
2006-05-15,62.150001525878906
2006-05-16,63.900001525878906
2006-05-17,64.16000366210938
2006-05-18,62.689998626708984
2006-05-19,61.83000183105469
2006-05-22,60.81999969482422
2006-05-23,60.7599983215332
2006-05-24,60.150001525878906
2006-05-25,61.25
2006-05-26,60.88999938964844
2006-05-30,58.09000015258789
2006-05-31,57.77000045776367
2006-06-01,60.0
2006-06-02,60.56999969482422
2006-06-05,58.900001525878906
2006-06-06,58.15999984741211
2006-06-07,58.61000061035156
2006-06-08,57.290000915527344
2006-06-09,56.25
2006-06-12,57.099998474121094
2006-06-13,56.150001525878906
2006-06-14,58.150001525878906
2006-06-15,61.880001068115234
2006-06-16,61.7599983215332
2006-06-19,60.97999954223633
2006-06-20,60.66999816894531
2006-06-21,63.0
2006-06-22,62.849998474121094
2006-06-23,61.900001525878906
2006-06-26,62.75
2006-06-27,61.79999923706055
2006-06-28,59.95000076293945
2006-06-29,60.849998474121094
2006-06-30,60.95000076293945
2006-07-03,60.38999938964844
2006-07-05,59.349998474121094
2006-07-06,59.060001373291016
2006-07-07,56.0
2006-07-10,53.59000015258789
2006-07-11,55.18000030517578
2006-07-12,54.29999923706055
2006-07-13,55.0099983215332
2006-07-14,54.11000061035156
2006-07-17,55.5
2006-07-18,53.900001525878906
2006-07-19,53.959999084472656
2006-07-20,51.130001068115234
2006-07-21,49.369998931884766
2006-07-24,50.599998474121094
2006-07-25,52.75
2006-07-26,52.349998474121094
2006-07-27,50.939998626708984
2006-07-28,50.130001068115234
2006-07-31,52.5
2006-08-01,52.0
2006-08-02,52.25
2006-08-03,54.08000183105469
2006-08-04,54.900001525878906
2006-08-07,54.400001525878906
2006-08-08,53.400001525878906
2006-08-09,50.279998779296875
2006-08-10,48.66999816894531
2006-08-11,49.290000915527344
2006-08-14,49.880001068115234
2006-08-15,50.63999938964844
2006-08-16,53.5
2006-08-17,53.08000183105469
2006-08-18,51.810001373291016
2006-08-21,51.099998474121094
2006-08-22,50.58000183105469
2006-08-23,50.15999984741211
2006-08-24,49.16999816894531
2006-08-25,48.900001525878906
2006-08-28,48.900001525878906
2006-08-29,49.79999923706055
2006-08-30,50.2599983215332
2006-08-31,49.34000015258789
2006-09-01,50.689998626708984
2006-09-05,50.5099983215332
2006-09-06,50.09000015258789
2006-09-07,49.849998474121094
2006-09-08,47.91999816894531
2006-09-11,49.099998474121094
2006-09-12,51.470001220703125
2006-09-13,52.06999969482422
2006-09-14,50.83000183105469
2006-09-15,51.20000076293945
2006-09-18,50.83000183105469
2006-09-19,50.33000183105469
2006-09-20,51.040000915527344
2006-09-21,53.209999084472656
2006-09-22,52.119998931884766
2006-09-25,53.15999984741211
2006-09-26,52.380001068115234
2006-09-27,49.79999923706055
2006-09-28,49.599998474121094
2006-09-29,49.66999816894531
2006-10-02,49.0
2006-10-03,49.5
2006-10-04,50.9900016784668
2006-10-05,50.119998931884766
2006-10-06,51.59000015258789
2006-10-09,55.689998626708984
2006-10-10,56.47999954223633
2006-10-11,55.400001525878906
2006-10-12,57.22999954223633
2006-10-13,56.79999923706055
2006-10-16,56.04999923706055
2006-10-17,55.4900016784668
2006-10-18,54.849998474121094
2006-10-19,54.0
2006-10-20,54.959999084472656
2006-10-23,56.400001525878906
2006-10-24,57.70000076293945
2006-10-25,56.95000076293945
2006-10-26,58.5
2006-10-27,58.41999816894531
2006-10-30,59.04999923706055
2006-10-31,59.900001525878906
2006-11-01,58.220001220703125
2006-11-02,56.790000915527344
2006-11-03,57.08000183105469
2006-11-06,58.2599983215332
2006-11-07,58.08000183105469
2006-11-08,57.68000030517578
2006-11-09,56.58000183105469
2006-11-10,57.29999923706055
2006-11-13,56.650001525878906
2006-11-14,57.869998931884766
2006-11-15,58.84000015258789
2006-11-16,58.77000045776367
2006-11-17,59.880001068115234
2006-11-20,61.86000061035156
2006-11-21,61.22999954223633
2006-11-22,61.27000045776367
