Date,EXPI
2020-10-15,30.545000076293945
2020-10-16,28.485000610351562
2020-10-19,28.625
2020-10-20,27.56999969482422
2020-10-21,24.030000686645508
2020-10-22,22.469999313354492
2020-10-23,22.110000610351562
2020-10-26,20.764999389648438
2020-10-27,23.75
2020-10-28,22.834999084472656
2020-10-29,24.049999237060547
2020-10-30,21.19499969482422
2020-11-02,20.764999389648438
2020-11-03,21.604999542236328
2020-11-04,23.309999465942383
2020-11-05,24.270000457763672
2020-11-06,23.809999465942383
2020-11-09,20.829999923706055
2020-11-10,20.55500030517578
2020-11-11,22.2549991607666
2020-11-12,22.489999771118164
2020-11-13,21.969999313354492
2020-11-16,21.610000610351562
2020-11-17,21.80500030517578
2020-11-18,21.614999771118164
2020-11-19,22.739999771118164
2020-11-20,24.280000686645508
2020-11-23,25.28499984741211
2020-11-24,25.010000228881836
2020-11-25,25.989999771118164
2020-11-27,27.075000762939453
2020-11-30,26.665000915527344
2020-12-01,26.969999313354492
2020-12-02,26.81999969482422
2020-12-03,28.420000076293945
2020-12-04,28.31999969482422
2020-12-07,29.540000915527344
2020-12-08,29.325000762939453
2020-12-09,29.209999084472656
2020-12-10,30.860000610351562
2020-12-11,33.52000045776367
2020-12-14,34.20500183105469
2020-12-15,36.36000061035156
2020-12-16,36.040000915527344
2020-12-17,38.05500030517578
2020-12-18,38.369998931884766
2020-12-21,39.849998474121094
2020-12-22,40.79999923706055
2020-12-23,39.439998626708984
2020-12-24,39.314998626708984
2020-12-28,33.935001373291016
2020-12-29,34.06999969482422
2020-12-30,33.54999923706055
2020-12-31,31.559999465942383
2021-01-04,30.69499969482422
2021-01-05,31.364999771118164
2021-01-06,30.385000228881836
2021-01-07,33.03499984741211
2021-01-08,37.18000030517578
2021-01-11,36.7400016784668
2021-01-12,37.75
2021-01-13,37.685001373291016
2021-01-14,38.70500183105469
2021-01-15,38.98500061035156
2021-01-19,39.85499954223633
2021-01-20,46.18000030517578
2021-01-21,48.8650016784668
2021-01-22,51.459999084472656
2021-01-25,54.56999969482422
2021-01-26,58.880001068115234
2021-01-27,54.220001220703125
2021-01-28,53.880001068115234
2021-01-29,53.29499816894531
2021-02-01,57.53499984741211
2021-02-02,59.95000076293945
2021-02-03,59.505001068115234
2021-02-04,62.86000061035156
2021-02-05,67.48500061035156
2021-02-08,75.09500122070312
2021-02-09,80.5250015258789
2021-02-10,68.16999816894531
2021-02-11,72.91500091552734
2021-02-12,77.88500213623047
2021-02-16,79.94000244140625
2021-02-17,72.91000366210938
2021-02-18,68.70999908447266
2021-02-19,71.41999816894531
2021-02-22,70.30999755859375
2021-02-23,63.45000076293945
2021-02-24,65.79000091552734
2021-02-25,59.599998474121094
2021-02-26,60.38999938964844
2021-03-01,65.56999969482422
2021-03-02,62.689998626708984
2021-03-03,54.22999954223633
2021-03-04,45.310001373291016
2021-03-05,44.11000061035156
2021-03-08,41.18000030517578
2021-03-09,45.95000076293945
2021-03-10,45.900001525878906
2021-03-11,50.45000076293945
2021-03-12,52.459999084472656
2021-03-15,55.790000915527344
2021-03-16,55.75
2021-03-17,55.959999084472656
2021-03-18,47.72999954223633
2021-03-19,51.72999954223633
2021-03-22,51.189998626708984
2021-03-23,46.290000915527344
2021-03-24,43.540000915527344
2021-03-25,45.650001525878906
2021-03-26,47.939998626708984
2021-03-29,43.099998474121094
2021-03-30,43.93000030517578
2021-03-31,45.54999923706055
2021-04-01,45.31999969482422
2021-04-05,42.150001525878906
2021-04-06,42.91999816894531
2021-04-07,41.529998779296875
2021-04-08,43.56999969482422
2021-04-09,41.79999923706055
2021-04-12,39.310001373291016
2021-04-13,38.150001525878906
2021-04-14,37.31999969482422
2021-04-15,37.86000061035156
2021-04-16,36.70000076293945
2021-04-19,33.95000076293945
2021-04-20,32.34000015258789
2021-04-21,34.099998474121094
2021-04-22,33.52000045776367
2021-04-23,34.459999084472656
2021-04-26,36.959999084472656
2021-04-27,36.7599983215332
2021-04-28,35.84000015258789
2021-04-29,34.83000183105469
2021-04-30,34.36000061035156
2021-05-03,33.060001373291016
2021-05-04,31.420000076293945
2021-05-05,30.790000915527344
2021-05-06,28.15999984741211
2021-05-07,28.18000030517578
2021-05-10,25.850000381469727
2021-05-11,26.780000686645508
2021-05-12,24.719999313354492
2021-05-13,23.3700008392334
2021-05-14,26.600000381469727
2021-05-17,26.81999969482422
2021-05-18,28.15999984741211
2021-05-19,28.139999389648438
2021-05-20,28.610000610351562
2021-05-21,27.760000228881836
2021-05-24,28.190000534057617
2021-05-25,28.18000030517578
2021-05-26,31.899999618530273
2021-05-27,32.689998626708984
2021-05-28,32.2599983215332
2021-06-01,33.08000183105469
2021-06-02,33.33000183105469
2021-06-03,33.470001220703125
2021-06-04,33.849998474121094
2021-06-07,36.560001373291016
2021-06-08,40.66999816894531
2021-06-09,39.29999923706055
2021-06-10,35.290000915527344
2021-06-11,35.790000915527344
2021-06-14,36.22999954223633
2021-06-15,35.040000915527344
2021-06-16,34.88999938964844
2021-06-17,35.849998474121094
2021-06-18,34.91999816894531
2021-06-21,35.34000015258789
2021-06-22,35.630001068115234
2021-06-23,38.33000183105469
2021-06-24,39.720001220703125
2021-06-25,39.20000076293945
2021-06-28,40.369998931884766
2021-06-29,40.0
2021-06-30,38.77000045776367
2021-07-01,39.599998474121094
2021-07-02,38.08000183105469
2021-07-06,39.0099983215332
2021-07-07,38.31999969482422
2021-07-08,38.11000061035156
2021-07-09,38.95000076293945
2021-07-12,38.209999084472656
2021-07-13,36.45000076293945
2021-07-14,34.040000915527344
2021-07-15,33.380001068115234
2021-07-16,32.31999969482422
2021-07-19,32.84000015258789
2021-07-20,34.779998779296875
2021-07-21,37.09000015258789
2021-07-22,37.22999954223633
2021-07-23,37.369998931884766
2021-07-26,37.20000076293945
2021-07-27,35.9900016784668
2021-07-28,37.2400016784668
2021-07-29,36.75
2021-07-30,35.91999816894531
2021-08-02,35.290000915527344
2021-08-03,34.77000045776367
2021-08-04,47.27000045776367
2021-08-05,49.41999816894531
2021-08-06,49.09000015258789
2021-08-09,53.18000030517578
2021-08-10,50.540000915527344
2021-08-11,50.2599983215332
2021-08-12,53.65999984741211
2021-08-13,49.25
2021-08-16,44.02000045776367
2021-08-17,42.869998931884766
2021-08-18,41.779998779296875
2021-08-19,40.189998626708984
2021-08-20,41.66999816894531
2021-08-23,43.959999084472656
2021-08-24,44.5
2021-08-25,45.22999954223633
2021-08-26,43.560001373291016
2021-08-27,45.130001068115234
2021-08-30,44.369998931884766
2021-08-31,45.849998474121094
2021-09-01,49.255001068115234
2021-09-02,49.58000183105469
2021-09-03,49.310001373291016
2021-09-07,50.400001525878906
2021-09-08,47.0099983215332
2021-09-09,46.88999938964844
2021-09-10,45.7599983215332
2021-09-13,45.970001220703125
2021-09-14,44.36000061035156
2021-09-15,45.150001525878906
2021-09-16,45.41999816894531
2021-09-17,46.599998474121094
2021-09-20,43.22999954223633
2021-09-21,44.119998931884766
2021-09-22,48.18000030517578
2021-09-23,49.790000915527344
2021-09-24,49.72999954223633
2021-09-27,51.709999084472656
2021-09-28,43.279998779296875
2021-09-29,39.56999969482422
2021-09-30,39.77000045776367
2021-10-01,41.31999969482422
2021-10-04,38.16999816894531
2021-10-05,39.4900016784668
2021-10-06,40.650001525878906
2021-10-07,42.130001068115234
2021-10-08,41.439998626708984
2021-10-11,41.650001525878906
2021-10-12,43.459999084472656
2021-10-13,45.900001525878906
2021-10-14,47.689998626708984
2021-10-15,48.59000015258789
2021-10-18,48.400001525878906
2021-10-19,48.400001525878906
2021-10-20,48.97999954223633
2021-10-21,51.060001373291016
2021-10-22,52.02000045776367
2021-10-25,54.41999816894531
2021-10-26,52.83000183105469
2021-10-27,50.15999984741211
