Date,XLU
1999-11-29,28.59375
1999-11-30,28.953125
1999-12-01,29.09375
1999-12-02,28.921875
1999-12-03,29.484375
1999-12-06,29.28125
1999-12-07,29.5
1999-12-08,29.265625
1999-12-09,29.296875
1999-12-10,29.078125
1999-12-13,29.0625
1999-12-14,29.046875
1999-12-15,29.171875
1999-12-16,28.875
1999-12-17,29.0625
1999-12-20,28.390625
1999-12-21,28.765625
1999-12-22,28.6875
1999-12-23,28.828125
1999-12-27,28.0625
1999-12-28,28.3125
1999-12-29,27.890625
1999-12-30,27.890625
1999-12-31,28.140625
2000-01-03,27.453125
2000-01-04,26.625
2000-01-05,27.296875
2000-01-06,27.25
2000-01-07,27.484375
2000-01-10,27.578125
2000-01-11,27.28125
2000-01-12,27.0
2000-01-13,26.75
2000-01-14,26.96875
2000-01-18,26.859375
2000-01-19,26.875
2000-01-20,27.0
2000-01-21,27.875
2000-01-24,27.5
2000-01-25,26.859375
2000-01-26,26.734375
2000-01-27,26.5625
2000-01-28,26.421875
2000-01-31,27.640625
2000-02-01,27.4375
2000-02-02,27.296875
2000-02-03,27.25
2000-02-04,27.109375
2000-02-07,27.03125
2000-02-08,27.09375
2000-02-09,27.09375
2000-02-10,26.703125
2000-02-11,26.234375
2000-02-14,26.265625
2000-02-15,26.203125
2000-02-16,26.09375
2000-02-17,25.9375
2000-02-18,24.984375
2000-02-22,24.890625
2000-02-23,24.375
2000-02-24,23.5625
2000-02-25,23.4375
2000-02-28,24.109375
2000-02-29,24.28125
2000-03-01,25.34375
2000-03-02,26.0
2000-03-03,26.234375
2000-03-06,25.5
2000-03-07,25.203125
2000-03-08,25.375
2000-03-09,25.578125
2000-03-10,25.578125
2000-03-13,25.65625
2000-03-14,25.484375
2000-03-15,25.625
2000-03-16,26.625
2000-03-17,26.640625
2000-03-20,26.53125
2000-03-21,26.359375
2000-03-22,25.75
2000-03-23,26.1875
2000-03-24,25.9375
2000-03-27,26.296875
2000-03-28,26.171875
2000-03-29,26.640625
2000-03-30,26.578125
2000-03-31,26.734375
2000-04-03,26.90625
2000-04-04,27.28125
2000-04-05,27.640625
2000-04-06,27.8125
2000-04-07,27.734375
2000-04-10,27.671875
2000-04-11,28.390625
2000-04-12,28.640625
2000-04-13,28.671875
2000-04-14,27.625
2000-04-17,27.203125
2000-04-18,27.28125
2000-04-19,27.53125
2000-04-20,27.625
2000-04-24,28.375
2000-04-25,29.21875
2000-04-26,29.15625
2000-04-27,28.5
2000-04-28,28.484375
2000-05-01,28.484375
2000-05-02,27.453125
2000-05-03,27.546875
2000-05-04,27.5
2000-05-05,27.5625
2000-05-08,27.75
2000-05-09,27.65625
2000-05-10,28.1875
2000-05-11,28.609375
2000-05-12,28.15625
2000-05-15,28.703125
2000-05-16,28.578125
2000-05-17,28.140625
2000-05-18,28.375
2000-05-19,27.84375
2000-05-22,28.03125
2000-05-23,27.515625
2000-05-24,27.984375
2000-05-25,27.515625
2000-05-26,28.0625
2000-05-30,28.265625
2000-05-31,28.421875
2000-06-01,28.625
2000-06-02,28.53125
2000-06-05,27.875
2000-06-06,28.53125
2000-06-07,28.640625
2000-06-08,28.8125
2000-06-09,29.171875
2000-06-12,29.046875
2000-06-13,29.671875
2000-06-14,29.546875
2000-06-15,29.390625
2000-06-16,28.84375
2000-06-19,29.3125
2000-06-20,29.0
2000-06-21,29.09375
2000-06-22,28.90625
2000-06-23,29.0
2000-06-26,28.90625
2000-06-27,28.125
2000-06-28,28.359375
2000-06-29,27.90625
2000-06-30,27.25
2000-07-03,28.0625
2000-07-05,28.3125
2000-07-06,28.34375
2000-07-07,28.640625
2000-07-10,28.640625
2000-07-11,28.375
2000-07-12,28.5
2000-07-13,28.625
2000-07-14,28.234375
2000-07-17,28.0
2000-07-18,27.890625
2000-07-19,28.171875
2000-07-20,27.71875
2000-07-21,28.0
2000-07-24,27.90625
2000-07-25,28.140625
2000-07-26,27.875
2000-07-27,27.765625
2000-07-28,27.59375
2000-07-31,27.671875
2000-08-01,28.28125
2000-08-02,28.75
2000-08-03,28.796875
2000-08-04,28.640625
2000-08-07,29.203125
2000-08-08,28.4375
2000-08-09,27.984375
2000-08-10,27.984375
2000-08-11,28.296875
2000-08-14,28.46875
2000-08-15,28.65625
2000-08-16,28.25
2000-08-17,27.875
2000-08-18,28.03125
2000-08-21,28.21875
2000-08-22,27.875
2000-08-23,28.09375
2000-08-24,28.03125
2000-08-25,28.0
2000-08-28,28.5
2000-08-29,28.25
2000-08-30,28.53125
2000-08-31,28.75
2000-09-01,29.09375
2000-09-05,29.203125
2000-09-06,29.5625
2000-09-07,29.5625
2000-09-08,30.5
2000-09-11,31.203125
2000-09-12,31.125
2000-09-13,30.90625
2000-09-14,30.5
2000-09-15,30.53125
2000-09-18,30.34375
2000-09-19,29.84375
2000-09-20,29.3125
2000-09-21,29.53125
2000-09-22,30.28125
2000-09-25,30.5
2000-09-26,30.9375
2000-09-27,30.8125
2000-09-28,31.8125
2000-09-29,32.28125
2000-10-02,32.46875
2000-10-03,32.0625
2000-10-04,32.0625
2000-10-05,32.34375
2000-10-06,32.1875
2000-10-09,32.1875
2000-10-10,32.125
2000-10-11,31.625
2000-10-12,31.1875
2000-10-13,31.65625
2000-10-16,31.84375
2000-10-17,32.265625
2000-10-18,32.0
2000-10-19,31.84375
2000-10-20,31.671875
2000-10-23,32.34375
2000-10-24,32.203125
2000-10-25,32.0
2000-10-26,31.890625
2000-10-27,32.625
2000-10-30,33.890625
2000-10-31,34.15625
2000-11-01,33.953125
2000-11-02,33.96875
2000-11-03,33.8125
2000-11-06,33.65625
2000-11-07,33.703125
2000-11-08,33.875
2000-11-09,34.0625
2000-11-10,34.125
2000-11-13,34.28125
2000-11-14,33.6875
2000-11-15,33.65625
2000-11-16,34.046875
2000-11-17,33.53125
2000-11-20,33.859375
2000-11-21,33.53125
2000-11-22,33.78125
2000-11-24,33.71875
2000-11-27,33.484375
2000-11-28,33.96875
2000-11-29,34.1875
2000-11-30,34.140625
2000-12-01,33.484375
2000-12-04,33.84375
2000-12-05,34.0625
2000-12-06,34.1875
2000-12-07,34.171875
2000-12-08,33.34375
2000-12-11,33.4375
2000-12-12,33.53125
2000-12-13,34.359375
2000-12-14,34.15625
2000-12-15,33.625
2000-12-18,33.3125
2000-12-19,32.15625
2000-12-20,31.859375
2000-12-21,31.671875
2000-12-22,32.171875
2000-12-26,33.078125
2000-12-27,33.078125
2000-12-28,32.8125
2000-12-29,33.1875
2001-01-02,32.6875
2001-01-03,32.0
2001-01-04,31.5
2001-01-05,31.1875
2001-01-08,31.65625
2001-01-09,31.796875
2001-01-10,31.71875
2001-01-11,30.984375
2001-01-12,31.21875
2001-01-16,30.71875
2001-01-17,30.796875
2001-01-18,31.34375
2001-01-19,31.25
