Date,PLUG
2000-10-24,313.125
2000-10-25,275.0
2000-10-26,270.0
2000-10-27,265.0
2000-10-30,250.625
2000-10-31,239.375
2000-11-01,228.125
2000-11-02,240.0
2000-11-03,236.25
2000-11-06,218.125
2000-11-07,215.625
2000-11-08,234.375
2000-11-09,221.25
2000-11-10,210.0
2000-11-13,205.625
2000-11-14,211.875
2000-11-15,213.125
2000-11-16,192.5
2000-11-17,180.625
2000-11-20,163.125
2000-11-21,163.75
2000-11-22,148.125
2000-11-24,165.0
2000-11-27,151.875
2000-11-28,143.75
2000-11-29,131.875
2000-11-30,118.125
2000-12-01,133.125
2000-12-04,128.75
2000-12-05,133.75
2000-12-06,148.75
2000-12-07,137.5
2000-12-08,140.625
2000-12-11,142.5
2000-12-12,130.625
2000-12-13,126.875
2000-12-14,115.0
2000-12-15,111.875
2000-12-18,104.375
2000-12-19,103.75
2000-12-20,94.375
2000-12-21,104.84375
2000-12-22,111.875
2000-12-26,119.375
2000-12-27,128.125
2000-12-28,158.125
2000-12-29,146.875
2001-01-02,158.75
2001-01-03,160.0
2001-01-04,172.5
2001-01-05,152.5
2001-01-08,155.0
2001-01-09,150.0
2001-01-10,150.0
2001-01-11,179.375
2001-01-12,199.375
2001-01-16,228.125
2001-01-17,270.0
2001-01-18,313.75
2001-01-19,248.125
2001-01-22,249.375
2001-01-23,246.25
2001-01-24,250.625
2001-01-25,235.0
2001-01-26,250.625
2001-01-29,245.0
2001-01-30,270.0
2001-01-31,266.25
2001-02-01,264.375
2001-02-02,255.625
2001-02-05,244.375
2001-02-06,242.5
2001-02-07,228.75
2001-02-08,226.25
2001-02-09,201.875
2001-02-12,188.75
2001-02-13,190.0
2001-02-14,191.875
2001-02-15,200.0
2001-02-16,196.875
2001-02-20,178.75
2001-02-21,175.625
2001-02-22,176.25
2001-02-23,173.75
2001-02-26,170.625
2001-02-27,161.25
2001-02-28,157.5
2001-03-01,150.625
2001-03-02,150.0
2001-03-05,151.25
2001-03-06,145.625
2001-03-07,144.375
2001-03-08,148.125
2001-03-09,141.25
2001-03-12,136.25
2001-03-13,137.5
2001-03-14,126.875
2001-03-15,133.125
2001-03-16,133.125
2001-03-19,148.125
2001-03-20,148.75
2001-03-21,140.0
2001-03-22,141.25
2001-03-23,140.0
2001-03-26,148.75
2001-03-27,150.0
2001-03-28,143.125
2001-03-29,141.875
2001-03-30,143.125
2001-04-02,141.875
2001-04-03,135.625
2001-04-04,128.75
2001-04-05,136.875
2001-04-06,133.75
2001-04-09,136.8000030517578
2001-04-10,147.8000030517578
2001-04-11,147.0
2001-04-12,149.3000030517578
2001-04-16,187.5
2001-04-17,189.3000030517578
2001-04-18,189.10000610351562
2001-04-19,189.60000610351562
2001-04-20,189.5
2001-04-23,179.39999389648438
2001-04-24,186.5
2001-04-25,180.0
2001-04-26,192.5
2001-04-27,188.60000610351562
2001-04-30,202.0
2001-05-01,229.89999389648438
2001-05-02,245.0
2001-05-03,219.60000610351562
2001-05-04,214.8000030517578
2001-05-07,219.89999389648438
2001-05-08,216.39999389648438
2001-05-09,226.0
2001-05-10,224.6999969482422
2001-05-11,212.5
2001-05-14,225.39999389648438
2001-05-15,228.0
2001-05-16,245.3000030517578
2001-05-17,291.3999938964844
2001-05-18,321.20001220703125
2001-05-21,319.29998779296875
2001-05-22,307.8999938964844
2001-05-23,281.70001220703125
2001-05-24,332.5
2001-05-25,354.0
2001-05-29,330.0
2001-05-30,287.5
2001-05-31,332.3999938964844
2001-06-01,327.79998779296875
2001-06-04,303.0
2001-06-05,297.0
2001-06-06,293.0
2001-06-07,297.0
2001-06-08,281.3999938964844
2001-06-11,289.8999938964844
2001-06-12,256.0
2001-06-13,255.0
2001-06-14,227.6999969482422
2001-06-15,226.3000030517578
2001-06-18,197.5
2001-06-19,184.89999389648438
2001-06-20,182.60000610351562
2001-06-21,197.3000030517578
2001-06-22,187.3000030517578
2001-06-25,177.0
2001-06-26,201.0
2001-06-27,217.39999389648438
2001-06-28,210.1999969482422
2001-06-29,215.3000030517578
2001-07-02,214.3000030517578
2001-07-03,205.5
2001-07-05,204.0
2001-07-06,202.5
2001-07-09,193.5
2001-07-10,181.0
2001-07-11,175.39999389648438
2001-07-12,183.5
2001-07-13,185.5
2001-07-16,174.5
2001-07-17,170.6999969482422
2001-07-18,157.10000610351562
2001-07-19,145.0
2001-07-20,124.5999984741211
2001-07-23,129.0
2001-07-24,125.0
2001-07-25,120.19999694824219
2001-07-26,118.0
2001-07-27,117.5
2001-07-30,123.0999984741211
2001-07-31,124.80000305175781
2001-08-01,131.39999389648438
2001-08-02,126.5999984741211
2001-08-03,133.1999969482422
2001-08-06,130.39999389648438
2001-08-07,134.0
2001-08-08,128.3000030517578
2001-08-09,127.0
2001-08-10,123.4000015258789
2001-08-13,119.0
2001-08-14,120.0999984741211
2001-08-15,116.80000305175781
2001-08-16,112.0
