Date,XLY
1999-11-30,28.40625
1999-12-01,28.75
1999-12-02,28.625
1999-12-03,28.953125
1999-12-06,29.0
1999-12-07,28.515625
1999-12-08,28.359375
1999-12-09,28.3125
1999-12-10,29.09375
1999-12-13,29.96875
1999-12-14,29.578125
1999-12-15,29.71875
1999-12-16,30.375
1999-12-17,30.1875
1999-12-20,29.3125
1999-12-21,29.4375
1999-12-22,29.5
1999-12-23,30.078125
1999-12-27,30.375
1999-12-28,30.6875
1999-12-29,30.8125
1999-12-30,30.71875
1999-12-31,31.0625
2000-01-03,30.125
2000-01-04,29.21875
2000-01-05,28.859375
2000-01-06,29.1875
2000-01-07,30.5625
2000-01-10,30.40625
2000-01-11,30.234375
2000-01-12,30.0625
2000-01-13,30.21875
2000-01-14,30.140625
2000-01-18,29.96875
2000-01-19,29.90625
2000-01-20,29.5
2000-01-21,28.890625
2000-01-24,27.8125
2000-01-25,27.984375
2000-01-26,28.1875
2000-01-27,28.109375
2000-01-28,27.0
2000-01-31,27.203125
2000-02-01,28.1875
2000-02-02,28.0
2000-02-03,28.109375
2000-02-04,28.0625
2000-02-07,27.46875
2000-02-08,28.09375
2000-02-09,27.625
2000-02-10,27.375
2000-02-11,26.984375
2000-02-14,27.125
2000-02-15,27.1875
2000-02-16,26.125
2000-02-17,25.375
2000-02-18,25.0
2000-02-22,25.0625
2000-02-23,24.984375
2000-02-24,24.1875
2000-02-25,24.28125
2000-02-28,25.15625
2000-02-29,25.6875
2000-03-01,25.390625
2000-03-02,25.359375
2000-03-03,25.828125
2000-03-06,25.21875
2000-03-07,24.515625
2000-03-08,24.8125
2000-03-09,25.3125
2000-03-10,24.96875
2000-03-13,24.765625
2000-03-14,24.8125
2000-03-15,26.3125
2000-03-16,28.25
2000-03-17,28.265625
2000-03-20,28.0
2000-03-21,28.3125
2000-03-22,28.1875
2000-03-23,28.265625
2000-03-24,28.359375
2000-03-27,28.28125
2000-03-28,28.375
2000-03-29,28.9375
2000-03-30,29.578125
2000-03-31,29.265625
2000-04-03,30.140625
2000-04-04,29.765625
2000-04-05,29.8125
2000-04-06,30.125
2000-04-07,30.125
2000-04-10,30.828125
2000-04-11,31.046875
2000-04-12,30.984375
2000-04-13,30.40625
2000-04-14,28.0
2000-04-17,28.03125
2000-04-18,28.625
2000-04-19,28.84375
2000-04-20,29.21875
2000-04-24,29.53125
2000-04-25,30.0625
2000-04-26,30.03125
2000-04-27,29.40625
2000-04-28,28.65625
2000-05-01,29.53125
2000-05-02,29.328125
2000-05-03,27.9375
2000-05-04,27.484375
2000-05-05,27.828125
2000-05-08,27.75
2000-05-09,28.03125
2000-05-10,28.03125
2000-05-11,28.28125
2000-05-12,28.6875
2000-05-15,28.78125
2000-05-16,29.0
2000-05-17,28.3125
2000-05-18,28.875
2000-05-19,28.140625
2000-05-22,27.71875
2000-05-23,27.59375
2000-05-24,27.09375
2000-05-25,26.84375
2000-05-26,26.28125
2000-05-30,26.484375
2000-05-31,27.109375
2000-06-01,27.3125
2000-06-02,28.0625
2000-06-05,27.90625
2000-06-06,27.015625
2000-06-07,27.015625
2000-06-08,26.75
2000-06-09,26.3125
2000-06-12,25.65625
2000-06-13,26.15625
2000-06-14,26.25
2000-06-15,26.1875
2000-06-16,25.84375
2000-06-19,25.8125
2000-06-20,25.25
2000-06-21,25.078125
2000-06-22,24.96875
2000-06-23,25.125
2000-06-26,25.125
2000-06-27,25.84375
2000-06-28,25.75
2000-06-29,25.3125
2000-06-30,25.59375
2000-07-03,25.9375
2000-07-05,26.25
2000-07-06,26.4375
2000-07-07,27.71875
2000-07-10,28.125
2000-07-11,28.328125
2000-07-12,28.40625
2000-07-13,27.875
2000-07-14,28.21875
2000-07-17,28.0625
2000-07-18,28.125
2000-07-19,27.765625
2000-07-20,27.6875
2000-07-21,27.625
2000-07-24,27.1875
2000-07-25,27.25
2000-07-26,27.15625
2000-07-27,27.375
2000-07-28,26.53125
2000-07-31,26.0
2000-08-01,26.375
2000-08-02,26.375
2000-08-03,26.25
2000-08-04,26.140625
2000-08-07,26.84375
2000-08-08,27.640625
2000-08-09,27.15625
2000-08-10,26.375
2000-08-11,26.75
2000-08-14,27.09375
2000-08-15,26.3125
2000-08-16,25.796875
2000-08-17,25.8125
2000-08-18,26.15625
2000-08-21,25.53125
2000-08-22,26.03125
2000-08-23,25.875
2000-08-24,25.875
2000-08-25,26.109375
2000-08-28,25.6875
2000-08-29,25.578125
2000-08-30,25.28125
2000-08-31,24.921875
2000-09-01,25.421875
2000-09-05,25.6875
2000-09-06,26.0625
2000-09-07,25.84375
2000-09-08,26.328125
2000-09-11,26.8125
2000-09-12,26.8125
2000-09-13,26.8125
2000-09-14,26.65625
2000-09-15,26.359375
2000-09-18,25.828125
2000-09-19,25.390625
2000-09-20,24.890625
2000-09-21,25.8125
2000-09-22,25.640625
2000-09-25,25.25
2000-09-26,24.6875
2000-09-27,24.921875
2000-09-28,25.3125
2000-09-29,24.890625
2000-10-02,24.5
2000-10-03,24.6875
2000-10-04,25.125
2000-10-05,24.796875
2000-10-06,24.015625
2000-10-09,24.171875
2000-10-10,24.1875
2000-10-11,23.5
2000-10-12,21.859375
2000-10-13,22.3125
2000-10-16,22.703125
2000-10-17,22.078125
2000-10-18,22.5
2000-10-19,23.421875
2000-10-20,23.0
2000-10-23,23.140625
2000-10-24,23.15625
2000-10-25,22.8125
2000-10-26,22.734375
2000-10-27,22.953125
2000-10-30,23.53125
2000-10-31,24.578125
2000-11-01,24.78125
2000-11-02,25.0
2000-11-03,24.640625
2000-11-06,24.96875
2000-11-07,24.71875
2000-11-08,25.0
2000-11-09,24.03125
2000-11-10,22.921875
2000-11-13,23.5625
2000-11-14,24.265625
2000-11-15,24.5
2000-11-16,24.234375
2000-11-17,24.21875
2000-11-20,23.625
2000-11-21,23.4375
2000-11-22,23.1875
2000-11-24,23.34375
2000-11-27,24.1875
2000-11-28,24.09375
2000-11-29,24.4375
2000-11-30,23.96875
2000-12-01,24.0
2000-12-04,24.90625
2000-12-05,25.5
2000-12-06,25.34375
2000-12-07,25.0
2000-12-08,25.265625
2000-12-11,24.953125
2000-12-12,25.0
2000-12-13,24.5
2000-12-14,24.421875
2000-12-15,23.71875
2000-12-18,24.234375
2000-12-19,23.65625
2000-12-20,23.375
2000-12-21,24.09375
2000-12-22,24.5
2000-12-26,24.03125
2000-12-27,25.1875
2000-12-28,25.5
2000-12-29,25.59375
2001-01-02,25.546875
2001-01-03,27.5625
2001-01-04,27.953125
2001-01-05,27.03125
2001-01-08,26.671875
2001-01-09,26.453125
2001-01-10,26.625
2001-01-11,26.859375
2001-01-12,26.84375
2001-01-16,27.46875
2001-01-17,27.09375
2001-01-18,26.6875
2001-01-19,25.625
2001-01-22,26.59375
2001-01-23,26.90625
2001-01-24,26.9375
2001-01-25,27.359375
2001-01-26,27.0625
2001-01-29,27.600000381469727
2001-01-30,27.68000030517578
2001-01-31,28.56999969482422
2001-02-01,28.530000686645508
2001-02-02,27.989999771118164
2001-02-05,27.829999923706055
2001-02-06,27.860000610351562
2001-02-07,27.920000076293945
2001-02-08,27.100000381469727
2001-02-09,26.75
2001-02-12,27.5
2001-02-13,27.8700008392334
2001-02-14,27.600000381469727
2001-02-15,27.59000015258789
2001-02-16,27.239999771118164
2001-02-20,27.600000381469727
2001-02-21,26.40999984741211
2001-02-22,26.0
2001-02-23,26.43000030517578
2001-02-26,27.239999771118164
2001-02-27,27.100000381469727
2001-02-28,26.530000686645508
2001-03-01,26.100000381469727
2001-03-02,26.299999237060547
2001-03-05,26.020000457763672
2001-03-06,26.68000030517578
2001-03-07,27.34000015258789
2001-03-08,27.780000686645508
2001-03-09,27.5
2001-03-12,26.479999542236328
2001-03-13,26.360000610351562
2001-03-14,25.790000915527344
2001-03-15,26.079999923706055
2001-03-16,25.5
2001-03-19,25.799999237060547
2001-03-20,25.860000610351562
2001-03-21,25.700000762939453
2001-03-22,24.899999618530273
2001-03-23,25.18000030517578
2001-03-26,25.6200008392334
2001-03-27,26.18000030517578
2001-03-28,25.75
2001-03-29,26.0
2001-03-30,26.09000015258789
2001-04-02,26.100000381469727
2001-04-03,25.219999313354492
2001-04-04,25.489999771118164
2001-04-05,26.059999465942383
2001-04-06,25.979999542236328
2001-04-09,25.739999771118164
2001-04-10,26.0
2001-04-11,25.709999084472656
2001-04-12,25.270000457763672
2001-04-16,25.389999389648438
2001-04-17,25.739999771118164
2001-04-18,27.31999969482422
2001-04-19,27.399999618530273
2001-04-20,27.110000610351562
2001-04-23,26.93000030517578
2001-04-24,26.459999084472656
2001-04-25,26.479999542236328
2001-04-26,27.139999389648438
2001-04-27,27.790000915527344
2001-04-30,27.299999237060547
2001-05-01,27.600000381469727
2001-05-02,27.81999969482422
2001-05-03,27.5
2001-05-04,27.75
2001-05-07,27.540000915527344
2001-05-08,27.520000457763672
2001-05-09,27.100000381469727
2001-05-10,27.8799991607666
2001-05-11,28.0
2001-05-14,27.93000030517578
2001-05-15,27.829999923706055
2001-05-16,28.170000076293945
2001-05-17,28.600000381469727
2001-05-18,28.579999923706055
2001-05-21,28.899999618530273
2001-05-22,29.0
2001-05-23,28.479999542236328
2001-05-24,28.3799991607666
2001-05-25,28.239999771118164
2001-05-29,28.020000457763672
2001-05-30,27.510000228881836
2001-05-31,27.950000762939453
2001-06-01,27.850000381469727
2001-06-04,27.760000228881836
2001-06-05,28.09000015258789
2001-06-06,27.799999237060547
2001-06-07,28.010000228881836
2001-06-08,28.110000610351562
2001-06-11,27.690000534057617
2001-06-12,27.899999618530273
2001-06-13,27.600000381469727
2001-06-14,27.309999465942383
2001-06-15,26.979999542236328
2001-06-18,27.270000457763672
2001-06-19,27.360000610351562
2001-06-20,27.760000228881836
2001-06-21,28.260000228881836
2001-06-22,27.979999542236328
2001-06-25,27.6200008392334
2001-06-26,27.25
2001-06-27,27.1200008392334
2001-06-28,27.549999237060547
2001-06-29,27.670000076293945
2001-07-02,27.940000534057617
2001-07-03,27.889999389648438
2001-07-05,27.31999969482422
2001-07-06,26.670000076293945
2001-07-09,26.860000610351562
2001-07-10,26.739999771118164
2001-07-11,27.030000686645508
2001-07-12,28.200000762939453
2001-07-13,28.65999984741211
2001-07-16,28.739999771118164
2001-07-17,28.899999618530273
2001-07-18,28.920000076293945
2001-07-19,29.1200008392334
2001-07-20,29.149999618530273
2001-07-23,28.610000610351562
2001-07-24,28.200000762939453
2001-07-25,28.75
2001-07-26,28.780000686645508
2001-07-27,28.700000762939453
2001-07-30,28.889999389648438
2001-07-31,28.899999618530273
2001-08-01,28.8700008392334
2001-08-02,29.049999237060547
2001-08-03,28.860000610351562
2001-08-06,28.34000015258789
2001-08-07,28.65999984741211
2001-08-08,28.299999237060547
2001-08-09,28.200000762939453
2001-08-10,28.18000030517578
2001-08-13,27.860000610351562
2001-08-14,27.940000534057617
2001-08-15,27.700000762939453
2001-08-16,27.90999984741211
2001-08-17,27.18000030517578
2001-08-20,27.520000457763672
2001-08-21,26.84000015258789
2001-08-22,26.90999984741211
2001-08-23,26.770000457763672
2001-08-24,27.280000686645508
2001-08-27,27.25
2001-08-28,27.020000457763672
2001-08-29,26.520000457763672
2001-08-30,25.979999542236328
2001-08-31,26.3700008392334
2001-09-04,26.510000228881836
2001-09-05,26.520000457763672
2001-09-06,25.559999465942383
2001-09-07,24.6299991607666
2001-09-10,24.420000076293945
2001-09-17,22.149999618530273
2001-09-18,22.280000686645508
2001-09-19,21.770000457763672
2001-09-20,21.020000457763672
2001-09-21,21.049999237060547
2001-09-24,22.209999084472656
2001-09-25,22.270000457763672
2001-09-26,22.34000015258789
2001-09-27,22.399999618530273
2001-09-28,22.969999313354492
2001-10-01,22.950000762939453
2001-10-02,23.59000015258789
2001-10-03,24.420000076293945
2001-10-04,23.899999618530273
2001-10-05,24.100000381469727
2001-10-08,23.610000610351562
2001-10-09,23.6299991607666
2001-10-10,24.610000610351562
2001-10-11,25.399999618530273
2001-10-12,24.850000381469727
2001-10-15,24.780000686645508
2001-10-16,25.030000686645508
2001-10-17,24.399999618530273
2001-10-18,24.399999618530273
2001-10-19,24.059999465942383
2001-10-22,24.600000381469727
2001-10-23,24.649999618530273
2001-10-24,24.549999237060547
2001-10-25,24.780000686645508
2001-10-26,25.040000915527344
2001-10-29,24.170000076293945
2001-10-30,23.709999084472656
2001-10-31,24.18000030517578
2001-11-01,24.6299991607666
2001-11-02,25.0
2001-11-05,25.59000015258789
2001-11-06,25.899999618530273
2001-11-07,25.719999313354492
