Date,RDFN
2017-07-28,21.700000762939453
2017-07-31,24.1299991607666
2017-08-01,26.479999542236328
2017-08-02,31.059999465942383
2017-08-03,27.200000762939453
2017-08-04,25.84000015258789
2017-08-07,25.270000457763672
2017-08-08,25.520000457763672
2017-08-09,26.329999923706055
2017-08-10,25.440000534057617
2017-08-11,24.850000381469727
2017-08-14,24.959999084472656
2017-08-15,28.59000015258789
2017-08-16,27.190000534057617
2017-08-17,26.579999923706055
2017-08-18,26.700000762939453
2017-08-21,27.559999465942383
2017-08-22,25.270000457763672
2017-08-23,25.75
2017-08-24,25.790000915527344
2017-08-25,24.889999389648438
2017-08-28,24.829999923706055
2017-08-29,23.8700008392334
2017-08-30,23.040000915527344
2017-08-31,22.290000915527344
2017-09-01,23.600000381469727
2017-09-05,24.989999771118164
2017-09-06,25.860000610351562
2017-09-07,25.360000610351562
2017-09-08,24.100000381469727
2017-09-11,25.81999969482422
2017-09-12,25.40999984741211
2017-09-13,26.889999389648438
2017-09-14,26.719999313354492
2017-09-15,26.530000686645508
2017-09-18,26.920000076293945
2017-09-19,26.579999923706055
2017-09-20,27.280000686645508
2017-09-21,26.25
2017-09-22,27.969999313354492
2017-09-25,26.020000457763672
2017-09-26,25.209999084472656
2017-09-27,25.239999771118164
2017-09-28,25.420000076293945
2017-09-29,25.09000015258789
2017-10-02,25.049999237060547
2017-10-03,24.920000076293945
2017-10-04,24.920000076293945
2017-10-05,25.0
2017-10-06,25.0
2017-10-09,26.329999923706055
2017-10-10,25.329999923706055
2017-10-11,25.329999923706055
2017-10-12,25.649999618530273
2017-10-13,26.030000686645508
2017-10-16,25.760000228881836
2017-10-17,26.989999771118164
2017-10-18,26.079999923706055
2017-10-19,25.68000030517578
2017-10-20,25.25
2017-10-23,24.34000015258789
2017-10-24,24.09000015258789
2017-10-25,23.399999618530273
2017-10-26,23.110000610351562
2017-10-27,23.010000228881836
2017-10-30,23.280000686645508
2017-10-31,23.540000915527344
2017-11-01,23.280000686645508
2017-11-02,23.739999771118164
2017-11-03,22.899999618530273
2017-11-06,22.540000915527344
2017-11-07,22.950000762939453
2017-11-08,21.700000762939453
2017-11-09,23.200000762939453
2017-11-10,20.93000030517578
2017-11-13,21.290000915527344
2017-11-14,21.149999618530273
2017-11-15,21.760000228881836
2017-11-16,21.049999237060547
2017-11-17,21.1200008392334
2017-11-20,20.850000381469727
2017-11-21,20.780000686645508
2017-11-22,19.940000534057617
2017-11-24,20.079999923706055
2017-11-27,21.43000030517578
2017-11-28,22.860000610351562
2017-11-29,22.809999465942383
2017-11-30,22.780000686645508
2017-12-01,23.440000534057617
2017-12-04,24.690000534057617
2017-12-05,24.729999542236328
2017-12-06,25.06999969482422
2017-12-07,24.31999969482422
2017-12-08,24.110000610351562
2017-12-11,24.540000915527344
2017-12-12,26.940000534057617
2017-12-13,24.290000915527344
2017-12-14,25.299999237060547
2017-12-15,26.010000228881836
2017-12-18,25.899999618530273
2017-12-19,26.25
2017-12-20,26.479999542236328
2017-12-21,27.25
2017-12-22,27.0
2017-12-26,27.31999969482422
2017-12-27,27.899999618530273
2017-12-28,29.489999771118164
2017-12-29,31.31999969482422
2018-01-02,31.06999969482422
2018-01-03,28.200000762939453
2018-01-04,27.34000015258789
2018-01-05,28.200000762939453
2018-01-08,27.68000030517578
2018-01-09,26.93000030517578
2018-01-10,27.31999969482422
2018-01-11,26.93000030517578
2018-01-12,26.59000015258789
2018-01-16,26.100000381469727
2018-01-17,26.170000076293945
2018-01-18,26.950000762939453
2018-01-19,26.079999923706055
2018-01-22,23.959999084472656
2018-01-23,23.170000076293945
2018-01-24,22.1200008392334
2018-01-25,22.309999465942383
2018-01-26,23.010000228881836
2018-01-29,21.290000915527344
2018-01-30,20.43000030517578
2018-01-31,20.299999237060547
2018-02-01,19.700000762939453
2018-02-02,19.760000228881836
2018-02-05,19.65999984741211
2018-02-06,22.030000686645508
2018-02-07,23.0
2018-02-08,22.040000915527344
2018-02-09,22.079999923706055
2018-02-12,22.670000076293945
2018-02-13,22.0
2018-02-14,22.59000015258789
2018-02-15,22.729999542236328
2018-02-16,22.950000762939453
2018-02-20,21.899999618530273
2018-02-21,21.299999237060547
2018-02-22,21.56999969482422
2018-02-23,20.959999084472656
2018-02-26,20.6200008392334
2018-02-27,20.600000381469727
2018-02-28,20.59000015258789
2018-03-01,20.579999923706055
2018-03-02,21.43000030517578
2018-03-05,21.899999618530273
2018-03-06,23.0
2018-03-07,23.010000228881836
2018-03-08,23.65999984741211
2018-03-09,22.979999542236328
2018-03-12,22.739999771118164
2018-03-13,22.760000228881836
2018-03-14,22.25
2018-03-15,21.3799991607666
2018-03-16,21.350000381469727
2018-03-19,21.579999923706055
2018-03-20,21.079999923706055
2018-03-21,21.280000686645508
2018-03-22,21.399999618530273
2018-03-23,22.100000381469727
2018-03-26,22.68000030517578
2018-03-27,22.329999923706055
2018-03-28,22.350000381469727
2018-03-29,22.829999923706055
2018-04-02,22.760000228881836
2018-04-03,23.0
2018-04-04,23.110000610351562
2018-04-05,22.1299991607666
2018-04-06,22.030000686645508
2018-04-09,22.399999618530273
2018-04-10,22.68000030517578
2018-04-11,22.809999465942383
2018-04-12,22.719999313354492
2018-04-13,22.809999465942383
2018-04-16,23.190000534057617
2018-04-17,23.299999237060547
2018-04-18,23.989999771118164
2018-04-19,23.8799991607666
2018-04-20,22.709999084472656
2018-04-23,22.469999313354492
2018-04-24,22.219999313354492
2018-04-25,21.709999084472656
2018-04-26,21.68000030517578
2018-04-27,21.68000030517578
