Date,CHGG
2013-11-13,9.680000305175781
2013-11-14,8.880000114440918
2013-11-15,9.130000114440918
2013-11-18,9.0
2013-11-19,8.720000267028809
2013-11-20,7.96999979019165
2013-11-21,7.860000133514404
2013-11-22,7.489999771118164
2013-11-25,7.71999979019165
2013-11-26,8.149999618530273
2013-11-27,8.390000343322754
2013-11-29,8.210000038146973
2013-12-02,8.829999923706055
2013-12-03,9.199999809265137
2013-12-04,9.4399995803833
2013-12-05,9.489999771118164
2013-12-06,9.569999694824219
2013-12-09,8.890000343322754
2013-12-10,9.0
2013-12-11,8.579999923706055
2013-12-12,8.199999809265137
2013-12-13,8.010000228881836
2013-12-16,8.279999732971191
2013-12-17,8.289999961853027
2013-12-18,8.279999732971191
2013-12-19,8.59000015258789
2013-12-20,8.40999984741211
2013-12-23,8.359999656677246
2013-12-24,8.3100004196167
2013-12-26,8.329999923706055
2013-12-27,8.350000381469727
2013-12-30,8.640000343322754
2013-12-31,8.510000228881836
2014-01-02,8.3100004196167
2014-01-03,8.210000038146973
2014-01-06,8.260000228881836
2014-01-07,8.220000267028809
2014-01-08,7.78000020980835
2014-01-09,7.800000190734863
2014-01-10,7.610000133514404
2014-01-13,7.179999828338623
2014-01-14,7.210000038146973
2014-01-15,7.179999828338623
2014-01-16,7.230000019073486
2014-01-17,7.25
2014-01-21,7.25
2014-01-22,7.25
2014-01-23,7.230000019073486
2014-01-24,7.210000038146973
2014-01-27,6.900000095367432
2014-01-28,6.980000019073486
2014-01-29,6.739999771118164
2014-01-30,6.75
2014-01-31,6.670000076293945
2014-02-03,6.900000095367432
2014-02-04,6.869999885559082
2014-02-05,6.860000133514404
2014-02-06,6.920000076293945
2014-02-07,7.119999885559082
2014-02-10,7.21999979019165
2014-02-11,7.380000114440918
2014-02-12,7.46999979019165
2014-02-13,7.940000057220459
2014-02-14,6.170000076293945
2014-02-18,6.449999809265137
2014-02-19,6.46999979019165
2014-02-20,6.559999942779541
2014-02-21,6.400000095367432
2014-02-24,6.559999942779541
2014-02-25,6.429999828338623
2014-02-26,6.360000133514404
2014-02-27,6.369999885559082
2014-02-28,6.300000190734863
2014-03-03,6.349999904632568
2014-03-04,6.389999866485596
2014-03-05,6.349999904632568
2014-03-06,6.289999961853027
2014-03-07,6.380000114440918
2014-03-10,6.369999885559082
2014-03-11,6.369999885559082
2014-03-12,6.420000076293945
2014-03-13,6.559999942779541
2014-03-14,6.53000020980835
2014-03-17,6.880000114440918
2014-03-18,6.920000076293945
2014-03-19,7.039999961853027
2014-03-20,7.079999923706055
2014-03-21,7.190000057220459
2014-03-24,7.159999847412109
2014-03-25,7.239999771118164
2014-03-26,7.110000133514404
2014-03-27,6.940000057220459
2014-03-28,6.929999828338623
2014-03-31,7.0
2014-04-01,7.269999980926514
2014-04-02,7.25
2014-04-03,7.090000152587891
2014-04-04,6.809999942779541
2014-04-07,6.519999980926514
2014-04-08,6.539999961853027
2014-04-09,6.539999961853027
2014-04-10,6.150000095367432
2014-04-11,5.71999979019165
2014-04-14,5.630000114440918
2014-04-15,5.21999979019165
2014-04-16,5.360000133514404
2014-04-17,5.5
2014-04-21,5.25
2014-04-22,5.269999980926514
2014-04-23,5.230000019073486
2014-04-24,5.239999771118164
2014-04-25,5.309999942779541
2014-04-28,5.25
2014-04-29,5.400000095367432
2014-04-30,5.269999980926514
2014-05-01,5.46999979019165
2014-05-02,5.820000171661377
2014-05-05,5.860000133514404
2014-05-06,5.900000095367432
2014-05-07,5.46999979019165
2014-05-08,5.400000095367432
2014-05-09,5.210000038146973
2014-05-12,5.309999942779541
2014-05-13,5.440000057220459
2014-05-14,5.340000152587891
2014-05-15,5.239999771118164
2014-05-16,5.269999980926514
2014-05-19,5.269999980926514
2014-05-20,5.340000152587891
2014-05-21,5.480000019073486
2014-05-22,5.489999771118164
2014-05-23,5.510000228881836
2014-05-27,5.679999828338623
2014-05-28,5.579999923706055
2014-05-29,5.610000133514404
2014-05-30,5.570000171661377
2014-06-02,5.409999847412109
2014-06-03,5.809999942779541
2014-06-04,5.889999866485596
2014-06-05,6.0
2014-06-06,6.28000020980835
2014-06-09,6.769999980926514
2014-06-10,6.630000114440918
2014-06-11,6.849999904632568
2014-06-12,6.380000114440918
2014-06-13,6.369999885559082
2014-06-16,7.300000190734863
2014-06-17,7.380000114440918
2014-06-18,7.619999885559082
2014-06-19,7.599999904632568
2014-06-20,7.71999979019165
2014-06-23,7.71999979019165
2014-06-24,7.809999942779541
2014-06-25,7.809999942779541
2014-06-26,7.260000228881836
2014-06-27,7.289999961853027
2014-06-30,7.039999961853027
2014-07-01,6.769999980926514
2014-07-02,6.820000171661377
2014-07-03,6.840000152587891
2014-07-07,6.760000228881836
2014-07-08,6.550000190734863
2014-07-09,6.559999942779541
2014-07-10,6.5
2014-07-11,6.5
2014-07-14,6.519999980926514
2014-07-15,6.349999904632568
2014-07-16,6.130000114440918
2014-07-17,5.820000171661377
2014-07-18,6.019999980926514
2014-07-21,6.079999923706055
2014-07-22,6.059999942779541
2014-07-23,5.920000076293945
2014-07-24,5.980000019073486
2014-07-25,6.050000190734863
2014-07-28,6.309999942779541
2014-07-29,6.340000152587891
2014-07-30,6.369999885559082
2014-07-31,6.429999828338623
2014-08-01,6.440000057220459
2014-08-04,5.889999866485596
2014-08-05,7.099999904632568
2014-08-06,7.349999904632568
2014-08-07,7.150000095367432
2014-08-08,7.03000020980835
2014-08-11,7.119999885559082
2014-08-12,6.840000152587891
2014-08-13,7.03000020980835
2014-08-14,6.929999828338623
