Date,XLRE
2015-10-08,30.209999084472656
2015-10-09,30.15999984741211
2015-10-12,30.350000381469727
2015-10-13,30.15999984741211
2015-10-14,30.15999984741211
2015-10-15,30.06999969482422
2015-10-16,30.642000198364258
2015-10-19,31.0
2015-10-20,31.030000686645508
2015-10-21,31.05500030517578
2015-10-22,31.447999954223633
2015-10-23,31.06999969482422
2015-10-26,31.110000610351562
2015-10-27,31.118000030517578
2015-10-28,31.0049991607666
2015-10-29,31.145999908447266
2015-10-30,30.950000762939453
2015-11-02,30.950000762939453
2015-11-03,31.350000381469727
2015-11-04,31.219999313354492
2015-11-05,31.100000381469727
2015-11-06,29.950000762939453
2015-11-09,29.709999084472656
2015-11-10,30.030000686645508
2015-11-11,30.134000778198242
2015-11-12,29.950000762939453
2015-11-13,29.559999465942383
2015-11-16,29.530000686645508
2015-11-17,29.989999771118164
2015-11-18,30.344999313354492
2015-11-19,30.510000228881836
2015-11-20,30.760000228881836
2015-11-23,30.920000076293945
2015-11-24,30.450000762939453
2015-11-25,30.450000762939453
2015-11-27,30.68000030517578
2015-11-30,30.75
2015-12-01,31.259000778198242
2015-12-02,30.6200008392334
2015-12-03,30.010000228881836
2015-12-04,30.6200008392334
2015-12-07,30.6200008392334
2015-12-08,30.719999313354492
2015-12-09,30.549999237060547
2015-12-10,30.299999237060547
2015-12-11,30.13800048828125
2015-12-14,30.231000900268555
2015-12-15,30.579999923706055
2015-12-16,31.1299991607666
2015-12-17,31.09000015258789
2015-12-18,30.350000381469727
2015-12-21,30.399999618530273
2015-12-22,30.68000030517578
2015-12-23,30.979999542236328
2015-12-24,31.010000228881836
2015-12-28,30.927000045776367
2015-12-29,31.440000534057617
2015-12-30,31.440000534057617
2015-12-31,31.18400001525879
2016-01-04,30.459999084472656
2016-01-05,31.382999420166016
2016-01-06,31.079999923706055
2016-01-07,30.510000228881836
2016-01-08,30.110000610351562
2016-01-11,30.290000915527344
2016-01-12,29.959999084472656
2016-01-13,29.649999618530273
2016-01-14,29.75
2016-01-15,29.25
2016-01-19,29.450000762939453
2016-01-20,28.65999984741211
2016-01-21,28.8799991607666
2016-01-22,29.479999542236328
2016-01-25,29.479999542236328
2016-01-26,29.742000579833984
2016-01-27,29.479999542236328
2016-01-28,29.15999984741211
2016-01-29,29.190000534057617
2016-02-01,29.809999465942383
2016-02-02,29.43000030517578
2016-02-03,29.459999084472656
2016-02-04,29.636999130249023
2016-02-05,29.097999572753906
2016-02-08,27.555999755859375
2016-02-09,27.34000015258789
2016-02-10,27.920000076293945
2016-02-11,27.219999313354492
2016-02-12,27.489999771118164
2016-02-16,27.489999771118164
2016-02-17,28.350000381469727
2016-02-18,28.700000762939453
2016-02-19,28.65999984741211
2016-02-22,29.100000381469727
2016-02-23,28.950000762939453
2016-02-24,28.974000930786133
2016-02-25,29.15999984741211
2016-02-26,29.3700008392334
2016-02-29,29.329999923706055
2016-03-01,30.030000686645508
2016-03-02,30.360000610351562
2016-03-03,30.402000427246094
2016-03-04,30.489999771118164
2016-03-07,30.469999313354492
2016-03-08,30.423999786376953
2016-03-09,30.33099937438965
2016-03-10,30.187999725341797
2016-03-11,30.889999389648438
2016-03-14,30.989999771118164
2016-03-15,31.19499969482422
2016-03-16,30.959999084472656
2016-03-17,31.996000289916992
2016-03-18,31.469999313354492
2016-03-21,31.309999465942383
2016-03-22,31.2549991607666
2016-03-23,31.139999389648438
2016-03-24,31.190000534057617
2016-03-28,31.389999389648438
2016-03-29,32.06999969482422
2016-03-30,32.0
2016-03-31,32.15999984741211
2016-04-01,32.22700119018555
2016-04-04,32.18000030517578
2016-04-05,31.892000198364258
2016-04-06,31.979999542236328
2016-04-07,31.719999313354492
2016-04-08,32.02000045776367
2016-04-11,32.0
2016-04-12,32.13999938964844
2016-04-13,32.016998291015625
2016-04-14,31.889999389648438
2016-04-15,32.11000061035156
2016-04-18,32.22999954223633
2016-04-19,32.119998931884766
2016-04-20,31.799999237060547
2016-04-21,31.06399917602539
2016-04-22,31.459999084472656
2016-04-25,31.680999755859375
2016-04-26,31.770000457763672
2016-04-27,31.649999618530273
2016-04-28,31.68199920654297
2016-04-29,31.3799991607666
2016-05-02,31.709999084472656
2016-05-03,31.8700008392334
2016-05-04,32.33000183105469
2016-05-05,32.36000061035156
2016-05-06,32.529998779296875
2016-05-09,32.858001708984375
2016-05-10,32.97999954223633
2016-05-11,32.380001068115234
2016-05-12,32.4900016784668
2016-05-13,32.020999908447266
2016-05-16,32.45800018310547
2016-05-17,31.920000076293945
2016-05-18,31.132999420166016
2016-05-19,31.06999969482422
2016-05-20,31.281999588012695
2016-05-23,31.3799991607666
2016-05-24,31.59000015258789
2016-05-25,31.804000854492188
2016-05-26,31.780000686645508
2016-05-27,31.905000686645508
2016-05-31,31.920000076293945
2016-06-01,31.799999237060547
2016-06-02,31.899999618530273
2016-06-03,32.04399871826172
2016-06-06,32.060001373291016
2016-06-07,32.08599853515625
2016-06-08,32.2400016784668
2016-06-09,32.30799865722656
2016-06-10,32.150001525878906
2016-06-13,32.13999938964844
2016-06-14,31.989999771118164
2016-06-15,32.31999969482422
2016-06-16,32.486000061035156
2016-06-17,32.16999816894531
2016-06-20,32.20000076293945
2016-06-21,32.459999084472656
2016-06-22,32.43000030517578
2016-06-23,32.56999969482422
2016-06-24,32.15999984741211
2016-06-27,32.11000061035156
2016-06-28,32.70000076293945
2016-06-29,33.31999969482422
2016-06-30,33.59000015258789
2016-07-01,33.56999969482422
2016-07-05,33.814998626708984
2016-07-06,33.77000045776367
