,date,description,language,source,text,title,url,title_compound,title_pos,title_neu,title_neg,title_sent,text_compound,text_pos,text_neu,text_neg,text_sent,tokens
44,2022-06-14,Those who are new to investing can benefit by buying stocks cheaply and holding them long term.,en,"{'id': None, 'name': 'CNBC'}","Selects editorial team works independently to review financial products and write articles we think our readers will find useful. We earn a commission from affiliate partners on many offers, but not … [+3985 chars]",Here's why the bear market could be a good thing for new investors,https://www.cnbc.com/select/pros-of-bear-market-for-new-investors/,0.4404,0.209,0.791,0.0,1,0.2382,0.059,0.941,0.0,1,"['Selects', 'editorial', 'team', 'work', 'independently', 'review', 'financial', 'product', 'write', 'article', 'think', 'reader', 'find', 'useful', 'earn', 'commission', 'affiliate', 'partner', 'many', 'offer', '+3985']"
45,2022-06-17,Here's Where Investors Took Cover in Miserable Week for Tech Stocks  Bloomberg,en,"{'id': 'bloomberg', 'name': 'Bloomberg'}","Its been an ugly week for tech stocks. But it turns out that investors who stuck with the likes of Oracle Corp. and Cisco Systems Inc. -- cash generating, dividend-paying companies -- managed to beat… [+2469 chars]",Here's Where Investors Took Cover in Miserable Week for Tech Stocks - Bloomberg,https://www.bloomberg.com/news/articles/2022-06-17/oracle-cisco-offer-tech-investors-some-cover-in-miserable-week,-0.4939,0.0,0.775,0.225,-1,0.0129,0.087,0.803,0.11,0,"['ugly', 'week', 'tech', 'stock', 'turn', 'investor', 'stuck', 'like', 'Oracle', 'Corp.', 'Cisco', 'Systems', 'Inc.', '--', 'cash', 'generating', 'dividend-paying', 'company', '--', 'managed', 'beat…', '+2469']"
46,2022-07-13,A recent study found seniors tend to misevaluate the risks they'll face when saving for retirement.,en,"{'id': None, 'name': 'CNBC'}","Selects editorial team works independently to review financial products and write articles we think our readers will find useful. We earn a commission from affiliate partners on many offers, but not … [+6085 chars]","When saving for retirement, seniors overestimate market volatility and underestimate life expectancy",https://www.cnbc.com/select/seniors-overestimate-market-volatility-when-saving-for-retirement/,-0.296,0.0,0.833,0.167,-1,0.2382,0.059,0.941,0.0,1,"['Selects', 'editorial', 'team', 'work', 'independently', 'review', 'financial', 'product', 'write', 'article', 'think', 'reader', 'find', 'useful', 'earn', 'commission', 'affiliate', 'partner', 'many', 'offer', '+6085']"
47,2022-06-26,Wall Street is set to wrap up the worst first half for stocks in decades this week.,en,"{'id': None, 'name': 'CNBC'}","U.S. stock futures were little changed on Sunday night following a major rebound last week from this year's steep declines. Despite the bounce, Wall Street is preparing to wrap up the worst first hal… [+1446 chars]",Stock futures were little changed following a major comeback week for stocks,https://www.cnbc.com/2022/06/26/stock-market-futures-open-to-close-news.html,0.0,0.0,1.0,0.0,0,-0.6249,0.0,0.892,0.108,-1,"['U.S.', 'stock', 'future', 'little', 'changed', 'Sunday', 'night', 'following', 'major', 'rebound', 'last', 'week', 'year', 'steep', 'decline', 'Despite', 'bounce', 'Wall', 'Street', 'preparing', 'wrap', 'worst', 'first', 'hal…', '+1446']"
48,2022-06-30,"Welcome to The Readout, the new daily newsletter from Bloomberg UK.",en,"{'id': 'bloomberg', 'name': 'Bloomberg'}",Welcome to The Readout with Allegra Stratton.Welcome to The Readout with Allegra Stratton.Welcome to The Readout with Allegra Stratton.Sign up here to get it in your inbox daily.Sign up here to get i… [+6352 chars],There's a Plan For Winter and You Aren't Going to Like It: The Readout,https://www.bloomberg.com/news/newsletters/2022-06-30/there-s-a-plan-for-winter-and-you-aren-t-going-to-like-it-the-readout,-0.2755,0.0,0.85,0.15,-1,0.4588,0.081,0.919,0.0,1,"['Welcome', 'Readout', 'Allegra', 'Stratton.Welcome', 'Readout', 'Allegra', 'Stratton.Welcome', 'Readout', 'Allegra', 'Stratton.Sign', 'get', 'inbox', 'daily.Sign', 'get', 'i…', '+6352']"
49,2022-07-08,"Stocks bounced back this past week, but the gains didn't put much of a dent in this current bear market.",en,"{'id': None, 'name': 'CNBC'}","Stocks bounced back this past week. We'll take it where we can get it, but the gains didn't put much of a dent in this current bear market. The S &amp; P 500 on Friday just missed closing higher for … [+5685 chars]","Investing Club: The week in review, the week ahead — July 8, 2022",https://www.cnbc.com/2022/07/08/investing-club-the-week-in-review-the-week-ahead-july-8-2022.html,0.0,0.0,1.0,0.0,0,0.0772,0.072,0.862,0.065,1,"['Stocks', 'bounced', 'back', 'past', 'week', ""'ll"", 'take', 'get', 'gain', 'put', 'much', 'dent', 'current', 'bear', 'market', 'P', 'Friday', 'missed', 'closing', 'higher', '+5685']"
50,2022-07-13,Nebraska is ranked #7 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Pete Ricketts, Republican
Population: 1,963,692
GDP growth (Q1 2022): -2.4%
Unemployment rate (May 2022): 1.9%
Top corporate tax rate: 7.5%
Top individual income tax rate: 6.84%
Gasol… [+363 chars]",7. Nebraska,https://www.cnbc.com/2022/07/13/top-states-for-business-nebraska.html,0.0,0.0,1.0,0.0,0,0.3182,0.177,0.741,0.083,1,"['Governor', 'Pete', 'Ricketts', 'Republican', 'Population', '1,963,692', 'GDP', 'growth', 'Q1', '2022', '-2.4', 'Unemployment', 'rate', 'May', '2022', '1.9', 'Top', 'corporate', 'tax', 'rate', '7.5', 'Top', 'individual', 'income', 'tax', 'rate', '6.84', 'Gasol…', '+363']"
51,2022-07-13,Utah is ranked #8 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Spencer Cox, Republican
Population: 3,337,975
GDP growth (Q1 2022): -2.0%
Unemployment rate (May 2022): 2.0%
Top corporate tax rate: 4.95%
Top individual income tax rate: 4.95%
Gasoli… [+363 chars]",8. Utah,https://www.cnbc.com/2022/07/13/top-states-for-business-utah.html,0.0,0.0,1.0,0.0,0,0.3182,0.177,0.741,0.083,1,"['Governor', 'Spencer', 'Cox', 'Republican', 'Population', '3,337,975', 'GDP', 'growth', 'Q1', '2022', '-2.0', 'Unemployment', 'rate', 'May', '2022', '2.0', 'Top', 'corporate', 'tax', 'rate', '4.95', 'Top', 'individual', 'income', 'tax', 'rate', '4.95', 'Gasoli…', '+363']"
52,2022-07-13,North Dakota is ranked #13 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Doug Burgum, Republican
Population: 774,948
GDP growth (Q1 2022): -6.3%
Unemployment rate (May 2022): 2.6%
Top corporate tax rate: 4.31%
Top individual income tax rate: 2.90%
Gasoline… [+357 chars]",13. North Dakota,https://www.cnbc.com/2022/07/13/top-states-for-business-north-dakota.html,0.0,0.0,1.0,0.0,0,0.3182,0.177,0.741,0.083,1,"['Governor', 'Doug', 'Burgum', 'Republican', 'Population', '774,948', 'GDP', 'growth', 'Q1', '2022', '-6.3', 'Unemployment', 'rate', 'May', '2022', '2.6', 'Top', 'corporate', 'tax', 'rate', '4.31', 'Top', 'individual', 'income', 'tax', 'rate', '2.90', 'Gasoline…', '+357']"
53,2022-07-13,Colorado is ranked #4 in America's Top States for Business for 2022.,en,"{'id': None, 'name': 'CNBC'}","Governor: Jared Polis, Democrat
Population: 5,812,069
GDP growth (Q1 2022): -1.9%
Unemployment rate (May 2022): 3.5%
Top corporate tax rate: 4.55%
Top individual income tax rate: 4.55%
Gasoline… [+357 chars]",4. Colorado,https://www.cnbc.com/2022/07/13/top-states-for-business-colorado.html,0.0,0.0,1.0,0.0,0,0.3182,0.177,0.741,0.083,1,"['Governor', 'Jared', 'Polis', 'Democrat', 'Population', '5,812,069', 'GDP', 'growth', 'Q1', '2022', '-1.9', 'Unemployment', 'rate', 'May', '2022', '3.5', 'Top', 'corporate', 'tax', 'rate', '4.55', 'Top', 'individual', 'income', 'tax', 'rate', '4.55', 'Gasoline…', '+357']"
