Date,TTD
2016-09-21,3.009999990463257
2016-09-22,2.890000104904175
2016-09-23,2.7660000324249268
2016-09-26,2.7769999504089355
2016-09-27,2.997999906539917
2016-09-28,3.3389999866485596
2016-09-29,2.8989999294281006
2016-09-30,2.9210000038146973
2016-10-03,2.638000011444092
2016-10-04,2.382999897003174
2016-10-05,2.4779999256134033
2016-10-06,2.6080000400543213
2016-10-07,2.625999927520752
2016-10-10,2.5280001163482666
2016-10-11,2.552000045776367
2016-10-12,2.690000057220459
2016-10-13,2.5969998836517334
2016-10-14,2.635999917984009
2016-10-17,2.627000093460083
2016-10-18,2.5880000591278076
2016-10-19,2.5460000038146973
2016-10-20,2.6489999294281006
2016-10-21,2.747999906539917
2016-10-24,2.8519999980926514
2016-10-25,2.880000114440918
2016-10-26,2.818000078201294
2016-10-27,2.552000045776367
2016-10-28,2.561000108718872
2016-10-31,2.5179998874664307
2016-11-01,2.5239999294281006
2016-11-02,2.443000078201294
2016-11-03,2.2899999618530273
2016-11-04,2.38700008392334
2016-11-07,2.2899999618530273
2016-11-08,2.2799999713897705
2016-11-09,2.2950000762939453
2016-11-10,2.3429999351501465
2016-11-11,2.5450000762939453
2016-11-14,2.5769999027252197
2016-11-15,2.5250000953674316
2016-11-16,2.5360000133514404
2016-11-17,2.5929999351501465
2016-11-18,2.9100000858306885
2016-11-21,2.933000087738037
2016-11-22,2.872999906539917
2016-11-23,3.0190000534057617
2016-11-25,2.9079999923706055
2016-11-28,2.6700000762939453
2016-11-29,2.7119998931884766
2016-11-30,2.6579999923706055
2016-12-01,2.6080000400543213
2016-12-02,2.619999885559082
2016-12-05,2.6619999408721924
2016-12-06,2.809999942779541
2016-12-07,2.757999897003174
2016-12-08,2.740999937057495
2016-12-09,2.746999979019165
2016-12-12,2.936000108718872
2016-12-13,2.928999900817871
2016-12-14,2.799999952316284
2016-12-15,2.9519999027252197
2016-12-16,2.9230000972747803
2016-12-19,2.921999931335449
2016-12-20,3.109999895095825
2016-12-21,3.0360000133514404
2016-12-22,3.0320000648498535
2016-12-23,3.015000104904175
2016-12-27,2.99399995803833
2016-12-28,2.8489999771118164
2016-12-29,2.8380000591278076
2016-12-30,2.7669999599456787
2017-01-03,2.693000078201294
2017-01-04,2.7100000381469727
2017-01-05,2.744999885559082
2017-01-06,2.7699999809265137
2017-01-09,2.8440001010894775
2017-01-10,2.885999917984009
2017-01-11,2.9749999046325684
2017-01-12,2.937000036239624
2017-01-13,2.934999942779541
2017-01-17,2.8989999294281006
2017-01-18,2.9010000228881836
2017-01-19,2.9000000953674316
2017-01-20,2.9260001182556152
2017-01-23,2.9790000915527344
2017-01-24,2.9649999141693115
2017-01-25,3.0409998893737793
2017-01-26,3.078000068664551
2017-01-27,3.0829999446868896
2017-01-30,2.9749999046325684
2017-01-31,2.9660000801086426
2017-02-01,2.9590001106262207
2017-02-02,2.9019999504089355
2017-02-03,2.8919999599456787
2017-02-06,2.880000114440918
2017-02-07,2.8550000190734863
2017-02-08,2.8340001106262207
2017-02-09,2.9040000438690186
2017-02-10,2.9049999713897705
2017-02-13,3.00600004196167
2017-02-14,3.0350000858306885
2017-02-15,3.1670000553131104
2017-02-16,3.3359999656677246
2017-02-17,3.240999937057495
2017-02-21,3.5
2017-02-22,3.430000066757202
2017-02-23,3.6389999389648438
2017-02-24,3.7320001125335693
2017-02-27,3.683000087738037
2017-02-28,4.2210001945495605
2017-03-01,4.304999828338623
2017-03-02,4.24399995803833
2017-03-03,4.460000038146973
2017-03-06,4.234000205993652
2017-03-07,4.4079999923706055
2017-03-08,4.330999851226807
2017-03-09,4.438000202178955
2017-03-10,4.578999996185303
2017-03-13,4.335000038146973
2017-03-14,4.122000217437744
2017-03-15,4.15500020980835
2017-03-16,4.01800012588501
2017-03-17,3.9509999752044678
2017-03-20,3.809999942779541
2017-03-21,3.755000114440918
2017-03-22,3.864000082015991
2017-03-23,3.7019999027252197
2017-03-24,3.6019999980926514
2017-03-27,3.7219998836517334
2017-03-28,3.6489999294281006
2017-03-29,3.7980000972747803
2017-03-30,3.6730000972747803
2017-03-31,3.7249999046325684
2017-04-03,3.7019999027252197
2017-04-04,3.632999897003174
2017-04-05,3.7049999237060547
2017-04-06,3.7709999084472656
2017-04-07,3.6989998817443848
2017-04-10,3.690000057220459
2017-04-11,3.755000114440918
2017-04-12,3.7209999561309814
2017-04-13,3.684999942779541
2017-04-17,3.6440000534057617
2017-04-18,3.5190000534057617
2017-04-19,3.5859999656677246
2017-04-20,3.622999906539917
2017-04-21,3.5980000495910645
2017-04-24,3.6470000743865967
2017-04-25,3.619999885559082
2017-04-26,3.632999897003174
2017-04-27,3.7690000534057617
2017-04-28,3.734999895095825
2017-05-01,3.759000062942505
2017-05-02,3.828000068664551
2017-05-03,3.805999994277954
2017-05-04,3.984999895095825
2017-05-05,4.006999969482422
2017-05-08,4.039000034332275
2017-05-09,4.085999965667725
2017-05-10,4.005000114440918
2017-05-11,3.989000082015991
2017-05-12,5.190000057220459
2017-05-15,5.35699987411499
2017-05-16,5.21999979019165
2017-05-17,4.775000095367432
2017-05-18,5.138000011444092
2017-05-19,5.006999969482422
2017-05-22,5.250999927520752
2017-05-23,5.3480000495910645
2017-05-24,5.150000095367432
2017-05-25,5.198999881744385
2017-05-26,5.223999977111816
2017-05-30,5.348999977111816
2017-05-31,5.5
2017-06-01,5.495999813079834
2017-06-02,5.696000099182129
2017-06-05,5.568999767303467
2017-06-06,5.584000110626221
2017-06-07,5.438000202178955
2017-06-08,5.544000148773193
